"","Entity.Name","Jurisdiction","FMP","Science.Center","Regional.Ecosystem","FSSI.Stock.","ITIS.Taxon.Serial.Number","Scientific.Name","Common.Name","Stock.Area","Assessment.Year","Assessment.Month","Last.Data.Year","Update.Type","Review.Result","Assessment.Model","Model.Version","Lead.Lab","Citation","Final.Assessment.Report.1","Final.Assessment.Report.2","Point.of.Contact","Life.History.Data","Abundance.Data","Catch.Data","Assessment.Level","Assessment.Frequency","Assessment.Type","Model.Category","Catch.Input.Data","Abundance.Input.Data","Biological.Input.Data","Ecosystem.Linkage","Composition.Input.Data","F.Year","Estimated.F","F.Unit","F.Basis","Flimit","Flimit.Basis","Fmsy","Fmsy.Basis","F.Flimit","F.Fmsy","Ftarget","Ftarget.Basis","F.Ftarget","B.Year","Estimated.B","B.Unit","B.Basis","Blimit","Blimit.Basis","Bmsy","Bmsy.Basis","B.Blimit","B.Bmsy","MSY","MSY.Unit","Comments"
"1","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",80944,"Spisula solidissima","Atlantic surfclam","Mid-Atlantic Coast",2006,12,2005,"Benchmark","Full acceptance","Delay Difference",NA,"NEFSC","NEFSC CRD 07-03 (2007)","ASSESSMENT OF ATLANTIC SURFCLAM",NA,"Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2005,0.0189999993890524,"annual exploitation rate","F rate",0.150000005960464,"M proxy",NA,"proxy",0.129999995231628,NA,NA,NA,NA,2005,1170000,"mt (meat weight only)","Exploitable biomass",450000,"1/4 biomass in 1999",9e+05,"proxy",2.59999990463257,1.29999995231628,135000,NA,NA
"2","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",80944,"Spisula solidissima","Atlantic surfclam","Mid-Atlantic Coast",2009,12,2008,"Benchmark","Full acceptance","KLAMZ",NA,"NEFSC","NEFSC CRD 10-01 (2010)","ASSESSMENT OF ATLANTIC SURFCLAM",NA,"James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.0270000007003546,"Instantaneous annual F averaged across ages","average F (F average across range of ages)",0.150000005960464,"M proxy",0.150000005960464,"proxy",0.180000007152557,0.180000007152557,NA,NA,NA,2008,878000,"mt","Exploitable biomass",272000,"0.5*Bmsy",543000,"0.5B1999",3.2279999256134,1.61699998378754,NA,NA,NA
"3","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",80944,"Spisula solidissima","Atlantic surfclam","Mid-Atlantic Coast",2013,4,2011,"Benchmark","Full acceptance","Stock Synthesis",NA,"NEFSC","NEFSC CRD 13-04  (2013)","ASSESSMENT OF ATLANTIC SURFCLAM",NA,"James Weinberg",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.0270000007003546,"Apical  F (max F at age)","apical F (max F at age)",0.150000005960464,"M proxy",0.150000005960464,"proxy",0.180000007152557,0.180000007152557,NA,NA,NA,2011,1060000,"mt","Exploitable biomass",486000,"0.5*Bmsy",972000,"0.5B1999",2.18099999427795,1.0900000333786,98000,NA,NA
"4","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",80944,"Spisula solidissima","Atlantic surfclam","Mid-Atlantic Coast",2016,11,2015,"Benchmark","Full acceptance","Stock synthesis",NA,"NEFSC","61st Stock Assessment Workshop, Atlantic surfclam, NEFSC CRD 16-13","61st Northeast Regional Stock Assessment Workshop (63rd SAW) Assessment Summary Report.",NA,"Dan Hennen",3,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2015,0.00899999961256981,"Apical  F (max F at age)","apical F (max F at age)",0.0309999994933605,"seecomments",0.0309999994933605,"proxy",0.294999986886978,0.294999986886978,NA,NA,NA,2015,46355000,"mt","Spawning biomass",NA,"seecomments",NA,"seecomments",NA,2.53999996185303,NA,NA,NA
"5","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",81343,"Arctica islandica","Ocean quahog","Atlantic Coast",2006,12,2005,"Benchmark","Full acceptance","Delay Difference (KLAMZ)",NA,"NEFSC","NEFSC CRD 07-03 (2007)","43rd SAW Assessment Summary Report",NA,"Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2005,0.00499999988824129,"annual exploitation rate","F rate",0.0520000010728836,"F25%",NA,"proxy",0.0900000035762787,NA,0.0280000008642673,"F 0.1",0.159999996423721,2005,3039000,"mt (meat weight only)","Total stock biomass",993000,"B25%",1987000,"proxy",3.05999994277954,1.52999997138977,102702,NA,NA
"6","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",81343,"Arctica islandica","Ocean quahog","Atlantic Coast",2009,6,2008,"Benchmark","Full acceptance","Delay Difference (KLAMZ)",NA,"NEFSC","NEFSC CRD 09-10 (2009)","48th Northeast Regional Stock Assessment Workshop (48th SAW) Assessment Summary Report",NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2008,0.00999999977648258,"Catch/Biomass","U (exploitation rate = catch/biomass)",0.0219999998807907,"F45%_Exploitable_Stock_Only",NA,NA,0.455000013113022,NA,NA,NA,0.100000001490116,2008,2905000,"mt (meat weight only)","Total stock biomass",1432000,"40% of 1978 biomass",1790000,"50% of 1978 biomass",2.02900004386902,1.62300002574921,NA,NA,NA
"7","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",81343,"Arctica islandica","Ocean quahog","Atlantic Coast",2013,9,2011,"Full Update","Full acceptance","Delay Difference (KLAMZ)",NA,"NEFSC","NEFSC CRD 13-17 (2013). Stock Assessment Update for Ocean Quahogs (Arctice islandica) through 2011 -- by Chute et. al.;  MAFMC Briefing Material June 10-13, 2013 staff memo.","Stock Assessment Update  for Ocean Quahogs ( Arctica islandica )  through 2011",NA,"James Weinberg",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2011,0.00999999977648258,"F rate","F rate",0.0219999998807907,"F45%",NA,NA,0.455000013113022,NA,NA,NA,0.100000001490116,2008,2961000,"mt (meat weight only)","Total stock biomass",1390000,"40% of 1978 biomass",1730000,"50% of 1978 biomass",2.13000011444092,1.71200001239777,NA,NA,NA
"8","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Northeast Shelf","Y",81343,"Arctica islandica","Ocean quahog","Atlantic Coast",2017,3,2016,"Benchmark","Full acceptance","Stock Synthesis",NA,"NEFSC","63rd Stock Assessment Workshop Assessment Summary Report Ocean quahog, NEFSC CRD17-09","63rd Northeast Regional Stock Assessment Workshop (63rd SAW) Assessment Summary Report.",NA,"Dan Hennen",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2016,0.00499999988824129,"Apical F","F Rate for Fully Selected Clams",0.0189999993890524,"Fmsy",0.0189999993890524,"MSE",0.263000011444092,0.263000011444092,NA,NA,NA,2016,3287300,"Metric Tons","Total Stock Biomass - Meat Weight",1610868,"SSB40%",2013585,"SSB50%",2.04099988937378,1.63300001621246,73298,"Metric Tons",NA
"9","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2005,12,2004,"Benchmark","Full acceptance","ASAP",NA,NA,"SARC 41 Report (2005)",NA,NA,NA,2,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,2004,0.149000003933907,"Fully_Selected_F","Fmult",NA,"Fmsy",NA,NA,0.790000021457672,NA,NA,NA,NA,NA,104000,"mt","Total stock biomass",NA,NA,NA,"Bmsy",NA,0.709999978542328,NA,NA,NA
"10","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Northeast Shelf","Y",168559,"Pomatomus saltatrix","Bluefish","Atlantic Coast",2007,6,2006,"Full Update","Full acceptance","ASAP","1.0","ASMFC","ASMFC Bluefish SASC, June 2007",NA,NA,"Erika Robbins",2,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,2006,0.150000005960464,"annual exploitation rate","F rate",0.189999997615814,"Fmax",0.189999997615814,"proxy",0.790000021457672,0.790000021457672,NA,NA,NA,2006,139496,"mt","Total stock biomass",73526,"0.5*Bmsy",147051,"Fmsy based proxy",1.89999997615814,0.949999988079071,NA,NA,NA
