Period,Year 1,Year 2,Total,MSN-DO,OW-DO,OW-CHLA,DW-DO,DC-DO,SW-Clarity/SAV
1985-1987,1985,1987,26.53,64.34,48.73,22.74,21.94,0.00,0.97
1986-1988,1986,1988,27.17,81.65,44.67,2.14,21.94,0.00,0.97
1987-1989,1987,1989,26.09,83.62,39.42,2.14,21.94,0.00,1.68
1988-1990,1988,1990,30.10,87.82,39.83,2.14,41.64,0.00,1.58
1989-1991,1989,1991,26.38,86.45,31.05,2.14,33.65,0.00,2.88
1990-1992,1990,1992,29.33,82.44,42.91,2.14,33.65,0.00,2.88
1991-1993,1991,1993,29.80,75.30,54.05,0.00,22.92,0.00,2.88
1992-1994,1992,1994,31.79,77.53,61.13,0.00,22.92,0.00,1.69
1993-1995,1993,1995,30.77,77.95,57.46,0.00,22.92,0.00,1.69
1994-1996,1994,1996,32.71,76.82,58.23,0.00,33.65,0.00,1.69
1995-1997,1995,1997,36.50,81.55,61.61,0.00,41.08,12.58,0.18
1996-1998,1996,1998,33.87,81.56,59.23,0.00,32.66,0.00,3.29
1997-1999,1997,1999,36.87,82.35,69.20,0.00,32.66,0.00,3.29
1998-2000,1998,2000,33.54,62.84,63.14,0.00,32.66,0.00,6.23
1999-2001,1999,2001,36.84,60.82,71.72,0.00,41.64,0.00,4.48
2000-2002,2000,2002,37.16,56.09,72.62,49.05,40.77,0.00,4.61
2001-2003,2001,2003,36.18,73.14,71.79,0.00,32.78,0.00,2.15
2002-2004,2002,2004,35.72,80.26,63.28,22.74,33.87,0.00,4.22
2003-2005,2003,2005,32.72,80.97,54.07,2.14,24.13,0.00,9.73
2004-2006,2004,2006,32.42,62.29,53.55,2.14,34.85,1.90,10.10
2005-2007,2005,2007,33.91,66.44,53.04,2.14,34.85,1.90,13.99
2006-2008,2006,2008,38.53,61.65,64.93,2.14,39.52,14.48,12.49
2007-2009,2007,2009,37.45,62.55,66.25,2.14,34.85,1.90,14.62
2008-2010,2008,2010,39.51,76.73,56.08,2.14,34.85,14.48,21.16
2009-2011,2009,2011,33.18,65.25,53.16,0.00,24.25,1.90,18.33
2010-2012,2010,2012,30.99,60.58,55.07,0.00,22.92,0.00,12.33
2011-2013,2011,2013,27.61,62.09,44.26,0.00,23.35,0.00,10.57
2012-2014,2012,2014,33.94,59.75,59.46,2.66,38.74,12.58,4.07
2013-2015,2013,2015,38.06,75.43,70.37,2.66,34.19,0.00,8.16
2014-2016,2014,2016,40.01,75.85,69.80,2.66,36.13,12.58,9.36
2015-2017,2015,2017,42.17,74.97,72.06,23.25,36.13,12.58,13.84
2016-2018,2016,2018,38.16,72.66,57.35,23.25,42.40,12.58,12.90
2017-2019,2017,2019,32.98,65.27,62.79,15.00,12.05,0.00,16.00
2018-2020,2018,2020,28.89,49.30,45.21,2.66,33.87,0.00,13.63
2019-2021,2019,2021,28.06,78.46,47.28,2.66,10.72,0.00,10.82
