Date,2024  Daily,2010-2024 avg, 2010-2024 min, 2010-2024 max
01/02/2024 00:00:00,12.72,12.57,7.75,16.66
01/03/2024 00:00:00,11.72,12.63,7.03,16.67
01/04/2024 00:00:00,11.37,12.25,7.03,16.94
01/05/2024 00:00:00,13.58,12.32,7.49,17.07
01/06/2024 00:00:00,12.45,12.22,6.71,16.83
01/07/2024 00:00:00,13.01,12.56,6.74,16.79
01/08/2024 00:00:00,13.21,11.92,6.30,16.97
01/09/2024 00:00:00,13.45,12.06,7.06,16.91
01/10/2024 00:00:00,14.51,11.72,6.15,17.00
01/11/2024 00:00:00,13.42,11.60,6.28,16.97
01/12/2024 00:00:00,13.56,11.54,6.13,16.65
01/13/2024 00:00:00,14.10,11.71,6.48,16.56
01/14/2024 00:00:00,13.87,12.17,6.79,16.88
01/15/2024 00:00:00,13.54,12.33,7.00,17.05
01/16/2024 00:00:00,13.57,12.63,7.04,17.04
01/17/2024 00:00:00,12.53,12.63,7.10,17.03
01/18/2024 00:00:00,10.71,11.81,7.03,17.16
01/19/2024 00:00:00,11.30,12.14,7.70,16.04
01/20/2024 00:00:00,11.23,12.32,7.92,16.01
01/21/2024 00:00:00,10.69,12.83,7.92,16.51
01/22/2024 00:00:00,10.77,12.98,8.09,16.45
01/23/2024 00:00:00,10.54,12.94,8.05,16.17
01/24/2024 00:00:00,10.23,12.98,7.08,16.45
01/25/2024 00:00:00,10.65,13.33,11.38,15.81
01/26/2024 00:00:00,10.52,13.59,9.48,15.92
01/27/2024 00:00:00,10.76,13.77,9.37,16.59
01/28/2024 00:00:00,11.26,13.63,10.42,16.37
01/29/2024 00:00:00,10.94,13.75,9.72,16.38
01/30/2024 00:00:00,9.87,13.72,11.84,16.83
01/31/2024 00:00:00,8.25,14.07,11.61,16.66
02/01/2024 00:00:00,8.32,14.01,10.50,16.70
02/02/2024 00:00:00,8.30,13.76,12.17,16.31
02/03/2024 00:00:00,8.88,13.70,10.26,16.76
02/04/2024 00:00:00,6.46,13.52,11.65,16.76
02/05/2024 00:00:00,5.75,13.77,11.78,16.78
02/06/2024 00:00:00,9.06,13.77,11.79,16.84
02/07/2024 00:00:00,9.65,13.89,11.29,16.85
02/08/2024 00:00:00,6.40,13.77,11.32,16.57
02/09/2024 00:00:00,8.45,13.81,11.01,16.72
02/10/2024 00:00:00,9.61,13.72,9.20,16.95
02/11/2024 00:00:00,9.72,13.82,9.48,17.22
02/12/2024 00:00:00,9.76,13.96,9.66,16.69
02/13/2024 00:00:00,10.25,14.16,10.22,17.20
02/14/2024 00:00:00,10.05,13.69,10.92,17.06
02/15/2024 00:00:00,10.20,13.22,10.08,16.96
02/16/2024 00:00:00,10.52,13.28,10.78,17.08
02/17/2024 00:00:00,10.99,13.69,11.37,16.62
02/18/2024 00:00:00,11.11,14.29,11.27,16.69
02/19/2024 00:00:00,10.85,14.39,10.47,16.97
02/20/2024 00:00:00,11.20,14.32,10.25,17.29
02/21/2024 00:00:00,11.37,13.92,10.31,17.25
02/22/2024 00:00:00,11.31,13.94,9.84,17.41
02/23/2024 00:00:00,11.41,13.74,9.88,17.43
02/24/2024 00:00:00,11.47,13.83,10.01,17.10
02/25/2024 00:00:00,11.61,13.84,8.58,17.06
02/26/2024 00:00:00,11.63,13.41,5.47,16.89
02/27/2024 00:00:00,11.51,12.87,5.71,17.00
02/28/2024 00:00:00,11.63,12.66,5.67,16.96
02/29/2024 00:00:00,11.69,12.69,10.93,13.23
03/01/2024 00:00:00,11.88,12.64,6.58,16.89
03/02/2024 00:00:00,11.81,12.62,6.85,16.87
03/03/2024 00:00:00,11.51,12.67,6.10,16.55
03/04/2024 00:00:00,11.57,13.11,10.11,15.78
03/05/2024 00:00:00,11.92,12.52,7.02,14.63
03/06/2024 00:00:00,11.64,12.56,8.22,15.25
03/07/2024 00:00:00,11.79,12.59,8.54,15.25
03/08/2024 00:00:00,11.17,12.53,8.51,14.89
03/09/2024 00:00:00,8.86,12.40,9.15,15.95
03/10/2024 00:00:00,9.51,11.79,8.88,15.36
03/11/2024 00:00:00,10.53,11.92,9.20,15.50
03/12/2024 00:00:00,10.33,11.75,5.62,14.86
03/13/2024 00:00:00,9.92,11.28,3.97,14.47
03/14/2024 00:00:00,9.79,11.60,3.47,15.30
03/15/2024 00:00:00,9.80,11.39,3.43,15.30
03/16/2024 00:00:00,9.80,11.18,2.69,15.56
03/17/2024 00:00:00,9.63,11.03,2.77,15.53
03/18/2024 00:00:00,10.40,11.07,2.84,15.56
03/19/2024 00:00:00,9.54,11.21,2.98,15.51
03/20/2024 00:00:00,8.82,11.28,5.00,15.19
03/21/2024 00:00:00,8.97,10.63,6.11,14.85
03/22/2024 00:00:00,9.00,10.68,6.57,14.79
03/23/2024 00:00:00,9.24,10.87,5.89,14.72
03/24/2024 00:00:00,9.65,10.68,6.75,14.92
03/25/2024 00:00:00,10.19,10.42,5.41,14.96
03/26/2024 00:00:00,9.81,10.20,5.38,14.98
03/27/2024 00:00:00,8.00,10.39,5.50,14.78
03/28/2024 00:00:00,8.94,10.45,5.30,14.98
03/29/2024 00:00:00,9.89,10.69,5.47,14.90
03/31/2024 00:00:00,9.27,10.78,5.45,13.79
04/01/2024 00:00:00,9.22,10.79,5.69,13.72
04/02/2024 00:00:00,9.24,10.83,6.13,14.02
04/03/2024 00:00:00,9.03,11.26,7.66,14.88
04/04/2024 00:00:00,8.22,11.16,7.07,14.84
04/05/2024 00:00:00,8.16,11.12,6.86,14.71
04/06/2024 00:00:00,8.20,11.18,7.09,15.06
04/07/2024 00:00:00,7.42,10.96,6.62,14.74
04/08/2024 00:00:00,6.79,10.73,6.01,14.90
04/09/2024 00:00:00,6.51,10.72,5.94,15.08
04/10/2024 00:00:00,6.72,10.73,6.17,14.99
04/11/2024 00:00:00,7.12,10.44,7.06,14.66
04/12/2024 00:00:00,8.48,10.39,6.91,14.29
04/13/2024 00:00:00,8.49,10.69,6.55,15.11
04/14/2024 00:00:00,7.87,10.48,6.40,14.39
04/15/2024 00:00:00,7.51,10.41,6.94,14.45
04/16/2024 00:00:00,7.43,10.73,6.80,14.63
04/17/2024 00:00:00,7.33,10.92,6.83,14.64
04/18/2024 00:00:00,7.36,10.74,6.86,14.63
04/19/2024 00:00:00,7.44,10.80,7.15,14.55
04/20/2024 00:00:00,5.88,10.68,7.35,14.54
04/21/2024 00:00:00,6.88,10.85,5.93,14.54
04/22/2024 00:00:00,6.18,10.78,5.90,14.15
04/23/2024 00:00:00,5.05,11.02,6.31,14.23
04/24/2024 00:00:00,6.90,11.04,6.22,13.88
04/25/2024 00:00:00,7.11,11.06,5.85,13.92
04/26/2024 00:00:00,7.29,10.85,4.71,13.93
04/27/2024 00:00:00,6.95,10.77,4.75,14.06
04/28/2024 00:00:00,6.71,10.52,5.13,14.37
04/29/2024 00:00:00,6.80,10.38,5.54,14.36
04/30/2024 00:00:00,7.03,10.51,5.69,14.14
05/01/2024 00:00:00,6.77,10.49,5.76,14.18
05/02/2024 00:00:00,6.83,10.60,5.76,13.21
05/03/2024 00:00:00,7.01,10.45,5.62,13.21
05/04/2024 00:00:00,7.29,9.96,5.41,13.07
05/05/2024 00:00:00,7.28,10.08,5.78,13.33
05/06/2024 00:00:00,6.81,9.79,5.47,13.70
05/07/2024 00:00:00,6.69,9.74,4.41,13.17
05/08/2024 00:00:00,6.64,9.50,4.84,12.99
05/09/2024 00:00:00,6.91,9.79,5.44,13.08
05/10/2024 00:00:00,7.20,10.11,5.71,13.14
05/11/2024 00:00:00,7.10,9.52,3.21,13.24
05/12/2024 00:00:00,7.07,9.15,3.35,12.83
05/13/2024 00:00:00,7.11,9.11,3.83,12.60
05/14/2024 00:00:00,7.25,9.28,4.65,12.34
05/15/2024 00:00:00,7.37,8.69,4.69,13.16
05/16/2024 00:00:00,7.42,8.61,4.69,13.17
05/17/2024 00:00:00,7.40,8.97,5.00,12.91
05/18/2024 00:00:00,6.83,9.17,4.74,13.12
05/19/2024 00:00:00,6.63,9.16,4.55,13.26
05/20/2024 00:00:00,6.29,9.40,4.34,12.72
05/21/2024 00:00:00,6.29,9.45,4.28,13.35
05/22/2024 00:00:00,nan,9.38,3.74,14.03
05/23/2024 00:00:00,7.18,9.17,3.78,14.59
05/24/2024 00:00:00,nan,9.12,3.81,12.73
05/25/2024 00:00:00,7.12,9.10,3.79,12.74
05/26/2024 00:00:00,7.03,9.01,4.05,13.00
05/27/2024 00:00:00,nan,8.85,3.96,13.57
05/28/2024 00:00:00,nan,9.07,4.26,13.89
05/29/2024 00:00:00,nan,9.37,4.09,13.99
05/30/2024 00:00:00,nan,9.42,3.52,13.83
05/31/2024 00:00:00,nan,9.34,3.40,13.96
06/01/2024 00:00:00,nan,9.04,2.86,13.94
06/02/2024 00:00:00,nan,8.80,2.61,13.96
06/03/2024 00:00:00,nan,9.18,2.31,13.98
06/04/2024 00:00:00,nan,9.41,2.07,13.85
