Date,2023 Daily,2010-2022 avg,2010-2022 min,2010-2022 max
1/1/2023 0:00,16.62,13.33,9.23,16.98
1/2/2023 0:00,16.59,12.85,9.52,16.37
1/3/2023 0:00,16.32,12.89,9.2,16.47
1/4/2023 0:00,15.87,12.71,7.64,16.94
1/5/2023 0:00,15.84,12.98,7.66,17.07
1/6/2023 0:00,16.07,12.85,6.88,16.83
1/7/2023 0:00,15.86,13.3,7.64,16.79
1/8/2023 0:00,14.98,13.04,7.29,16.97
1/9/2023 0:00,12.7,13.7,9.08,16.91
1/10/2023 0:00,12.68,13.4,8.89,17
1/11/2023 0:00,10.42,13.12,8.83,16.97
1/12/2023 0:00,9.72,14.61,12.79,16.65
1/13/2023 0:00,11.3,12.75,0.08,16.56
1/14/2023 0:00,14.18,13.1,8.89,16.88
1/15/2023 0:00,14.17,13.28,8.87,17.05
1/16/2023 0:00,14.38,13.43,9.18,17.04
1/17/2023 0:00,13.85,13.39,9.59,17.03
1/18/2023 0:00,11.87,12.99,10.03,17.16
1/19/2023 0:00,12.75,13.05,10.57,16.42
1/20/2023 0:00,12.76,13.04,10.7,15.87
1/21/2023 0:00,14.1,13.31,11.24,15.81
1/22/2023 0:00,14.21,13.34,11.33,15.38
1/23/2023 0:00,14.08,13.61,11.54,15.87
1/24/2023 0:00,13.72,13.57,0.02,15.79
1/25/2023 0:00,14.04,13.32,11.78,15.81
1/26/2023 0:00,13.77,13.5,9.48,15.35
1/27/2023 0:00,14.04,13.43,0.17,14.73
1/28/2023 0:00,13.85,13.1,8.63,14.68
1/29/2023 0:00,13.75,13.81,9.14,15.68
1/30/2023 0:00,13.65,13.9,9.52,16.83
1/31/2023 0:00,13.98,14.14,9.62,16.66
2/1/2023 0:00,14.24,13.98,10.5,16.7
2/2/2023 0:00,13.82,13.84,12.17,15.91
2/3/2023 0:00,13.66,13.63,9.06,15.89
2/4/2023 0:00,13.62,13.45,9.7,15.98
2/5/2023 0:00,13.88,13.76,12.37,15.84
2/6/2023 0:00,13.71,13.75,12.51,15.56
2/7/2023 0:00,14.52,13.54,12.59,15.42
2/8/2023 0:00,14.13,13.66,12.4,15.75
2/9/2023 0:00,14.38,13.47,12.25,15.7
2/10/2023 0:00,14.25,13.13,9.05,14.29
2/11/2023 0:00,14.69,13.08,11.86,14.48
