Date,2023 Daily,2010-2022 avg,2010-2022 min,2010-2022 max
1/1/2023 0:00,42.63,42.82,38.25,47.38
1/2/2023 0:00,42.7,42.61,36.46,48.07
1/3/2023 0:00,43.22,42.23,35.13,47.9
1/4/2023 0:00,43.79,42.09,36.01,46.23
1/5/2023 0:00,44.35,41.42,34.72,44.83
1/6/2023 0:00,44.38,40.87,33.76,44.56
1/7/2023 0:00,43.57,40.69,32.59,44.2
1/8/2023 0:00,42.85,40.04,31.84,43.75
1/9/2023 0:00,42.46,39.79,32.23,43.32
1/10/2023 0:00,42.15,39.7,31.32,43.16
1/11/2023 0:00,41.3,39.66,31.37,44.19
1/12/2023 0:00,41.3,39.83,33.67,44.26
1/13/2023 0:00,42.5,39.05,35.11,41.61
1/14/2023 0:00,42.84,38.69,33.62,42.08
1/15/2023 0:00,42.26,38.28,32.95,41.52
1/16/2023 0:00,41.7,38.03,32.32,42.06
1/17/2023 0:00,41.47,37.89,32.95,41.47
1/18/2023 0:00,41.51,37.44,32.25,41.36
1/19/2023 0:00,41.96,37.27,31.66,41.47
1/20/2023 0:00,42.33,37.56,31.78,41.72
1/21/2023 0:00,41.97,37.61,31.59,41.97
1/22/2023 0:00,41.49,37.75,33.82,42.98
1/23/2023 0:00,41.63,37.53,33.58,41.72
1/24/2023 0:00,41.78,37.75,34.54,49.76
1/25/2023 0:00,41.71,37.43,34.32,40.66
1/26/2023 0:00,42.13,37.37,32.88,40.55
1/27/2023 0:00,41.89,37.41,34.25,40.66
1/28/2023 0:00,41.82,37.51,35.02,40.59
1/29/2023 0:00,41.99,37.56,35.78,40.23
1/30/2023 0:00,42.42,36.83,35.26,39.36
1/31/2023 0:00,42.57,36.29,34.23,38.89
2/1/2023 0:00,42.26,36.34,34.77,38.93
2/2/2023 0:00,41.94,36.47,34.81,38.55
2/3/2023 0:00,41.68,36.18,33.58,38.52
2/4/2023 0:00,40.52,36.22,34.05,39.15
2/5/2023 0:00,40.17,36.45,34.2,38.98
2/6/2023 0:00,40.33,36.41,34.07,38.79
2/7/2023 0:00,40.51,36.36,34.12,38.57
2/8/2023 0:00,41.63,36.5,34.2,39.27
2/9/2023 0:00,41.95,36.54,33.35,39.58
2/10/2023 0:00,42.09,36.89,34.57,38.88
2/11/2023 0:00,42.29,37.32,35.1,38.85
2/12/2023 0:00,42.27,37.87,36.1,42.14
2/13/2023 0:00,42.29,37.73,36.21,39.77
2/14/2023 0:00,42.58,37.36,35.96,38.74
2/15/2023 0:00,43,37.63,36.99,39.34
2/16/2023 0:00,43.65,38.12,37.31,39.69
2/17/2023 0:00,44.13,38.13,36.97,39.27
2/18/2023 0:00,43.42,38.75,37.71,40.08
2/19/2023 0:00,43.16,38.75,37.83,39.62
2/20/2023 0:00,43.63,39.28,36.57,42.82
2/21/2023 0:00,44.09,39.54,35.92,42.62
2/22/2023 0:00,44.5,40.03,36.03,43.05
2/23/2023 0:00,44.64,40.27,35.91,44.02
2/24/2023 0:00,44.77,40.55,36.18,43.16
2/25/2023 0:00,44.49,40.88,37.18,43.86
2/26/2023 0:00,44.06,41.28,37.13,44.46
2/27/2023 0:00,44.17,41.34,38.08,48.33
2/28/2023 0:00,44.58,41.46,38.52,44.08
3/1/2023 0:00,45.16,41.67,38.8,44.71
3/2/2023 0:00,45.62,41.34,38.25,44.28
3/3/2023 0:00,45.77,41.24,38.48,43.47
3/4/2023 0:00,45.62,41.5,39.25,43.61
3/5/2023 0:00,45.97,41.74,38.95,46.76
3/6/2023 0:00,46.46,41.94,39.07,45.39
3/7/2023 0:00,46.55,42.19,39.13,44.78
3/8/2023 0:00,46.1,42.32,38.32,46.39
3/9/2023 0:00,46.28,42.48,39.52,46.09
3/10/2023 0:00,46.24,43.01,40.01,46.6
3/11/2023 0:00,45.85,43.36,40.33,46.26
3/12/2023 0:00,45.3,45.21,42.4,47.19
3/13/2023 0:00,45.26,44.77,42.07,49.5
3/14/2023 0:00,45.19,44.98,42.51,51.21
3/15/2023 0:00,44.69,44.9,42.8,48.74
3/16/2023 0:00,44.77,45.31,42.76,47.97
3/17/2023 0:00,45.53,45.59,43.05,49.01
3/18/2023 0:00,45.73,45.96,43.79,48.99
3/19/2023 0:00,45.49,46.48,43.38,50.41
3/20/2023 0:00,45.14,46.84,43.14,53.73
3/21/2023 0:00,45.42,47.05,42.57,53.44
3/22/2023 0:00,45.75,47.36,43.81,51.42
3/23/2023 0:00,46.52,47.24,44.11,50.97
3/24/2023 0:00,47.31,47.58,44.04,50.55
3/25/2023 0:00,47.18,48.24,45.07,52.45
3/26/2023 0:00,47.83,48.55,45.1,51.66
3/27/2023 0:00,48.65,48.66,44.98,52.09
3/28/2023 0:00,48.86,48.61,45.27,52.79
3/29/2023 0:00,49.36,48.63,44.46,52.74
3/30/2023 0:00,49.15,48.9,44.53,52.45
3/31/2023 0:00,49.42,49.42,46.74,54.01
4/1/2023 0:00,50.38,49.65,47.1,53.44
4/2/2023 0:00,50.36,48.88,46.61,52.9
4/3/2023 0:00,50.6,48.61,46.96,51.39
4/4/2023 0:00,51.09,49.33,47.28,54.14
4/5/2023 0:00,51.97,49.6,47.8,53.06
4/6/2023 0:00,53.24,51.06,47.63,59.13
4/7/2023 0:00,53.79,52.06,48.17,58.01
4/8/2023 0:00,53.01,52.57,48.5,57.36
4/9/2023 0:00,53.09,53.01,48.99,56.66
4/10/2023 0:00,53.88,51.85,45.86,57.6
4/11/2023 0:00,54.36,53.22,48.7,59.12
4/12/2023 0:00,55.67,53.26,49.87,56.61
4/13/2023 0:00,57.05,53.94,51.34,57.78
4/14/2023 0:00,58.19,54.84,52.06,57.53
4/15/2023 0:00,58.74,55.84,53.84,60.01
4/16/2023 0:00,60.19,54.96,53.42,57.16
4/17/2023 0:00,60.41,54.51,52.92,57.02
4/18/2023 0:00,59.94,54.47,53.4,57.43
4/19/2023 0:00,59.39,54.04,52.35,57.15
4/20/2023 0:00,60.25,54,51.15,57.63
4/21/2023 0:00,61.89,54.37,51.61,56.79
4/22/2023 0:00,62,54.57,52.74,57.93
4/23/2023 0:00,62.12,54.16,52.39,58.17
4/24/2023 0:00,60.9,56.05,53.52,61.97
4/25/2023 0:00,60.31,56.37,53.91,62.02
4/26/2023 0:00,60.43,57.18,54.16,61.81
4/27/2023 0:00,60.96,57.26,54.37,61.88
4/28/2023 0:00,60.84,57.14,54.36,62.33
4/29/2023 0:00,60.59,57.36,53.53,62.41
4/30/2023 0:00,60.94,57.88,54.12,65.48
5/1/2023 0:00,60.13,57.28,54.54,63.99
5/2/2023 0:00,59.58,58.46,55.15,71.08
5/3/2023 0:00,59.02,59.59,55.26,68.45
5/4/2023 0:00,57.96,60.46,56.16,64.81
5/8/2023 0:00,64.59,60.45,56.71,69.66
5/9/2023 0:00,64.05,60.43,56.45,66.49
5/10/2023 0:00,61.72,60.52,56.42,66.83
5/11/2023 0:00,63,61,55.54,69.64
5/12/2023 0:00,64.63,61.63,56.41,69.31
5/13/2023 0:00,65.59,61.72,55.9,67.84
5/14/2023 0:00,65.72,62.05,55.18,69.66
5/15/2023 0:00,65.04,62.93,56.64,69.87
5/16/2023 0:00,65.44,63.18,57.43,69.66
5/17/2023 0:00,65.7,64.52,59.07,70.35
5/18/2023 0:00,65.32,64.84,60.66,69.28
5/19/2023 0:00,65.31,64.77,60.66,72.09
5/20/2023 0:00,66.46,65.46,60.03,72.16
5/21/2023 0:00,66.48,66.06,59.05,73.53
5/22/2023 0:00,67.1,66.64,59.04,73.37
5/23/2023 0:00,67.57,67.06,59.79,77.74
5/24/2023 0:00,67.27,67.11,60.82,75.03
5/25/2023 0:00,67.2,66.15,61.95,68.84
5/26/2023 0:00,66.95,66.54,61.74,71.18
5/27/2023 0:00,67.24,68.37,62.31,76.57
5/28/2023 0:00,67.1,69.2,64.9,75.11
5/29/2023 0:00,67.11,70.23,65.73,76.6
5/30/2023 0:00,67.04,68.2,65.37,73
5/31/2023 0:00,67.08,69.54,65.47,82.75
6/1/2023 0:00,68.09,70.66,64.94,78.82
6/2/2023 0:00,69.32,70.25,65.1,81.95
6/3/2023 0:00,71.2,71.08,65.88,76.61
6/4/2023 0:00,70.45,69.85,66.33,76.47
6/5/2023 0:00,70.65,70.81,68.09,74.95
6/6/2023 0:00,71.26,71.51,69.24,75.37
6/7/2023 0:00,71.02,72.92,69.87,78.19
6/8/2023 0:00,70.44,73.51,70.63,78.36
6/9/2023 0:00,70.36,73.94,70.48,80.75
6/10/2023 0:00,70.49,73.94,71.31,81.99
6/11/2023 0:00,71.22,73.75,72.25,76.69
6/12/2023 0:00,71.44,73.16,71.4,75.65
6/13/2023 0:00,71.67,73.92,71.42,80.67
6/14/2023 0:00,71.35,74.07,71.37,78.1
6/15/2023 0:00,71.82,73.97,71.19,80.91
6/16/2023 0:00,72.04,74.09,64.85,78.33
6/17/2023 0:00,72.02,74.34,71.82,82.45
6/18/2023 0:00,72.28,74.24,70.77,77.92
6/19/2023 0:00,72.6,74.47,70.41,82.15
6/20/2023 0:00,72.99,75.32,72.32,82.51
6/21/2023 0:00,72.22,75.7,72.72,79.3
6/22/2023 0:00,70.92,75.86,72.38,81.19
6/23/2023 0:00,71.05,75.44,72.66,80.8
6/24/2023 0:00,72.35,75.95,72.57,81.46
6/25/2023 0:00,73.83,76.38,73.77,80.32
6/26/2023 0:00,74.54,76.93,74.14,79.36
6/27/2023 0:00,75.04,76.59,74.36,81.1
6/28/2023 0:00,74.72,78.49,74.19,86.9
6/29/2023 0:00,75.94,78.89,74.39,83.48
6/30/2023 0:00,75.74,79.75,74.97,85.5
7/1/2023 0:00,75.28,79.79,47.03,85.03
7/2/2023 0:00,75.42,79.8,76.58,84.63
7/3/2023 0:00,77.17,80.46,77.63,89.13
7/4/2023 0:00,78.09,81.9,77.08,89.26
7/5/2023 0:00,79.7,82.14,77.56,87.82
7/6/2023 0:00,81.1,81.92,77.74,85.53
7/7/2023 0:00,81.4,81.48,78.43,85.19
7/8/2023 0:00,82.56,80.56,77.95,85.95
7/9/2023 0:00,82.04,80.42,77.74,86.14
7/10/2023 0:00,81.19,80.25,77.53,83.53
7/11/2023 0:00,81.18,81.44,80.65,83.17
7/12/2023 0:00,81.45,82.35,80.62,86.54
7/13/2023 0:00,81.53,82.65,80.37,85.68
7/14/2023 0:00,81.5,83.3,80.82,86.99
7/15/2023 0:00,81.5,83.45,80.94,86.61
7/16/2023 0:00,81.23,83.05,79.43,89.44
7/17/2023 0:00,81.59,82.33,79.93,85.44
7/18/2023 0:00,82.35,82.41,80.29,85.42
