Date,2020 Daily,2010-2019 avg
01/01/2020 00:00:00,43.68,45.04
01/02/2020 00:00:00,43.15,44.79
01/03/2020 00:00:00,44.11,43.87
01/04/2020 00:00:00,44.52,42.97
01/05/2020 00:00:00,44.29,42.02
01/06/2020 00:00:00,43.55,41.75
01/07/2020 00:00:00,43.76,41.89
01/08/2020 00:00:00,43.48,41.53
01/09/2020 00:00:00,42.52,41.31
01/10/2020 00:00:00,42.51,41.40
01/11/2020 00:00:00,43.06,39.60
01/12/2020 00:00:00,43.94,38.87
01/13/2020 00:00:00,nan,39.02
01/14/2020 00:00:00,nan,38.29
01/15/2020 00:00:00,nan,37.73
01/16/2020 00:00:00,nan,37.57
01/17/2020 00:00:00,nan,37.50
01/18/2020 00:00:00,nan,37.99
01/19/2020 00:00:00,nan,37.95
01/20/2020 00:00:00,nan,37.75
01/21/2020 00:00:00,nan,37.65
01/22/2020 00:00:00,nan,37.34
01/23/2020 00:00:00,nan,36.77
01/24/2020 00:00:00,nan,36.01
01/25/2020 00:00:00,nan,34.34
01/26/2020 00:00:00,nan,34.85
01/27/2020 00:00:00,nan,35.08
01/28/2020 00:00:00,nan,35.03
01/29/2020 00:00:00,nan,35.11
01/30/2020 00:00:00,nan,35.28
01/31/2020 00:00:00,nan,35.32
02/01/2020 00:00:00,nan,35.09
02/02/2020 00:00:00,nan,35.59
02/03/2020 00:00:00,nan,35.71
02/04/2020 00:00:00,nan,35.48
02/05/2020 00:00:00,nan,35.49
02/06/2020 00:00:00,nan,35.84
02/07/2020 00:00:00,nan,35.94
02/08/2020 00:00:00,nan,36.10
02/09/2020 00:00:00,nan,35.87
02/10/2020 00:00:00,nan,35.69
02/11/2020 00:00:00,nan,35.60
02/12/2020 00:00:00,nan,35.96
02/13/2020 00:00:00,nan,35.94
02/14/2020 00:00:00,nan,36.15
02/15/2020 00:00:00,nan,36.35
02/16/2020 00:00:00,nan,36.87
02/17/2020 00:00:00,nan,37.07
02/18/2020 00:00:00,nan,37.44
02/19/2020 00:00:00,nan,37.72
02/20/2020 00:00:00,42.53,38.06
02/21/2020 00:00:00,42.19,38.34
02/22/2020 00:00:00,41.63,38.58
02/23/2020 00:00:00,41.96,38.84
02/24/2020 00:00:00,42.62,39.05
02/25/2020 00:00:00,42.98,39.31
02/26/2020 00:00:00,43.79,39.39
02/27/2020 00:00:00,43.34,39.80
02/28/2020 00:00:00,42.67,40.29
02/29/2020 00:00:00,42.35,39.39
03/01/2020 00:00:00,42.13,40.29
03/02/2020 00:00:00,42.60,40.55
03/03/2020 00:00:00,43.06,40.47
03/04/2020 00:00:00,44.22,40.51
03/05/2020 00:00:00,44.48,40.94
03/06/2020 00:00:00,44.35,41.10
03/07/2020 00:00:00,43.87,41.42
03/08/2020 00:00:00,44.09,41.73
03/09/2020 00:00:00,45.01,40.86
03/10/2020 00:00:00,45.58,42.84
03/11/2020 00:00:00,46.37,43.11
03/12/2020 00:00:00,47.24,43.59
03/13/2020 00:00:00,47.94,43.89
03/14/2020 00:00:00,47.43,43.40
03/15/2020 00:00:00,47.31,43.92
03/16/2020 00:00:00,47.38,44.67
03/17/2020 00:00:00,47.89,45.56
03/18/2020 00:00:00,49.19,44.81
03/19/2020 00:00:00,50.11,46.36
03/20/2020 00:00:00,51.18,46.26
03/21/2020 00:00:00,51.04,45.57
03/22/2020 00:00:00,50.09,45.87
03/23/2020 00:00:00,49.34,46.11
03/24/2020 00:00:00,49.32,45.94
03/25/2020 00:00:00,49.47,45.99
03/26/2020 00:00:00,49.72,45.92
03/27/2020 00:00:00,51.08,45.90
03/28/2020 00:00:00,51.66,45.90
03/29/2020 00:00:00,51.78,46.79
03/31/2020 00:00:00,52.96,46.89
04/01/2020 00:00:00,51.63,47.18
04/02/2020 00:00:00,50.94,47.13
04/03/2020 00:00:00,50.36,47.22
04/04/2020 00:00:00,50.98,48.38
04/05/2020 00:00:00,51.99,48.56
04/06/2020 00:00:00,53.82,48.92
04/07/2020 00:00:00,54.39,49.47
04/08/2020 00:00:00,55.17,50.08
04/09/2020 00:00:00,56.28,51.29
04/10/2020 00:00:00,54.03,52.06
04/11/2020 00:00:00,52.82,52.46
04/12/2020 00:00:00,53.24,52.65
04/13/2020 00:00:00,54.33,53.01
04/14/2020 00:00:00,55.20,53.48
04/15/2020 00:00:00,55.03,54.19
04/16/2020 00:00:00,54.12,54.39
04/17/2020 00:00:00,53.89,54.17
04/18/2020 00:00:00,53.88,55.19
04/19/2020 00:00:00,53.78,55.46
04/20/2020 00:00:00,54.43,55.92
04/21/2020 00:00:00,54.50,56.87
04/22/2020 00:00:00,54.08,57.68
04/23/2020 00:00:00,54.30,57.17
04/24/2020 00:00:00,54.21,56.70
04/25/2020 00:00:00,55.33,57.18
04/26/2020 00:00:00,55.54,57.79
04/27/2020 00:00:00,54.92,58.28
04/28/2020 00:00:00,54.37,58.44
04/29/2020 00:00:00,54.95,58.07
04/30/2020 00:00:00,55.57,59.00
05/01/2020 00:00:00,56.20,59.03
05/02/2020 00:00:00,56.67,60.26
05/03/2020 00:00:00,57.24,61.24
05/04/2020 00:00:00,58.63,61.62
05/05/2020 00:00:00,57.90,61.86
05/06/2020 00:00:00,57.45,61.87
05/07/2020 00:00:00,57.52,62.15
05/08/2020 00:00:00,57.75,63.04
05/09/2020 00:00:00,56.97,63.26
05/10/2020 00:00:00,56.28,63.62
05/11/2020 00:00:00,56.68,64.69
05/12/2020 00:00:00,56.41,64.61
05/13/2020 00:00:00,56.82,64.13
05/14/2020 00:00:00,57.42,63.52
05/15/2020 00:00:00,58.81,63.48
05/16/2020 00:00:00,60.80,64.21
05/17/2020 00:00:00,61.37,65.05
05/18/2020 00:00:00,61.03,65.37
05/19/2020 00:00:00,60.49,65.56
05/20/2020 00:00:00,59.68,66.22
05/21/2020 00:00:00,60.09,66.57
05/22/2020 00:00:00,60.87,66.81
05/23/2020 00:00:00,63.16,66.61
05/24/2020 00:00:00,63.76,68.01
05/25/2020 00:00:00,63.28,69.25
05/26/2020 00:00:00,66.48,69.82
05/27/2020 00:00:00,68.40,70.89
05/28/2020 00:00:00,66.65,71.77
05/29/2020 00:00:00,66.41,72.86
05/30/2020 00:00:00,68.84,73.84
05/31/2020 00:00:00,69.51,74.82
06/01/2020 00:00:00,67.83,75.47
06/02/2020 00:00:00,66.68,75.34
06/03/2020 00:00:00,67.45,73.70
06/04/2020 00:00:00,69.33,72.57
06/05/2020 00:00:00,70.07,72.48
06/06/2020 00:00:00,72.80,73.52
06/07/2020 00:00:00,73.29,73.82
06/08/2020 00:00:00,72.67,72.36
06/09/2020 00:00:00,72.74,72.51
06/10/2020 00:00:00,73.49,72.67
