"","Year","Lower95","Median","Upper95","Mean","SD"
"N[1]",1990,283,289,295,288.88,3.171
"N[2]",1991,291,298,304,297.672,3.475
"N[3]",1992,299,305,312,305.342,3.218
"N[4]",1993,293,299,305,298.909,3.174
"N[5]",1994,298,303,308,302.681,2.739
"N[6]",1995,300,305,310,304.884,2.569
"N[7]",1996,315,320,325,319.63,2.737
"N[8]",1997,324,329,335,329.328,2.765
"N[9]",1998,324,329,334,329.041,2.592
"N[10]",1999,324,328,332,327.655,2.255
"N[11]",2000,316,319,323,319.384,1.916
"N[12]",2001,343,346,350,346.164,1.697
"N[13]",2002,353,355,358,355.402,1.458
"N[14]",2003,362,365,368,364.859,1.542
"N[15]",2004,370,372,376,372.384,1.61
"N[16]",2005,394,396,399,396.433,1.366
"N[17]",2006,399,401,404,401.25,1.406
"N[18]",2007,412,413,416,413.546,1.158
"N[19]",2008,428,430,432,429.711,1.226
"N[20]",2009,464,466,468,465.707,1.264
"N[21]",2010,473,476,480,476.115,1.816
"N[22]",2011,479,483,487,482.798,1.894
"N[23]",2012,469,473,478,473.38,2.484
"N[24]",2013,476,481,488,481.347,3.062
"N[25]",2014,471,477,483,477.006,3.062
"N[26]",2015,465,473,482,472.782,4.426
"N[27]",2016,451,457,465,457.237,3.636
"N[28]",2017,430,434,439,433.926,2.498
"N[29]",2018,388,390,394,390.505,1.532
"N[30]",2019,379,381,384,380.794,1.3
"N[31]",2020,357,359,362,359.117,1.395
"N[32]",2021,370,371,374,371.478,1.167
"N[33]",2022,371,374,377,373.736,1.395
"N[34]",2023,373,376,380,376.128,1.701
"N[35]",2024,375,384,394,384.268,4.908
