Year,EPU,Forage_Mean,Forage_SE
2000,MAB,0.076234776,0.191031075
2001,MAB,0.293360166,0.208249232
2002,MAB,0.10396476,0.156328155
2003,MAB,0.013948452,0.30465273
2004,MAB,-0.115036445,0.384230142
2005,MAB,-0.334418054,0.242601733
2006,MAB,-0.007216854,0.173434855
2007,MAB,-0.735734095,0.226674013
2008,MAB,0.011094394,0.182523933
2009,MAB,0.144732739,0.222166645
2010,MAB,0.915559546,0.318724491
2011,MAB,0.03940617,0.184423497
2012,MAB,-0.423411709,0.25007537
2013,MAB,1.082242136,0.312605606
2014,MAB,-0.004343912,0.331031134
2015,MAB,-0.545860423,0.367748934
2016,MAB,0.409370449,0.179682357
2017,MAB,-1.060304873,0.179075974
2018,MAB,0.271252947,0.222770044
2019,MAB,-0.134840168,0.284669339
2000,GB,0.704857091,0.171029195
2001,GB,0.201783253,0.297976247
2002,GB,0.111673431,0.297871839
2003,GB,0.149004022,0.243198874
2004,GB,-0.445494918,0.302647493
2005,GB,-0.495859448,0.245450695
2006,GB,0.40216264,0.168539106
2007,GB,-0.665890266,0.215697288
2008,GB,-0.267350662,0.22908751
2009,GB,-0.716422424,0.213005597
2010,GB,-0.594838751,0.17698812
2011,GB,-0.848000538,0.230522338
2012,GB,0.250805573,0.260477512
2013,GB,0.26228546,0.228622922
2014,GB,0.440066508,0.245359279
2015,GB,0.169357599,0.363847885
2016,GB,0.071114831,0.244154927
2017,GB,-0.142915113,0.23447422
2018,GB,1.325022246,0.282087602
2019,GB,0.088639533,0.229026363
2000,GOM,0.539714721,0.176028951
2001,GOM,0.480858708,0.146943185
2002,GOM,-0.338309539,0.240303468
2003,GOM,-0.559101922,0.279805721
2004,GOM,-0.64277261,0.236661505
2005,GOM,-1.20364804,0.19163445
2006,GOM,-0.588913001,0.161128352
2007,GOM,-0.506608209,0.282397786
2008,GOM,-0.527039005,0.182860766
2009,GOM,-0.371379005,0.160342665
2010,GOM,0.541312213,0.250385821
2011,GOM,-0.273218104,0.268520283
2012,GOM,0.260192366,0.289006389
2013,GOM,0.276333977,0.233645131
2014,GOM,0.326165174,0.230904521
2015,GOM,0.730497931,0.258666521
2016,GOM,0.760852252,0.248854133
2017,GOM,-0.225936277,0.297825941
2018,GOM,0.494057458,0.331963054
2019,GOM,0.82694092,0.180368332
