Time,Region,Value,Units,Var,Source
1982,MA,7.968581982,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1983,MA,7.812406471,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1984,MA,7.049247754,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1985,MA,7.863927688,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1986,MA,8.372932991,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1987,MA,8.329248705,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1988,MA,8.083366918,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1989,MA,7.364489486,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1990,MA,7.41556597,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1991,MA,6.906337826,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1992,MA,6.632497573,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1993,MA,6.16603119,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1994,MA,6.486302945,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1995,MA,6.64800772,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1996,MA,7.325790676,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1997,MA,6.816751661,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1998,MA,5.786055764,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1999,MA,6.246366693,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2000,MA,6.309242894,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2001,MA,6.859525492,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2002,MA,6.522551049,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2003,MA,6.010994942,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2004,MA,6.220299934,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2005,MA,5.960310906,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2006,MA,7.004746417,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2007,MA,6.349786501,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2008,MA,6.556531351,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2009,MA,6.49619203,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2010,MA,6.606438816,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2011,MA,6.348995924,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2012,MA,6.261026114,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2013,MA,5.664147146,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2014,MA,6.864333078,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2015,MA,5.862058591,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2016,MA,6.757921376,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2017,MA,7.186947775,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1982,NE,6.972539855,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1983,NE,6.768236551,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1984,NE,7.373790607,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1985,NE,7.066925688,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1986,NE,7.423214783,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1987,NE,7.564054326,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1988,NE,8.532474632,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1989,NE,7.294841113,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1990,NE,7.636877906,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1991,NE,6.58178609,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1992,NE,6.813570402,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1993,NE,7.171940579,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1994,NE,5.287989837,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1995,NE,6.876018507,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1996,NE,6.894884241,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1997,NE,6.923197252,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1998,NE,5.969951211,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
1999,NE,7.589693176,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2000,NE,7.563878047,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2001,NE,7.606165332,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2002,NE,7.727225993,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2003,NE,7.538647793,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2004,NE,6.888874647,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2005,NE,7.064409589,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2006,NE,6.125160442,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2007,NE,7.298137018,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2008,NE,8.486599566,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2009,NE,8.986791389,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2010,NE,8.486215428,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2011,NE,8.520079975,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2012,NE,8.979702703,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2013,NE,9.578883804,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2014,NE,9.564901049,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2015,NE,8.667826991,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2016,NE,9.000905453,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
2017,NE,8.315084977,Effective Shannon,Recreational Diversity of Catch,MRIP catch time series.
