"","Time","Region","Value","Var","Units","Source"
"1",1982,"NE",844422,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"2",1983,"NE",1123441,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"3",1984,"NE",1023930,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"4",1985,"NE",1121032,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"5",1986,"NE",1199838,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"6",1987,"NE",859250,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"7",1988,"NE",958911,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"8",1989,"NE",1033812,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"9",1990,"NE",962542,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"10",1991,"NE",1203175,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"11",1992,"NE",977393,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"12",1993,"NE",875892,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"13",1994,"NE",844727,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"14",1995,"NE",861437,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"15",1996,"NE",973680,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"16",1997,"NE",1123338,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"17",1998,"NE",976316,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"18",1999,"NE",831381,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"19",2000,"NE",1162554,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
"20",2001,"NE",1076798,"Recreational anglers","Number of anglers","MRFSS/MRIP Participation Time Series. Note that this measure only includes in-state anglers to avoid double-counting."
