Species,EPU,YEAR,MeanCond
Acadian redfish,GB,1992,0.98413365
Acadian redfish,GB,1993,0.967825035
Acadian redfish,GB,1994,0.908735961
Acadian redfish,GB,1996,0.998350768
Acadian redfish,GB,1997,0.990763264
Acadian redfish,GB,1999,0.969089368
Acadian redfish,GB,2000,0.951908522
Acadian redfish,GB,2001,0.914801025
Acadian redfish,GB,2002,0.952592881
Acadian redfish,GB,2003,1.0687173
Acadian redfish,GB,2004,0.978432303
Acadian redfish,GB,2005,0.89122931
Acadian redfish,GB,2006,0.928981132
Acadian redfish,GB,2008,0.880499053
Acadian redfish,GB,2009,1.051810187
Acadian redfish,GB,2010,0.958704029
Acadian redfish,GB,2011,0.984143224
Acadian redfish,GB,2012,0.955958161
Acadian redfish,GB,2013,1.027705303
Acadian redfish,GB,2014,0.969228336
Acadian redfish,GB,2015,1.078685326
Acadian redfish,GB,2016,1.012911833
Acadian redfish,GB,2018,0.983982863
Acadian redfish,GB,2019,0.965606484
Acadian redfish,GB,2022,1.032229509
Acadian redfish,GB,2023,0.958252432
Acadian redfish,GOM,1992,0.969081304
Acadian redfish,GOM,1993,0.98622863
Acadian redfish,GOM,1994,0.948221428
Acadian redfish,GOM,1995,0.955696159
Acadian redfish,GOM,1996,0.990608275
Acadian redfish,GOM,1997,0.991225265
Acadian redfish,GOM,1998,1.031334567
Acadian redfish,GOM,1999,0.980314298
Acadian redfish,GOM,2000,0.985563042
Acadian redfish,GOM,2001,0.933355818
Acadian redfish,GOM,2002,0.929127115
Acadian redfish,GOM,2003,0.931261742
Acadian redfish,GOM,2004,0.948467596
Acadian redfish,GOM,2005,0.929521221
Acadian redfish,GOM,2006,0.951234791
Acadian redfish,GOM,2007,0.96320614
Acadian redfish,GOM,2008,0.921661574
Acadian redfish,GOM,2009,0.954642377
Acadian redfish,GOM,2010,0.949079044
Acadian redfish,GOM,2011,0.951836851
Acadian redfish,GOM,2012,0.956360025
Acadian redfish,GOM,2013,0.949759848
Acadian redfish,GOM,2014,0.953374322
Acadian redfish,GOM,2015,0.964997964
Acadian redfish,GOM,2016,0.945851876
Acadian redfish,GOM,2017,0.934706013
Acadian redfish,GOM,2018,0.958517389
Acadian redfish,GOM,2019,0.957711015
Acadian redfish,GOM,2021,0.976964514
Acadian redfish,GOM,2022,0.957962109
Acadian redfish,GOM,2023,0.963590887
Acadian redfish,SS,1992,1.014439924
Acadian redfish,SS,1993,1.031046669
Acadian redfish,SS,1994,1.012464035
Acadian redfish,SS,1995,0.992765875
Acadian redfish,SS,1996,1.061702193
Acadian redfish,SS,1997,1.013604064
Acadian redfish,SS,1998,1.053378436
Acadian redfish,SS,1999,1.026809743
Acadian redfish,SS,2000,0.976169784
Acadian redfish,SS,2001,0.974486571
Acadian redfish,SS,2002,1.016387031
Acadian redfish,SS,2003,0.995202597
Acadian redfish,SS,2004,1.004423815
Acadian redfish,SS,2005,0.989820424
Acadian redfish,SS,2006,0.957342106
Acadian redfish,SS,2007,1.007225511
Acadian redfish,SS,2008,0.973539439
Acadian redfish,SS,2009,0.965851026
Acadian redfish,SS,2010,0.981848604
Acadian redfish,SS,2011,0.991636682
Acadian redfish,SS,2012,1.00046228
Acadian redfish,SS,2013,1.005580459
Acadian redfish,SS,2014,0.980597912
Acadian redfish,SS,2015,1.027343544
Acadian redfish,SS,2016,0.998713481
Acadian redfish,SS,2017,0.975158737
Acadian redfish,SS,2018,0.969296107
Acadian redfish,SS,2019,0.979297003
Acadian redfish,SS,2021,1.023779236
Acadian redfish,SS,2022,0.994882665
Acadian redfish,SS,2023,0.948722
American plaice,GB,1992,1.057002832
American plaice,GB,1993,1.092530515
American plaice,GB,1994,1.09870383
American plaice,GB,1995,1.036840451
American plaice,GB,1996,1.052302522
American plaice,GB,1997,1.040289807
American plaice,GB,1998,1.049274989
American plaice,GB,1999,0.983793568
American plaice,GB,2000,1.027946492
American plaice,GB,2001,0.964311723
American plaice,GB,2002,0.999128722
American plaice,GB,2003,0.991428298
American plaice,GB,2004,0.983225298
American plaice,GB,2005,0.947343712
American plaice,GB,2006,1.011640693
American plaice,GB,2007,1.008367195
American plaice,GB,2008,1.044834638
American plaice,GB,2009,0.979309308
American plaice,GB,2010,0.953289798
American plaice,GB,2011,1.032163197
American plaice,GB,2012,0.903683058
American plaice,GB,2013,1.02240961
American plaice,GB,2014,1.06425618
American plaice,GB,2015,1.003135093
American plaice,GB,2016,0.966677644
American plaice,GB,2019,0.999490024
American plaice,GOM,1992,0.986082611
American plaice,GOM,1993,1.022237494
American plaice,GOM,1994,0.996735241
American plaice,GOM,1995,0.964385533
American plaice,GOM,1996,0.978245772
American plaice,GOM,1997,0.998988279
American plaice,GOM,1998,0.996783391
American plaice,GOM,1999,0.988402201
American plaice,GOM,2000,0.95835955
American plaice,GOM,2001,0.955297081
American plaice,GOM,2002,0.914822829
American plaice,GOM,2003,0.917628736
American plaice,GOM,2004,0.903602362
American plaice,GOM,2005,0.917215838
American plaice,GOM,2006,0.896391862
American plaice,GOM,2007,0.901357335
American plaice,GOM,2008,0.898982326
American plaice,GOM,2009,0.924553705
American plaice,GOM,2010,0.938939864
American plaice,GOM,2011,0.942210382
American plaice,GOM,2012,0.986517995
American plaice,GOM,2013,1.006813477
American plaice,GOM,2014,0.994580305
American plaice,GOM,2015,1.00684237
American plaice,GOM,2016,1.014620132
American plaice,GOM,2017,0.977649688
American plaice,GOM,2018,0.978419887
American plaice,GOM,2019,0.941901794
American plaice,GOM,2021,1.003523359
American plaice,GOM,2022,1.02659541
American plaice,GOM,2023,1.003813574
American plaice,SS,1992,0.98418862
American plaice,SS,1993,1.025677263
American plaice,SS,1994,0.970521124
American plaice,SS,1995,0.928059572
American plaice,SS,1996,1.046120932
American plaice,SS,1997,0.988924235
American plaice,SS,1998,0.955719803
American plaice,SS,1999,1.012627426
American plaice,SS,2000,0.986406956
American plaice,SS,2001,0.947826478
American plaice,SS,2002,0.981193636
American plaice,SS,2003,0.952047966
American plaice,SS,2004,0.963477497
American plaice,SS,2005,0.930432203
American plaice,SS,2006,0.94950045
American plaice,SS,2007,0.98591682
American plaice,SS,2008,0.974078078
American plaice,SS,2009,0.987254678
American plaice,SS,2010,0.994673507
American plaice,SS,2011,0.941573238
American plaice,SS,2012,0.976428099
American plaice,SS,2013,1.029687167
American plaice,SS,2014,1.003334529
American plaice,SS,2015,1.021237
American plaice,SS,2016,1.012886845
American plaice,SS,2017,0.996236892
American plaice,SS,2019,0.977878675
American plaice,SS,2021,1.028348055
American plaice,SS,2022,1.000822001
American plaice,SS,2023,0.962854052
Atlantic cod,GB,1992,1.007526725
Atlantic cod,GB,1993,0.997564415
Atlantic cod,GB,1994,0.998011652
Atlantic cod,GB,1995,0.982374314
Atlantic cod,GB,1996,0.997792021
Atlantic cod,GB,1997,0.995632787
Atlantic cod,GB,1998,1.005502543
Atlantic cod,GB,1999,1.046462046
Atlantic cod,GB,2000,1.011375549
Atlantic cod,GB,2001,1.017119302
Atlantic cod,GB,2002,0.986531288
Atlantic cod,GB,2003,1.028167761
Atlantic cod,GB,2004,0.966085217
Atlantic cod,GB,2005,0.991530105
Atlantic cod,GB,2006,0.981661059
Atlantic cod,GB,2007,1.008962169
Atlantic cod,GB,2008,1.02795813
Atlantic cod,GB,2009,0.980451294
Atlantic cod,GB,2010,0.973187306
Atlantic cod,GB,2011,1.000954512
Atlantic cod,GB,2012,0.977833573
Atlantic cod,GB,2013,0.992017276
Atlantic cod,GB,2014,0.990382323
Atlantic cod,GB,2015,1.031688856
Atlantic cod,GB,2016,0.979957109
Atlantic cod,GB,2017,1.017478023
Atlantic cod,GB,2018,1.014631641
Atlantic cod,GB,2019,0.998751231
Atlantic cod,GB,2021,1.058273201
Atlantic cod,GB,2022,1.024467081
Atlantic cod,GB,2023,1.060540066
Atlantic cod,GOM,1992,1.000181919
Atlantic cod,GOM,1993,0.997483515
Atlantic cod,GOM,1994,0.994378244
Atlantic cod,GOM,1995,0.997455459
Atlantic cod,GOM,1996,1.012645394
Atlantic cod,GOM,1997,1.019425514
Atlantic cod,GOM,1998,1.00472144
Atlantic cod,GOM,1999,1.024015592
Atlantic cod,GOM,2000,0.985674585
Atlantic cod,GOM,2001,1.005444991
Atlantic cod,GOM,2002,1.02392725
Atlantic cod,GOM,2003,0.986511485
Atlantic cod,GOM,2004,0.975067785
Atlantic cod,GOM,2005,0.967625439
Atlantic cod,GOM,2006,0.967148155
Atlantic cod,GOM,2007,0.989143785
Atlantic cod,GOM,2008,0.987747637
Atlantic cod,GOM,2009,1.011823042
Atlantic cod,GOM,2010,0.978767057
Atlantic cod,GOM,2011,0.987176662
Atlantic cod,GOM,2012,1.032802615
Atlantic cod,GOM,2013,1.010723864
Atlantic cod,GOM,2014,1.042953497
Atlantic cod,GOM,2015,1.029955197
Atlantic cod,GOM,2016,0.999497181
Atlantic cod,GOM,2017,1.011253475
Atlantic cod,GOM,2018,1.027329089
Atlantic cod,GOM,2019,1.019512695
Atlantic cod,GOM,2021,1.021556794
Atlantic cod,GOM,2022,1.036021704
Atlantic cod,GOM,2023,1.052394948
Atlantic cod,SS,1992,0.971588748
Atlantic cod,SS,1993,0.979484956
Atlantic cod,SS,1994,0.969272133
Atlantic cod,SS,1995,0.956597598
Atlantic cod,SS,1996,0.956155115
Atlantic cod,SS,1997,0.953114291
Atlantic cod,SS,1998,0.953229178
Atlantic cod,SS,1999,0.991282452
Atlantic cod,SS,2000,0.982507609
Atlantic cod,SS,2001,0.94533378
Atlantic cod,SS,2002,0.965838024
Atlantic cod,SS,2003,0.958768281
Atlantic cod,SS,2004,0.946758856
Atlantic cod,SS,2005,0.951733795
Atlantic cod,SS,2006,0.964332715
Atlantic cod,SS,2007,0.950562014
Atlantic cod,SS,2008,0.985278247
Atlantic cod,SS,2009,0.964005866
Atlantic cod,SS,2010,0.979353101
Atlantic cod,SS,2011,0.954575053
Atlantic cod,SS,2012,0.987157238
Atlantic cod,SS,2013,0.991850257
Atlantic cod,SS,2014,0.959697548
Atlantic cod,SS,2015,0.988855896
Atlantic cod,SS,2016,0.967352301
Atlantic cod,SS,2017,0.950727768
Atlantic cod,SS,2018,0.971808425
Atlantic cod,SS,2019,1.029720707
Atlantic cod,SS,2021,0.987719766
Atlantic cod,SS,2022,0.993791984
Atlantic cod,SS,2023,1.000667215
Atlantic croaker,MAB,1992,1.023078801
Atlantic croaker,MAB,1996,1.026541617
Atlantic croaker,MAB,1997,1.003851295
Atlantic croaker,MAB,1998,0.979459563
Atlantic croaker,MAB,1999,1.026830567
Atlantic croaker,MAB,2000,1.03588457
Atlantic croaker,MAB,2001,1.00049971
Atlantic croaker,MAB,2002,0.991100611
Atlantic croaker,MAB,2003,1.027453347
Atlantic croaker,MAB,2004,0.993844427
Atlantic croaker,MAB,2005,0.988897196
Atlantic croaker,MAB,2006,0.97846793
Atlantic croaker,MAB,2007,1.005358348
Atlantic croaker,MAB,2008,0.96396418
Atlantic croaker,MAB,2009,0.999459652
Atlantic croaker,MAB,2010,1.02279546
Atlantic croaker,MAB,2011,1.036219404
Atlantic croaker,MAB,2012,0.958723583
Atlantic croaker,MAB,2013,0.995314653
Atlantic croaker,MAB,2014,0.976187424
Atlantic croaker,MAB,2015,0.992889866
Atlantic croaker,MAB,2016,1.006710346
Atlantic croaker,MAB,2018,1.007119033
Atlantic croaker,MAB,2019,1.001095677
Atlantic croaker,MAB,2021,0.961872568
Atlantic croaker,MAB,2022,1.001108376
Atlantic croaker,MAB,2023,0.963140748
Atlantic croaker,NA,1996,0.972584169
Atlantic croaker,NA,1998,0.970906809
Atlantic croaker,NA,1999,1.015515172
Atlantic croaker,NA,2000,0.950813318
Atlantic croaker,NA,2001,0.93196443
Atlantic croaker,NA,2002,0.957789651
Atlantic croaker,NA,2003,1.020610063
Atlantic croaker,NA,2004,0.915777126
Atlantic croaker,NA,2005,0.936988416
Atlantic croaker,NA,2006,0.899108017
Atlantic croaker,NA,2007,0.964259781
Atlantic croaker,NA,2008,0.90041155
Atlantic croaker,NA,2009,0.969232311
Atlantic croaker,NA,2010,0.964076663
Atlantic croaker,NA,2011,1.026302852
Atlantic croaker,NA,2012,0.956227117
Atlantic croaker,NA,2013,0.939629487
Atlantic croaker,NA,2014,0.913728576
Atlantic croaker,NA,2015,0.957220265
Atlantic croaker,NA,2016,0.935054834
Atlantic croaker,NA,2018,0.921127465
Atlantic croaker,NA,2019,0.935240001
Atlantic croaker,NA,2021,0.926238029
Atlantic croaker,NA,2022,1.026758219
Atlantic croaker,NA,2023,0.937457092
Atlantic halibut,SS,1999,0.998460536
Atlantic halibut,SS,2000,0.919796078
Atlantic halibut,SS,2001,0.956655989
Atlantic halibut,SS,2002,0.98301031
Atlantic halibut,SS,2003,0.941025736
Atlantic halibut,SS,2004,0.980466997
Atlantic halibut,SS,2005,0.958173916
Atlantic halibut,SS,2006,0.924595732
