"","Time","Var","Value","EPU","Units"
"1","2008","All Other (Top 5 Species Revenue from Wind Development Areas)",9651140.95851197,"MAB","2019 Constant Dollars"
"2","2009","All Other (Top 5 Species Revenue from Wind Development Areas)",7237523.7607293,"MAB","2019 Constant Dollars"
"3","2010","All Other (Top 5 Species Revenue from Wind Development Areas)",7675695.63037386,"MAB","2019 Constant Dollars"
"4","2011","All Other (Top 5 Species Revenue from Wind Development Areas)",9514863.99952053,"MAB","2019 Constant Dollars"
"5","2012","All Other (Top 5 Species Revenue from Wind Development Areas)",7370742.45389166,"MAB","2019 Constant Dollars"
"6","2013","All Other (Top 5 Species Revenue from Wind Development Areas)",8570435.64387609,"MAB","2019 Constant Dollars"
"7","2014","All Other (Top 5 Species Revenue from Wind Development Areas)",9153158.01669632,"MAB","2019 Constant Dollars"
"8","2015","All Other (Top 5 Species Revenue from Wind Development Areas)",6989296.30910401,"MAB","2019 Constant Dollars"
"9","2016","All Other (Top 5 Species Revenue from Wind Development Areas)",7700110.18436831,"MAB","2019 Constant Dollars"
"10","2017","All Other (Top 5 Species Revenue from Wind Development Areas)",5682754.66085991,"MAB","2019 Constant Dollars"
"11","2018","All Other (Top 5 Species Revenue from Wind Development Areas)",5180605.5264167,"MAB","2019 Constant Dollars"
"12","2008","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",693418.836359379,"MAB","2019 Constant Dollars"
"13","2009","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",520889.476214903,"MAB","2019 Constant Dollars"
"14","2010","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",213817.001675655,"MAB","2019 Constant Dollars"
"15","2011","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",727740.586692615,"MAB","2019 Constant Dollars"
"16","2012","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",1015135.14571022,"MAB","2019 Constant Dollars"
"17","2013","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",594469.104352181,"MAB","2019 Constant Dollars"
"18","2014","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",1086730.59654295,"MAB","2019 Constant Dollars"
"19","2015","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",1167690.17948632,"MAB","2019 Constant Dollars"
"20","2016","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",3644442.12412295,"MAB","2019 Constant Dollars"
"21","2017","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",648722.139358316,"MAB","2019 Constant Dollars"
"22","2018","Longfin Squid (Top 5 Species Revenue from Wind Development Areas)",589467.245136253,"MAB","2019 Constant Dollars"
"23","2008","Monkfish (Top 5 Species Revenue from Wind Development Areas)",916890.510494214,"MAB","2019 Constant Dollars"
"24","2009","Monkfish (Top 5 Species Revenue from Wind Development Areas)",722809.808383269,"MAB","2019 Constant Dollars"
"25","2010","Monkfish (Top 5 Species Revenue from Wind Development Areas)",719916.641379311,"MAB","2019 Constant Dollars"
"26","2011","Monkfish (Top 5 Species Revenue from Wind Development Areas)",1022450.77059539,"MAB","2019 Constant Dollars"
"27","2012","Monkfish (Top 5 Species Revenue from Wind Development Areas)",1354027.6595636,"MAB","2019 Constant Dollars"
"28","2013","Monkfish (Top 5 Species Revenue from Wind Development Areas)",747538.377683857,"MAB","2019 Constant Dollars"
"29","2014","Monkfish (Top 5 Species Revenue from Wind Development Areas)",711037.354372121,"MAB","2019 Constant Dollars"
"30","2015","Monkfish (Top 5 Species Revenue from Wind Development Areas)",639643.430220251,"MAB","2019 Constant Dollars"
"31","2016","Monkfish (Top 5 Species Revenue from Wind Development Areas)",644361.757392616,"MAB","2019 Constant Dollars"
"32","2017","Monkfish (Top 5 Species Revenue from Wind Development Areas)",603558.546822507,"MAB","2019 Constant Dollars"
"33","2018","Monkfish (Top 5 Species Revenue from Wind Development Areas)",513534.509901621,"MAB","2019 Constant Dollars"
"34","2008","Ocean Quahog (Top 5 Species Revenue from Wind Development Areas)",655210.487799442,"MAB","2019 Constant Dollars"
"35","2009","Ocean Quahog (Top 5 Species Revenue from Wind Development Areas)",993044.346964001,"MAB","2019 Constant Dollars"
"36","2010","Ocean Quahog (Top 5 Species Revenue from Wind Development Areas)",1477991.4732508,"MAB","2019 Constant Dollars"
"37","2011","Ocean Quahog (Top 5 Species Revenue from Wind Development Areas)",944729.092109839,"MAB","2019 Constant Dollars"
"38","2012","Ocean Quahog (Top 5 Species Revenue from Wind Development Areas)",703898.541283447,"MAB","2019 Constant Dollars"
"39","2008","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",285023.847044987,"MAB","2019 Constant Dollars"
"40","2009","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",303369.76902769,"MAB","2019 Constant Dollars"
"41","2010","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",401363.887441644,"MAB","2019 Constant Dollars"
"42","2011","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",434419.263539413,"MAB","2019 Constant Dollars"
"43","2012","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",434363.934536452,"MAB","2019 Constant Dollars"
"44","2013","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",906683.865431183,"MAB","2019 Constant Dollars"
"45","2014","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",618794.307722058,"MAB","2019 Constant Dollars"
"46","2015","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",395385.963143518,"MAB","2019 Constant Dollars"
"47","2016","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",316889.908359615,"MAB","2019 Constant Dollars"
"48","2017","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",313564.418163149,"MAB","2019 Constant Dollars"
"49","2018","Summer Flounder (Top 5 Species Revenue from Wind Development Areas)",344759.754200954,"MAB","2019 Constant Dollars"
"50","2008","Surf Clam (Top 5 Species Revenue from Wind Development Areas)",3111021.52956089,"MAB","2019 Constant Dollars"
