Time,Var,Value
1999.4270,Tsfc_anom,0.9284
2000.2839,Tsfc_anom,1.2707
2000.4853,Tsfc_anom,0.3372
2000.6086,Tsfc_anom,-1.1223
2000.7519,Tsfc_anom,-0.3660
2000.8628,Tsfc_anom,-0.2667
2001.1385,Tsfc_anom,0.1801
2001.2698,Tsfc_anom,0.0943
2001.5914,Tsfc_anom,0.5611
2001.6428,Tsfc_anom,0.4188
2001.7523,Tsfc_anom,0.1507
2001.8576,Tsfc_anom,0.9700
2002.2686,Tsfc_anom,1.0855
2002.4140,Tsfc_anom,1.0969
2002.6036,Tsfc_anom,0.9186
2002.6516,Tsfc_anom,1.7595
2002.7687,Tsfc_anom,1.0627
2003.6477,Tsfc_anom,-0.3909
2003.7577,Tsfc_anom,-0.0451
2003.8554,Tsfc_anom,0.6669
2004.2584,Tsfc_anom,-1.0454
2004.4210,Tsfc_anom,-1.2577
2004.5754,Tsfc_anom,-1.2056
2004.6513,Tsfc_anom,-0.8937
2004.7757,Tsfc_anom,-0.9769
2004.8666,Tsfc_anom,-1.1497
2005.2606,Tsfc_anom,-0.7180
2005.4195,Tsfc_anom,-1.5279
2005.5834,Tsfc_anom,-0.3191
2005.6311,Tsfc_anom,-0.4186
2005.7822,Tsfc_anom,0.4807
2005.8714,Tsfc_anom,-0.5346
2006.2524,Tsfc_anom,0.0149
2006.4380,Tsfc_anom,0.3348
2006.5904,Tsfc_anom,0.6720
2006.6485,Tsfc_anom,1.0506
2006.7561,Tsfc_anom,-0.0960
2007.2664,Tsfc_anom,-0.3209
2007.5923,Tsfc_anom,0.1719
2007.7749,Tsfc_anom,-0.1743
2008.2886,Tsfc_anom,-0.0267
1978.5313,Tsfc_anom,-0.9523
1979.5277,Tsfc_anom,0.2834
1979.8101,Tsfc_anom,-0.2364
1980.2375,Tsfc_anom,-0.7254
1980.8015,Tsfc_anom,0.1128
1980.9594,Tsfc_anom,-1.3175
1981.1797,Tsfc_anom,-0.1532
1981.9240,Tsfc_anom,-0.6504
1982.1810,Tsfc_anom,-1.1179
1983.4464,Tsfc_anom,-0.8289
1984.3984,Tsfc_anom,-0.0172
1985.3644,Tsfc_anom,0.3706
1988.9328,Tsfc_anom,-0.5916
1992.2541,Tsfc_anom,-0.9002
1992.3994,Tsfc_anom,-2.2696
1992.7782,Tsfc_anom,-1.3846
1993.2720,Tsfc_anom,-1.0774
1994.4295,Tsfc_anom,-0.1834
1994.5311,Tsfc_anom,1.9218
1994.6539,Tsfc_anom,-0.7715
1994.7742,Tsfc_anom,-1.0130
1994.8708,Tsfc_anom,0.3277
1995.0337,Tsfc_anom,1.1484
1995.1593,Tsfc_anom,0.0789
1995.2783,Tsfc_anom,-0.1877
1995.3670,Tsfc_anom,-0.6953
1995.4415,Tsfc_anom,-1.1918
1995.5365,Tsfc_anom,-1.0254
1995.5812,Tsfc_anom,-0.2465
1995.7566,Tsfc_anom,0.5148
1996.1566,Tsfc_anom,-0.2004
1996.3000,Tsfc_anom,-0.8363
1996.3633,Tsfc_anom,-0.8022
1996.4018,Tsfc_anom,-0.6853
1996.4379,Tsfc_anom,-0.9483
1996.4749,Tsfc_anom,-0.5708
1996.6421,Tsfc_anom,-1.4234
1996.6713,Tsfc_anom,-2.0442
1996.7825,Tsfc_anom,-2.3759
1996.8641,Tsfc_anom,-1.6506
1997.1537,Tsfc_anom,0.1169
1997.2562,Tsfc_anom,-0.3395
1997.3944,Tsfc_anom,-0.7447
1997.4761,Tsfc_anom,-0.5505
1997.6124,Tsfc_anom,0.4035
1997.7868,Tsfc_anom,-0.6707
1998.0343,Tsfc_anom,0.3629
1998.1540,Tsfc_anom,0.0992
1998.2464,Tsfc_anom,0.2763
1998.3760,Tsfc_anom,-0.3805
1998.4267,Tsfc_anom,0.4270
1998.4708,Tsfc_anom,-0.0094
1998.6072,Tsfc_anom,0.7407
1998.8095,Tsfc_anom,-1.0758
1999.0492,Tsfc_anom,0.3555
1999.1451,Tsfc_anom,0.3707
1999.2684,Tsfc_anom,0.2670
1999.3928,Tsfc_anom,0.8734
1999.4653,Tsfc_anom,1.0441
1999.5891,Tsfc_anom,3.4355
1999.7963,Tsfc_anom,0.5497
1999.8787,Tsfc_anom,1.1158
1991.7636,Tsfc_anom,-0.2595
1977.8432,Tsfc_anom,-0.1604
1978.3809,Tsfc_anom,-1.3120
2003.6400,Tsfc_anom,-0.4814
1978.6661,Tsfc_anom,-0.6249
1978.7808,Tsfc_anom,-1.4638
1978.8853,Tsfc_anom,0.4116
1979.6532,Tsfc_anom,-0.5982
2000.4211,Tsfc_anom,0.2576
2000.7497,Tsfc_anom,-0.3092
2001.4156,Tsfc_anom,0.1081
2001.4593,Tsfc_anom,2.3509
2001.7355,Tsfc_anom,-0.2429
2002.7340,Tsfc_anom,0.9550
2002.8570,Tsfc_anom,0.2708
2003.0823,Tsfc_anom,-0.5438
2003.2671,Tsfc_anom,-0.6079
2003.4010,Tsfc_anom,-0.8692
2003.7253,Tsfc_anom,-0.8379
2003.8421,Tsfc_anom,0.3581
2004.7456,Tsfc_anom,-1.1240
2005.0925,Tsfc_anom,-0.9075
2005.7328,Tsfc_anom,-0.6152
2006.0933,Tsfc_anom,0.7377
2006.7405,Tsfc_anom,0.0618
2007.4131,Tsfc_anom,0.9643
2007.6443,Tsfc_anom,-0.3050
2007.8068,Tsfc_anom,-0.2804
2008.0886,Tsfc_anom,-0.1020
2008.6425,Tsfc_anom,-0.8508
2008.7358,Tsfc_anom,-0.2374
2008.8559,Tsfc_anom,0.1769
2009.1043,Tsfc_anom,-0.5455
2009.4286,Tsfc_anom,0.3350
2009.6518,Tsfc_anom,-0.3022
2009.7499,Tsfc_anom,-0.9119
2009.8706,Tsfc_anom,0.5242
2010.1239,Tsfc_anom,-0.2287
2010.4241,Tsfc_anom,1.1507
2010.6608,Tsfc_anom,1.2274
2010.7527,Tsfc_anom,-0.5505
2010.9011,Tsfc_anom,0.1022
2011.1173,Tsfc_anom,0.4731
2011.4521,Tsfc_anom,0.5724
2011.7399,Tsfc_anom,0.3841
2011.8724,Tsfc_anom,0.4502
2011.9242,Tsfc_anom,1.9701
2012.1103,Tsfc_anom,1.7545
2012.3527,Tsfc_anom,1.9678
1979.3892,Tsfc_anom,0.4259
1980.4455,Tsfc_anom,-1.0000
1981.4326,Tsfc_anom,0.3275
1982.3896,Tsfc_anom,-0.9402
1982.8971,Tsfc_anom,0.4993
1983.0667,Tsfc_anom,1.1561
1983.9351,Tsfc_anom,-0.3402
1984.0608,Tsfc_anom,-0.4161
1984.9061,Tsfc_anom,0.4295
1985.0540,Tsfc_anom,0.2259
1985.2629,Tsfc_anom,0.6707
1985.7062,Tsfc_anom,-0.6731
1985.9031,Tsfc_anom,0.9463
1986.0839,Tsfc_anom,0.2292
1986.4107,Tsfc_anom,-0.4312
1986.7104,Tsfc_anom,-1.4967
1986.8976,Tsfc_anom,-0.1091
1987.0976,Tsfc_anom,-0.0236
1987.3820,Tsfc_anom,-0.6729
1987.6794,Tsfc_anom,-1.1500
1987.9191,Tsfc_anom,-1.3927
1988.8585,Tsfc_anom,-0.8140
1989.0410,Tsfc_anom,-1.1747
1989.8662,Tsfc_anom,0.3485
1989.9412,Tsfc_anom,-1.5869
1990.0267,Tsfc_anom,-1.9920
1990.1588,Tsfc_anom,-0.2316
1990.3281,Tsfc_anom,0.4300
1990.3659,Tsfc_anom,0.4023
1990.7657,Tsfc_anom,0.1845
1990.8446,Tsfc_anom,0.1579
1990.9321,Tsfc_anom,-0.3866
1991.0261,Tsfc_anom,0.5206
1991.1212,Tsfc_anom,0.4754
1991.2465,Tsfc_anom,0.3117
1991.7634,Tsfc_anom,-0.4962
1991.8627,Tsfc_anom,-0.8855
1991.9429,Tsfc_anom,-0.3158
1992.0346,Tsfc_anom,-0.1017
1992.0968,Tsfc_anom,-0.6620
1992.1763,Tsfc_anom,-0.3628
1992.4953,Tsfc_anom,-0.9803
1992.8374,Tsfc_anom,-1.1090
1992.9494,Tsfc_anom,-1.0420
1993.0325,Tsfc_anom,-0.9098
1993.7591,Tsfc_anom,-0.8063
1993.8530,Tsfc_anom,-0.6387
1993.9315,Tsfc_anom,0.1025
1994.0346,Tsfc_anom,-1.0710
1994.1408,Tsfc_anom,-0.7771
1994.2739,Tsfc_anom,-0.2975
1994.4844,Tsfc_anom,-0.2166
1994.6318,Tsfc_anom,0.0587
1998.8678,Tsfc_anom,-0.7714
1999.2637,Tsfc_anom,0.4332
1995.1247,Tsfc_anom,0.6066
1995.2110,Tsfc_anom,0.4953
1995.2929,Tsfc_anom,-0.1122
1996.0403,Tsfc_anom,-0.6251
1996.1345,Tsfc_anom,-0.3260
1996.2886,Tsfc_anom,-0.6744
1999.2072,Tsfc_anom,0.2487
1980.3410,Tsfc_anom,-0.2953
1980.5887,Tsfc_anom,0.5088
2013.6553,Tsfc_anom,-0.1042
2013.4473,Tsfc_anom,0.9724
2013.8851,Tsfc_anom,0.3811
2014.1704,Tsfc_anom,0.3056
2014.2910,Tsfc_anom,0.7454
2015.8057,Tsfc_anom,0.5902
2016.4184,Tsfc_anom,1.1660
2017.4066,Tsfc_anom,0.2122
2017.8393,Tsfc_anom,2.0223
2018.6457,Tsfc_anom,0.9600
2019.6504,Tsfc_anom,0.7495
2019.8226,Tsfc_anom,0.3387
2021.3842,Tsfc_anom,1.8992
2008.2802,Tsfc_anom,-0.0612
2008.4179,Tsfc_anom,-0.3039
2008.7786,Tsfc_anom,-0.1600
2009.2841,Tsfc_anom,-0.0351
2009.8190,Tsfc_anom,-0.7871
2010.2819,Tsfc_anom,1.0883
2010.8210,Tsfc_anom,-0.0904
2011.2740,Tsfc_anom,0.3051
2011.7950,Tsfc_anom,0.7632
2012.2718,Tsfc_anom,1.8791
2012.4505,Tsfc_anom,1.6821
2012.6280,Tsfc_anom,2.5672
2012.7806,Tsfc_anom,1.7272
2013.2823,Tsfc_anom,0.8952
2013.8147,Tsfc_anom,0.3791
2014.3435,Tsfc_anom,0.2512
2014.7910,Tsfc_anom,1.0624
2015.2819,Tsfc_anom,-0.1578
2015.4023,Tsfc_anom,0.9953
2015.7639,Tsfc_anom,1.0563
2016.3811,Tsfc_anom,0.8153
2016.7814,Tsfc_anom,1.4816
2017.1354,Tsfc_anom,1.2766
2017.2960,Tsfc_anom,0.6726
2018.3309,Tsfc_anom,0.7356
2018.4106,Tsfc_anom,0.1675
2018.7673,Tsfc_anom,0.9102
2019.2942,Tsfc_anom,0.2959
2019.4092,Tsfc_anom,-0.0141
2019.8007,Tsfc_anom,0.1324
2021.3329,Tsfc_anom,1.4122
2021.8030,Tsfc_anom,1.8602
1998.6510,Tsfc_anom,-0.2329
1999.6502,Tsfc_anom,1.2071
1995.3720,Tsfc_anom,-0.4680
1995.4745,Tsfc_anom,-1.2203
1995.5530,Tsfc_anom,-1.3243
1977.9170,Tsfc_anom,0.2588
1981.2639,Tsfc_anom,-0.1855
2002.6433,Tsfc_anom,1.7396
1996.2140,Tsfc_anom,-0.3453
1997.1308,Tsfc_anom,0.0061
1997.2215,Tsfc_anom,-0.0635
1997.3181,Tsfc_anom,-0.6528
1997.3682,Tsfc_anom,-0.6760
1998.1178,Tsfc_anom,-0.1046
1998.2183,Tsfc_anom,0.2209
1998.3022,Tsfc_anom,0.1676
1999.1287,Tsfc_anom,0.7713
1999.3043,Tsfc_anom,0.2718
1991.6244,Tsfc_anom,-0.8862
1992.6318,Tsfc_anom,-1.2104
1993.6288,Tsfc_anom,-1.3698
2012.7195,Tsfc_anom,0.9869
2012.8505,Tsfc_anom,1.7578
2013.1423,Tsfc_anom,1.3138
2014.8481,Tsfc_anom,0.4181
2016.6276,Tsfc_anom,0.7838
2017.8380,Tsfc_anom,1.0012
2021.6151,Tsfc_anom,2.1761
1995.6436,Tsfc_anom,1.1792
1996.4313,Tsfc_anom,-0.7149
