Time,Var,Value
2000.1417,Tsfc_anom,0.7107
2000.2389,Tsfc_anom,0.9087
2000.7164,Tsfc_anom,-0.6614
2000.8452,Tsfc_anom,-0.649
2001.1086,Tsfc_anom,-0.4545
2001.2097,Tsfc_anom,0.0203
2001.3911,Tsfc_anom,-0.7868
2001.7137,Tsfc_anom,0.8546
2001.8392,Tsfc_anom,0.8832
2002.1372,Tsfc_anom,2.2774
2002.2077,Tsfc_anom,2.2662
2002.4001,Tsfc_anom,-0.0025
2002.7154,Tsfc_anom,0.1737
2003.7223,Tsfc_anom,-0.2586
2004.1371,Tsfc_anom,-1.3718
2004.2169,Tsfc_anom,-1.0822
2004.4088,Tsfc_anom,2.066
2004.6385,Tsfc_anom,-0.7196
2004.7301,Tsfc_anom,-0.5883
2004.8499,Tsfc_anom,-0.4272
2005.1253,Tsfc_anom,-1.035
2005.2126,Tsfc_anom,-1.5269
2005.4037,Tsfc_anom,-3.6808
2005.7262,Tsfc_anom,1.6918
2005.8594,Tsfc_anom,0.3854
2006.1323,Tsfc_anom,1.1148
2006.208,Tsfc_anom,0.78
2006.4242,Tsfc_anom,1.5375
2006.6334,Tsfc_anom,0.4406
2006.7135,Tsfc_anom,-1.3277
2007.1357,Tsfc_anom,1.1535
2007.2181,Tsfc_anom,0.1237
2007.7358,Tsfc_anom,0.1517
1978.4999,Tsfc_anom,-1.2269
1979.503,Tsfc_anom,-1.1326
1979.7804,Tsfc_anom,-1.5192
1980.189,Tsfc_anom,-1.0434
1980.7627,Tsfc_anom,0.3594
1980.9171,Tsfc_anom,-1.1738
1982.2111,Tsfc_anom,-1.3105
1983.4222,Tsfc_anom,-0.8489
1984.3732,Tsfc_anom,-0.1811
1985.383,Tsfc_anom,0.4806
1992.207,Tsfc_anom,0.0066
1992.7296,Tsfc_anom,-0.2308
1993.1256,Tsfc_anom,-0.4631
1993.2307,Tsfc_anom,-1.4228
1994.7224,Tsfc_anom,-1.66
1995.1274,Tsfc_anom,0.6976
1995.2312,Tsfc_anom,0.5842
1995.7155,Tsfc_anom,-0.1268
1996.1286,Tsfc_anom,-1.4051
1996.243,Tsfc_anom,-1.3895
1996.7228,Tsfc_anom,-1.6397
1997.1197,Tsfc_anom,-0.0992
1997.2037,Tsfc_anom,0.6365
1997.5716,Tsfc_anom,-0.9732
1997.7264,Tsfc_anom,-0.5146
1998.128,Tsfc_anom,0.568
1998.1961,Tsfc_anom,0.5043
1998.412,Tsfc_anom,0.2432
1998.7509,Tsfc_anom,0.6094
1999.1094,Tsfc_anom,1.3114
1999.2144,Tsfc_anom,0.5308
1999.7563,Tsfc_anom,0.1295
1977.8147,Tsfc_anom,-1.9452
1978.3341,Tsfc_anom,-1.6642
1978.6329,Tsfc_anom,0.8711
1979.6316,Tsfc_anom,-3.0401
2000.4048,Tsfc_anom,-0.1085
2002.8372,Tsfc_anom,0.628
2003.1446,Tsfc_anom,-0.5009
2003.2187,Tsfc_anom,-0.1571
2007.4001,Tsfc_anom,0.5415
2007.8448,Tsfc_anom,0.8867
2008.6287,Tsfc_anom,0.0353
2008.8365,Tsfc_anom,-0.4866
2009.0872,Tsfc_anom,-0.621
2009.4135,Tsfc_anom,-0.2202
2009.6367,Tsfc_anom,1.6428
2009.8515,Tsfc_anom,-0.4751
2010.4096,Tsfc_anom,0.7784
2010.8666,Tsfc_anom,-0.1365
2011.0962,Tsfc_anom,-1.2063
2011.4345,Tsfc_anom,2.5041
2011.8526,Tsfc_anom,0.303
2012.1302,Tsfc_anom,2.4599
1978.1527,Tsfc_anom,-1.8744
1979.1704,Tsfc_anom,-1.8441
1979.3633,Tsfc_anom,1.0026
1980.4179,Tsfc_anom,0.6908
1983.9024,Tsfc_anom,0.0978
1984.0909,Tsfc_anom,-0.9352
1984.8598,Tsfc_anom,1.0955
1985.0878,Tsfc_anom,-0.4015
1985.2881,Tsfc_anom,0.6851
1985.6836,Tsfc_anom,0.0233
1985.8733,Tsfc_anom,1.1304
1986.0493,Tsfc_anom,0.8514
1986.3722,Tsfc_anom,-1.2928
1986.6786,Tsfc_anom,-2.9933
1986.8635,Tsfc_anom,0.3798
1987.0485,Tsfc_anom,0.0809
1987.3657,Tsfc_anom,-2.1192
1987.6519,Tsfc_anom,-0.6465
1987.8684,Tsfc_anom,-1.1982
1991.2102,Tsfc_anom,1.3942
1991.7212,Tsfc_anom,0.0844
1992.4727,Tsfc_anom,-1.3789
1993.7189,Tsfc_anom,0.2752
1994.108,Tsfc_anom,-1.0703
1994.1969,Tsfc_anom,-1.2056
1994.5915,Tsfc_anom,-0.6137
1998.8518,Tsfc_anom,-0.8599
1980.3139,Tsfc_anom,-0.3739
1980.5614,Tsfc_anom,-0.2274
2013.4638,Tsfc_anom,-0.5483
2014.2247,Tsfc_anom,-1.241
2015.7871,Tsfc_anom,0.4531
2016.4081,Tsfc_anom,-0.9447
2017.3855,Tsfc_anom,0.4046
2017.8493,Tsfc_anom,2.2087
2018.6537,Tsfc_anom,0.7632
2019.6328,Tsfc_anom,1.8244
2019.8029,Tsfc_anom,0.424
2008.712,Tsfc_anom,-0.4883
2009.2144,Tsfc_anom,-0.0925
2009.7387,Tsfc_anom,-0.7254
2010.2022,Tsfc_anom,-0.2646
2010.7364,Tsfc_anom,-0.3852
2011.2112,Tsfc_anom,0.0764
2011.7299,Tsfc_anom,0.298
2012.2119,Tsfc_anom,3.6767
2012.4266,Tsfc_anom,2.6785
2012.6127,Tsfc_anom,1.9421
2012.7318,Tsfc_anom,1.3084
2013.2344,Tsfc_anom,0.1677
2013.7226,Tsfc_anom,-0.0457
2014.7335,Tsfc_anom,0.6358
2015.2339,Tsfc_anom,-1.024
2015.3901,Tsfc_anom,0.8596
2015.7072,Tsfc_anom,1.8744
2016.3114,Tsfc_anom,0.4586
2016.7263,Tsfc_anom,0.8931
2017.2345,Tsfc_anom,0.41
2018.257,Tsfc_anom,-0.4253
2018.7046,Tsfc_anom,1.3817
2019.2279,Tsfc_anom,0.3612
2019.7207,Tsfc_anom,0.208
1981.2394,Tsfc_anom,-0.9681
2002.6294,Tsfc_anom,1.437
2012.8595,Tsfc_anom,0.1184
2013.1294,Tsfc_anom,0.722
2014.8723,Tsfc_anom,1.2575
2016.6163,Tsfc_anom,1.9686
2018.8556,Tsfc_anom,0.916
1977.6458,Tsfc_anom,-1.0827
2000.1417,Tsfc_ref,13.8253
2000.2389,Tsfc_ref,13.8253
2000.7164,Tsfc_ref,13.8253
2000.8452,Tsfc_ref,13.8253
2001.1086,Tsfc_ref,13.8253
2001.2097,Tsfc_ref,13.8253
2001.3911,Tsfc_ref,13.8253
2001.7137,Tsfc_ref,13.8253
2001.8392,Tsfc_ref,13.8253
2002.1372,Tsfc_ref,13.8253
2002.2077,Tsfc_ref,13.8253
2002.4001,Tsfc_ref,13.8253
2002.7154,Tsfc_ref,13.8253
2003.7223,Tsfc_ref,13.8253
2004.1371,Tsfc_ref,13.8253
2004.2169,Tsfc_ref,13.8253
2004.4088,Tsfc_ref,13.8253
2004.6385,Tsfc_ref,13.8253
2004.7301,Tsfc_ref,13.8253
2004.8499,Tsfc_ref,13.8253
2005.1253,Tsfc_ref,13.8253
2005.2126,Tsfc_ref,13.8253
2005.4037,Tsfc_ref,13.8253
2005.7262,Tsfc_ref,13.8253
2005.8594,Tsfc_ref,13.8253
2006.1323,Tsfc_ref,13.8253
2006.208,Tsfc_ref,13.8253
2006.4242,Tsfc_ref,13.8253
2006.6334,Tsfc_ref,13.8253
2006.7135,Tsfc_ref,13.8253
2007.1357,Tsfc_ref,13.8253
2007.2181,Tsfc_ref,13.8253
2007.7358,Tsfc_ref,13.8253
1978.4999,Tsfc_ref,13.8253
1979.503,Tsfc_ref,13.8253
1979.7804,Tsfc_ref,13.8253
1980.189,Tsfc_ref,13.8253
1980.7627,Tsfc_ref,13.8253
1980.9171,Tsfc_ref,13.8253
1982.2111,Tsfc_ref,13.8253
1983.4222,Tsfc_ref,13.8253
1984.3732,Tsfc_ref,13.8253
1985.383,Tsfc_ref,13.8253
1992.207,Tsfc_ref,13.8253
1992.7296,Tsfc_ref,13.8253
1993.1256,Tsfc_ref,13.8253
1993.2307,Tsfc_ref,13.8253
1994.7224,Tsfc_ref,13.8253
1995.1274,Tsfc_ref,13.8253
1995.2312,Tsfc_ref,13.8253
1995.7155,Tsfc_ref,13.8253
1996.1286,Tsfc_ref,13.8253
1996.243,Tsfc_ref,13.8253
1996.7228,Tsfc_ref,13.8253
1997.1197,Tsfc_ref,13.8253
1997.2037,Tsfc_ref,13.8253
1997.5716,Tsfc_ref,13.8253
1997.7264,Tsfc_ref,13.8253
1998.128,Tsfc_ref,13.8253
1998.1961,Tsfc_ref,13.8253
1998.412,Tsfc_ref,13.8253
1998.7509,Tsfc_ref,13.8253
1999.1094,Tsfc_ref,13.8253
1999.2144,Tsfc_ref,13.8253
1999.7563,Tsfc_ref,13.8253
1977.8147,Tsfc_ref,13.8253
1978.3341,Tsfc_ref,13.8253
1978.6329,Tsfc_ref,13.8253
1979.6316,Tsfc_ref,13.8253
2000.4048,Tsfc_ref,13.8253
2002.8372,Tsfc_ref,13.8253
2003.1446,Tsfc_ref,13.8253
2003.2187,Tsfc_ref,13.8253
2007.4001,Tsfc_ref,13.8253
2007.8448,Tsfc_ref,13.8253
2008.6287,Tsfc_ref,13.8253
2008.8365,Tsfc_ref,13.8253
2009.0872,Tsfc_ref,13.8253
2009.4135,Tsfc_ref,13.8253
2009.6367,Tsfc_ref,13.8253
2009.8515,Tsfc_ref,13.8253
2010.4096,Tsfc_ref,13.8253
2010.8666,Tsfc_ref,13.8253
2011.0962,Tsfc_ref,13.8253
2011.4345,Tsfc_ref,13.8253
2011.8526,Tsfc_ref,13.8253
2012.1302,Tsfc_ref,13.8253
1978.1527,Tsfc_ref,13.8253
1979.1704,Tsfc_ref,13.8253
1979.3633,Tsfc_ref,13.8253
1980.4179,Tsfc_ref,13.8253
1983.9024,Tsfc_ref,13.8253
1984.0909,Tsfc_ref,13.8253
1984.8598,Tsfc_ref,13.8253
1985.0878,Tsfc_ref,13.8253
1985.2881,Tsfc_ref,13.8253
1985.6836,Tsfc_ref,13.8253
1985.8733,Tsfc_ref,13.8253
1986.0493,Tsfc_ref,13.8253
1986.3722,Tsfc_ref,13.8253
1986.6786,Tsfc_ref,13.8253
1986.8635,Tsfc_ref,13.8253
1987.0485,Tsfc_ref,13.8253
1987.3657,Tsfc_ref,13.8253
1987.6519,Tsfc_ref,13.8253
1987.8684,Tsfc_ref,13.8253
1991.2102,Tsfc_ref,13.8253
1991.7212,Tsfc_ref,13.8253
1992.4727,Tsfc_ref,13.8253
1993.7189,Tsfc_ref,13.8253
1994.108,Tsfc_ref,13.8253
1994.1969,Tsfc_ref,13.8253
1994.5915,Tsfc_ref,13.8253
1998.8518,Tsfc_ref,13.8253
1980.3139,Tsfc_ref,13.8253
1980.5614,Tsfc_ref,13.8253
2013.4638,Tsfc_ref,13.8253
2014.2247,Tsfc_ref,13.8253
2015.7871,Tsfc_ref,13.8253
2016.4081,Tsfc_ref,13.8253
2017.3855,Tsfc_ref,13.8253
2017.8493,Tsfc_ref,13.8253
2018.6537,Tsfc_ref,13.8253
2019.6328,Tsfc_ref,13.8253
2019.8029,Tsfc_ref,13.8253
2008.712,Tsfc_ref,13.8253
2009.2144,Tsfc_ref,13.8253
2009.7387,Tsfc_ref,13.8253
2010.2022,Tsfc_ref,13.8253
2010.7364,Tsfc_ref,13.8253
2011.2112,Tsfc_ref,13.8253
2011.7299,Tsfc_ref,13.8253
2012.2119,Tsfc_ref,13.8253
2012.4266,Tsfc_ref,13.8253
2012.6127,Tsfc_ref,13.8253
2012.7318,Tsfc_ref,13.8253
2013.2344,Tsfc_ref,13.8253
2013.7226,Tsfc_ref,13.8253
