Time,Var,Value
1992.6425,Tsfc_anom,-2.0324
1999.4368,Tsfc_anom,1.0587
2000.3178,Tsfc_anom,0.6689
2000.6576,Tsfc_anom,2.0678
2000.7733,Tsfc_anom,-0.2677
2000.8734,Tsfc_anom,0.1888
2001.2895,Tsfc_anom,-0.9906
2001.6493,Tsfc_anom,-0.7655
2001.7744,Tsfc_anom,-0.1291
2001.8672,Tsfc_anom,-0.6628
2002.0747,Tsfc_anom,1.4173
2002.2973,Tsfc_anom,0.5123
2002.4217,Tsfc_anom,-0.0229
2002.7994,Tsfc_anom,0.6624
2003.8184,Tsfc_anom,-0.6344
2004.2837,Tsfc_anom,-1.9709
2004.4321,Tsfc_anom,-1.9094
2004.6608,Tsfc_anom,-1.1993
2004.7979,Tsfc_anom,-0.6093
2004.8803,Tsfc_anom,-1.5227
2005.2801,Tsfc_anom,-0.9152
2005.4271,Tsfc_anom,-2.1055
2005.6416,Tsfc_anom,0.0905
2005.7948,Tsfc_anom,0.6534
2005.8772,Tsfc_anom,-0.7004
2006.2706,Tsfc_anom,0.3462
2006.4457,Tsfc_anom,0.2296
2006.6571,Tsfc_anom,0.7386
2006.7770,Tsfc_anom,0.4743
2007.2751,Tsfc_anom,-0.7920
2007.7958,Tsfc_anom,-0.8518
1979.9339,Tsfc_anom,1.1359
1980.2588,Tsfc_anom,0.0264
1980.8127,Tsfc_anom,-0.3751
1981.1506,Tsfc_anom,0.6574
1981.9270,Tsfc_anom,-0.5198
1983.4556,Tsfc_anom,-1.0232
1984.4078,Tsfc_anom,-0.7266
1992.2770,Tsfc_anom,-1.5024
1992.8027,Tsfc_anom,-1.5563
1993.3063,Tsfc_anom,-1.3544
1994.7960,Tsfc_anom,-0.4094
1995.2962,Tsfc_anom,-0.4526
1995.7772,Tsfc_anom,0.0200
1996.3150,Tsfc_anom,-0.9742
1996.7896,Tsfc_anom,-1.6436
1997.2892,Tsfc_anom,-0.6316
1997.7947,Tsfc_anom,-1.8569
1998.0727,Tsfc_anom,-1.1432
1998.2696,Tsfc_anom,-0.3657
1998.4368,Tsfc_anom,-0.6013
1998.8162,Tsfc_anom,-2.3446
1999.2930,Tsfc_anom,0.1136
1999.8204,Tsfc_anom,0.0803
1999.8870,Tsfc_anom,0.6405
2003.6497,Tsfc_anom,1.0587
1978.6566,Tsfc_anom,-1.4197
2000.4287,Tsfc_anom,0.6682
2001.4222,Tsfc_anom,-1.0732
2003.0742,Tsfc_anom,-1.1019
2003.2905,Tsfc_anom,-1.2053
2005.0855,Tsfc_anom,-0.3846
2006.0825,Tsfc_anom,1.0576
2006.8690,Tsfc_anom,0.2465
2007.4199,Tsfc_anom,0.5416
2007.6550,Tsfc_anom,1.4724
2007.8691,Tsfc_anom,-2.2087
2008.6496,Tsfc_anom,-0.1494
2008.8577,Tsfc_anom,-0.2081
2009.4356,Tsfc_anom,-0.4309
2010.4318,Tsfc_anom,1.2713
