"Time","Value","EPU","Source","Var","Units"
1959,7.99241375256691,"GB","ROMS","Annual_Bottom Temp","degree C"
1959,6.09656167974085,"GOM","ROMS","Annual_Bottom Temp","degree C"
1959,9.42006043443879,"MAB","ROMS","Annual_Bottom Temp","degree C"
1959,6.73652529138565,"SS","ROMS","Annual_Bottom Temp","degree C"
1960,8.23650185443804,"GB","ROMS","Annual_Bottom Temp","degree C"
1960,5.70529916606639,"GOM","ROMS","Annual_Bottom Temp","degree C"
1960,9.66167332998305,"MAB","ROMS","Annual_Bottom Temp","degree C"
1960,6.49832562443929,"SS","ROMS","Annual_Bottom Temp","degree C"
1961,7.70334957988614,"GB","ROMS","Annual_Bottom Temp","degree C"
1961,5.71915706952636,"GOM","ROMS","Annual_Bottom Temp","degree C"
1961,9.45511197284575,"MAB","ROMS","Annual_Bottom Temp","degree C"
1961,6.30615785074382,"SS","ROMS","Annual_Bottom Temp","degree C"
1962,8.05223853250443,"GB","ROMS","Annual_Bottom Temp","degree C"
1962,5.64194567030832,"GOM","ROMS","Annual_Bottom Temp","degree C"
1962,10.0437099130561,"MAB","ROMS","Annual_Bottom Temp","degree C"
1962,6.58041290385201,"SS","ROMS","Annual_Bottom Temp","degree C"
1963,8.12118312818369,"GB","ROMS","Annual_Bottom Temp","degree C"
1963,6.12413423121551,"GOM","ROMS","Annual_Bottom Temp","degree C"
1963,9.82505375975609,"MAB","ROMS","Annual_Bottom Temp","degree C"
1963,6.62500812191268,"SS","ROMS","Annual_Bottom Temp","degree C"
1964,7.6756844323938,"GB","ROMS","Annual_Bottom Temp","degree C"
1964,6.64487496495813,"GOM","ROMS","Annual_Bottom Temp","degree C"
1964,9.82276620994157,"MAB","ROMS","Annual_Bottom Temp","degree C"
1964,6.40412521495323,"SS","ROMS","Annual_Bottom Temp","degree C"
1965,7.2112801807307,"GB","ROMS","Annual_Bottom Temp","degree C"
1965,6.06439519854825,"GOM","ROMS","Annual_Bottom Temp","degree C"
1965,8.83579038813684,"MAB","ROMS","Annual_Bottom Temp","degree C"
1965,6.11315691922023,"SS","ROMS","Annual_Bottom Temp","degree C"
1966,7.55405079825192,"GB","ROMS","Annual_Bottom Temp","degree C"
1966,6.11051843435517,"GOM","ROMS","Annual_Bottom Temp","degree C"
1966,8.98379869719822,"MAB","ROMS","Annual_Bottom Temp","degree C"
1966,6.57067142900695,"SS","ROMS","Annual_Bottom Temp","degree C"
1967,7.6218023178032,"GB","ROMS","Annual_Bottom Temp","degree C"
1967,5.99781044006395,"GOM","ROMS","Annual_Bottom Temp","degree C"
1967,9.21737406062315,"MAB","ROMS","Annual_Bottom Temp","degree C"
1967,6.55847952250194,"SS","ROMS","Annual_Bottom Temp","degree C"
1968,7.63481965307958,"GB","ROMS","Annual_Bottom Temp","degree C"
1968,5.63985778944773,"GOM","ROMS","Annual_Bottom Temp","degree C"
1968,9.00044924619064,"MAB","ROMS","Annual_Bottom Temp","degree C"
1968,6.78439488353619,"SS","ROMS","Annual_Bottom Temp","degree C"
1969,8.33110340747679,"GB","ROMS","Annual_Bottom Temp","degree C"
1969,5.50873489732204,"GOM","ROMS","Annual_Bottom Temp","degree C"
1969,9.20176945027311,"MAB","ROMS","Annual_Bottom Temp","degree C"
1969,6.96765033386814,"SS","ROMS","Annual_Bottom Temp","degree C"
1970,8.22834394023575,"GB","ROMS","Annual_Bottom Temp","degree C"
1970,6.2770822393169,"GOM","ROMS","Annual_Bottom Temp","degree C"
1970,9.58857742146025,"MAB","ROMS","Annual_Bottom Temp","degree C"
1970,7.44393058936117,"SS","ROMS","Annual_Bottom Temp","degree C"
1971,8.14807623021,"GB","ROMS","Annual_Bottom Temp","degree C"
1971,6.10366823065762,"GOM","ROMS","Annual_Bottom Temp","degree C"
1971,9.3283078330381,"MAB","ROMS","Annual_Bottom Temp","degree C"
1971,6.81475827291381,"SS","ROMS","Annual_Bottom Temp","degree C"
1972,8.49968963687634,"GB","ROMS","Annual_Bottom Temp","degree C"
1972,6.30616842884647,"GOM","ROMS","Annual_Bottom Temp","degree C"
1972,10.4559935135674,"MAB","ROMS","Annual_Bottom Temp","degree C"
1972,7.22612639372996,"SS","ROMS","Annual_Bottom Temp","degree C"
1973,8.48958140131344,"GB","ROMS","Annual_Bottom Temp","degree C"
1973,6.24927019740252,"GOM","ROMS","Annual_Bottom Temp","degree C"
1973,10.0787527779451,"MAB","ROMS","Annual_Bottom Temp","degree C"
1973,6.89629597053363,"SS","ROMS","Annual_Bottom Temp","degree C"
1974,9.04121894281964,"GB","ROMS","Annual_Bottom Temp","degree C"
1974,6.83389631176047,"GOM","ROMS","Annual_Bottom Temp","degree C"
1974,10.9894970101167,"MAB","ROMS","Annual_Bottom Temp","degree C"
1974,8.2465687883553,"SS","ROMS","Annual_Bottom Temp","degree C"
1975,9.17541559886823,"GB","ROMS","Annual_Bottom Temp","degree C"
1975,7.77137183354189,"GOM","ROMS","Annual_Bottom Temp","degree C"
1975,10.5131119164264,"MAB","ROMS","Annual_Bottom Temp","degree C"
1975,8.09199453642786,"SS","ROMS","Annual_Bottom Temp","degree C"
1976,8.78583792699645,"GB","ROMS","Annual_Bottom Temp","degree C"
1976,8.06181436705103,"GOM","ROMS","Annual_Bottom Temp","degree C"
1976,10.4908715587706,"MAB","ROMS","Annual_Bottom Temp","degree C"
1976,8.56274057037316,"SS","ROMS","Annual_Bottom Temp","degree C"
1977,8.57877471740339,"GB","ROMS","Annual_Bottom Temp","degree C"
1977,6.46686737634062,"GOM","ROMS","Annual_Bottom Temp","degree C"
1977,9.55975044953472,"MAB","ROMS","Annual_Bottom Temp","degree C"
1977,7.5472399848989,"SS","ROMS","Annual_Bottom Temp","degree C"
1978,8.50031119045409,"GB","ROMS","Annual_Bottom Temp","degree C"
1978,6.08890742657528,"GOM","ROMS","Annual_Bottom Temp","degree C"
1978,10.280522898968,"MAB","ROMS","Annual_Bottom Temp","degree C"
1978,7.31721754147146,"SS","ROMS","Annual_Bottom Temp","degree C"
1979,7.91631688456594,"GB","ROMS","Annual_Bottom Temp","degree C"
1979,6.12830436982098,"GOM","ROMS","Annual_Bottom Temp","degree C"
1979,9.38010703798736,"MAB","ROMS","Annual_Bottom Temp","degree C"
1979,7.16811071488712,"SS","ROMS","Annual_Bottom Temp","degree C"
1980,8.18006591692082,"GB","ROMS","Annual_Bottom Temp","degree C"
1980,6.3650528682115,"GOM","ROMS","Annual_Bottom Temp","degree C"
1980,8.86392980740953,"MAB","ROMS","Annual_Bottom Temp","degree C"
1980,7.84955411757523,"SS","ROMS","Annual_Bottom Temp","degree C"
1981,8.10786010165838,"GB","ROMS","Annual_Bottom Temp","degree C"
1981,5.97186711077185,"GOM","ROMS","Annual_Bottom Temp","degree C"
1981,8.90382709273579,"MAB","ROMS","Annual_Bottom Temp","degree C"
1981,7.64201277265685,"SS","ROMS","Annual_Bottom Temp","degree C"
1982,8.25516265656789,"GB","ROMS","Annual_Bottom Temp","degree C"
1982,5.97043510539982,"GOM","ROMS","Annual_Bottom Temp","degree C"
1982,9.87067095893903,"MAB","ROMS","Annual_Bottom Temp","degree C"
1982,7.18172909947806,"SS","ROMS","Annual_Bottom Temp","degree C"
1983,8.73459351424635,"GB","ROMS","Annual_Bottom Temp","degree C"
1983,6.25978882445758,"GOM","ROMS","Annual_Bottom Temp","degree C"
1983,10.7155116786727,"MAB","ROMS","Annual_Bottom Temp","degree C"
1983,7.17564325878971,"SS","ROMS","Annual_Bottom Temp","degree C"
1984,8.38230511305714,"GB","ROMS","Annual_Bottom Temp","degree C"
1984,6.95859283639835,"GOM","ROMS","Annual_Bottom Temp","degree C"
