year,REGION,Council,STATEABBR,GEO_NAME,MAPNAME,geography,TOTPOP,personal_disruption,pop_composition,poverty,labor_force_str,housing_characteristics,housing_disrupt,retiree_migration,urban_sprawl_index,RecEng,RecRel,ComEng,ComRel,ComEng_ct,ComRel_ct,RecEng_ct,RecRel_ct,personal_disruption_rank,pop_composition_rank,poverty_rank,labor_force_str_rank,housing_characteristics_rank,housing_disrupt_rank,retiree_migration_rank,urban_sprawl_index_rank
2022,Northeast,New England,MA,"New Bedford, MA",New Bedford,"New Bedford city, Massachusetts","100,620",0.948,1.029,0.842,-0.24,0.516,0.08,-0.535,0.554,0.169,-0.157,32.873,0.702,high,med high,med,low,med high,high,med high,low,med high,med,low,med high
2022,Northeast,New England,RI,"Narragansett/Point Judith, RI",Narragansett,"Narragansett town, Washington County, Rhode Island","14,623",-0.031,-0.609,-0.721,0.281,-0.16,0.988,0.249,-0.004,5.365,0.822,10.842,1.476,high,high,high,med high,low,low,low,med,low,med high,med,low
2022,Northeast,New England,MA,"Gloucester, MA",Gloucester,"Gloucester city, Massachusetts","29,830",-0.268,-0.121,-0.047,-0.127,-0.021,0.137,-0.066,0.35,1.83,0.031,10.126,0.57,high,med high,high,med,low,low,low,low,low,med,low,med
2022,Northeast,Mid-Atlantic,NJ,"Cape May, NJ",Cape May,"Cape May city, New Jersey","2,815",-0.78,0.134,-0.835,0.57,0.21,1.15,0.511,-0.15,7.961,7.369,9.828,7.546,high,high,high,high,low,med,low,med high,med,high,med high,low
2022,Northeast,Mid-Atlantic,VA,"Reedville/District 5 (Northumberland County), VA",District 5 (Northumberland County),"District 5, Northumberland County, Virginia","2,149",-0.568,-1.038,-0.673,2.023, NA,0.31,2.396, NA,0.135,0.313,8.005,7.105,high,high,med,med,low,low,low,high,NA,med,high,NA
2022,Northeast,Mid-Atlantic,NY,"Montauk, NY",Montauk,"Montauk CDP, New York","4,322",-0.626,-0.333,-0.818,0.178,-0.956,1.69,0.058,0.741,15.146,9.803,7.095,2.903,high,high,high,high,low,low,low,med,low,high,med,med high
2022,Northeast,New England,ME,"Portland, ME",Portland,"Portland city, Maine","68,280",-0.376,-0.259,-0.174,-0.892,0.341,0.776,-0.828,0.068,0.055,-0.155,5.87,0.01,high,med,med,low,low,low,low,low,med,med high,low,med
2022,Northeast,New England,MA,"Boston, MA",Boston,"Boston city, Suffolk County, Massachusetts","665,945",0.369,1.267,0.729,-0.972,-0.169,1.214,-1.162,1.8,0.095,-0.162,5.86,-0.109,high,low,med,low,med,high,med high,low,low,high,low,high
2022,Northeast,New England,ME,"Port Clyde-Tenants Harbor/Saint George/Spruce Head, ME",St. George,"St. George town, Knox County, Maine","2,610",0.345,-0.894,0.392,1.374,0.409,0.04,1.287,-1.113,-0.232,-0.163,4.94,3.147,high,high,low,low,med,low,med,high,med,med,high,low
2022,Northeast,New England,ME,"Harpswell/Bailey Island, ME",Harpswell,"Harpswell town, Cumberland County, Maine","5,017",-0.738,-0.711,-0.412,0.458,0.478,0.467,0.73,-0.325,-0.232,-0.163,4.533,1.66,high,high,low,low,low,low,low,med,med,med,med high,low
