"Time","Var","Value","EPU","Units"
1982,"Apex Predator Volume Indicator - Bennet",0,"GB","Million Dollars U.S."
1982,"Benthivore Volume Indicator - Bennet",0,"GB","Million Dollars U.S."
1982,"Benthos Volume Indicator - Bennet",0,"GB","Million Dollars U.S."
1982,"Other Volume Indicator - Bennet",0,"GB","Million Dollars U.S."
1982,"Piscivore Volume Indicator - Bennet",0,"GB","Million Dollars U.S."
1982,"Planktivore Volume Indicator - Bennet",0,"GB","Million Dollars U.S."
1983,"Apex Predator Volume Indicator - Bennet",-6.0051897448103,"GB","Million Dollars U.S."
1983,"Benthivore Volume Indicator - Bennet",1.20064969797675,"GB","Million Dollars U.S."
1983,"Benthos Volume Indicator - Bennet",-65.5237685604957,"GB","Million Dollars U.S."
1983,"Other Volume Indicator - Bennet",1.3278983921168,"GB","Million Dollars U.S."
1983,"Piscivore Volume Indicator - Bennet",-14.7403344670704,"GB","Million Dollars U.S."
1983,"Planktivore Volume Indicator - Bennet",-1.1806992049099,"GB","Million Dollars U.S."
1984,"Apex Predator Volume Indicator - Bennet",5.41224314283578,"GB","Million Dollars U.S."
1984,"Benthivore Volume Indicator - Bennet",-59.2018145079304,"GB","Million Dollars U.S."
1984,"Benthos Volume Indicator - Bennet",-26.1913363356659,"GB","Million Dollars U.S."
1984,"Other Volume Indicator - Bennet",0.696085449135352,"GB","Million Dollars U.S."
1984,"Piscivore Volume Indicator - Bennet",-20.5312014696643,"GB","Million Dollars U.S."
1984,"Planktivore Volume Indicator - Bennet",0.249983888409485,"GB","Million Dollars U.S."
1985,"Apex Predator Volume Indicator - Bennet",-13.3262271658705,"GB","Million Dollars U.S."
1985,"Benthivore Volume Indicator - Bennet",-183.895143915238,"GB","Million Dollars U.S."
1985,"Benthos Volume Indicator - Bennet",-28.5631209109283,"GB","Million Dollars U.S."
1985,"Other Volume Indicator - Bennet",0.965922000424207,"GB","Million Dollars U.S."
1985,"Piscivore Volume Indicator - Bennet",-42.2458703505128,"GB","Million Dollars U.S."
1985,"Planktivore Volume Indicator - Bennet",0.7638161825583,"GB","Million Dollars U.S."
1986,"Apex Predator Volume Indicator - Bennet",-10.8977538969293,"GB","Million Dollars U.S."
1986,"Benthivore Volume Indicator - Bennet",-206.117481030065,"GB","Million Dollars U.S."
1986,"Benthos Volume Indicator - Bennet",17.4597630943268,"GB","Million Dollars U.S."
1986,"Other Volume Indicator - Bennet",5.37826918634205,"GB","Million Dollars U.S."
1986,"Piscivore Volume Indicator - Bennet",-71.6848696183249,"GB","Million Dollars U.S."
1986,"Planktivore Volume Indicator - Bennet",-0.000595877728091251,"GB","Million Dollars U.S."
1987,"Apex Predator Volume Indicator - Bennet",-10.9184283135495,"GB","Million Dollars U.S."
1987,"Benthivore Volume Indicator - Bennet",-228.95374667264,"GB","Million Dollars U.S."
1987,"Benthos Volume Indicator - Bennet",1.44925158793325,"GB","Million Dollars U.S."
1987,"Other Volume Indicator - Bennet",8.34046518232791,"GB","Million Dollars U.S."
1987,"Piscivore Volume Indicator - Bennet",-74.9169268623864,"GB","Million Dollars U.S."
1987,"Planktivore Volume Indicator - Bennet",0.382950731156226,"GB","Million Dollars U.S."
1988,"Apex Predator Volume Indicator - Bennet",-9.83496091547391,"GB","Million Dollars U.S."
1988,"Benthivore Volume Indicator - Bennet",-218.494120020509,"GB","Million Dollars U.S."
1988,"Benthos Volume Indicator - Bennet",82.0077496436935,"GB","Million Dollars U.S."
1988,"Other Volume Indicator - Bennet",2.20880132556933,"GB","Million Dollars U.S."
1988,"Piscivore Volume Indicator - Bennet",-34.9284283272859,"GB","Million Dollars U.S."
1988,"Planktivore Volume Indicator - Bennet",-0.88157914428706,"GB","Million Dollars U.S."
1989,"Apex Predator Volume Indicator - Bennet",5.49028177899323,"GB","Million Dollars U.S."
1989,"Benthivore Volume Indicator - Bennet",-247.88349629268,"GB","Million Dollars U.S."
1989,"Benthos Volume Indicator - Bennet",81.0206033630056,"GB","Million Dollars U.S."
1989,"Other Volume Indicator - Bennet",0.10059121154278,"GB","Million Dollars U.S."
1989,"Piscivore Volume Indicator - Bennet",-15.1874814521506,"GB","Million Dollars U.S."
1989,"Planktivore Volume Indicator - Bennet",-0.470314810853294,"GB","Million Dollars U.S."
1990,"Apex Predator Volume Indicator - Bennet",15.9284510890562,"GB","Million Dollars U.S."
1990,"Benthivore Volume Indicator - Bennet",-143.084184697744,"GB","Million Dollars U.S."
1990,"Benthos Volume Indicator - Bennet",170.674142732927,"GB","Million Dollars U.S."
1990,"Other Volume Indicator - Bennet",4.77844664060934,"GB","Million Dollars U.S."
1990,"Piscivore Volume Indicator - Bennet",-8.7185086853638,"GB","Million Dollars U.S."
1990,"Planktivore Volume Indicator - Bennet",-0.226257563337075,"GB","Million Dollars U.S."
1991,"Apex Predator Volume Indicator - Bennet",-7.81735552154502,"GB","Million Dollars U.S."
1991,"Benthivore Volume Indicator - Bennet",-188.009105155573,"GB","Million Dollars U.S."
1991,"Benthos Volume Indicator - Bennet",154.581179142935,"GB","Million Dollars U.S."
1991,"Other Volume Indicator - Bennet",1.18184097231656,"GB","Million Dollars U.S."
1991,"Piscivore Volume Indicator - Bennet",-21.8933752793941,"GB","Million Dollars U.S."
1991,"Planktivore Volume Indicator - Bennet",3.49475477311452,"GB","Million Dollars U.S."
1992,"Apex Predator Volume Indicator - Bennet",-11.4050790620196,"GB","Million Dollars U.S."
1992,"Benthivore Volume Indicator - Bennet",-184.906162931029,"GB","Million Dollars U.S."
1992,"Benthos Volume Indicator - Bennet",127.941593463715,"GB","Million Dollars U.S."
1992,"Other Volume Indicator - Bennet",1.69529106695951,"GB","Million Dollars U.S."
1992,"Piscivore Volume Indicator - Bennet",-32.320346007562,"GB","Million Dollars U.S."
1992,"Planktivore Volume Indicator - Bennet",3.71672529837942,"GB","Million Dollars U.S."
1993,"Apex Predator Volume Indicator - Bennet",-14.4631777268105,"GB","Million Dollars U.S."
1993,"Benthivore Volume Indicator - Bennet",-207.437961295226,"GB","Million Dollars U.S."
1993,"Benthos Volume Indicator - Bennet",-62.2122729102082,"GB","Million Dollars U.S."
1993,"Other Volume Indicator - Bennet",6.94774720825057,"GB","Million Dollars U.S."
1993,"Piscivore Volume Indicator - Bennet",-22.6945783310088,"GB","Million Dollars U.S."
1993,"Planktivore Volume Indicator - Bennet",1.20266138681803,"GB","Million Dollars U.S."
1994,"Apex Predator Volume Indicator - Bennet",-20.5106595036043,"GB","Million Dollars U.S."
1994,"Benthivore Volume Indicator - Bennet",-231.972120955265,"GB","Million Dollars U.S."
1994,"Benthos Volume Indicator - Bennet",-163.721891452208,"GB","Million Dollars U.S."
1994,"Other Volume Indicator - Bennet",5.1575902369719,"GB","Million Dollars U.S."
1994,"Piscivore Volume Indicator - Bennet",-71.4658607358974,"GB","Million Dollars U.S."
1994,"Planktivore Volume Indicator - Bennet",1.58227273830128,"GB","Million Dollars U.S."
1995,"Apex Predator Volume Indicator - Bennet",-4.51550104793894,"GB","Million Dollars U.S."
1995,"Benthivore Volume Indicator - Bennet",-266.01913573092,"GB","Million Dollars U.S."
1995,"Benthos Volume Indicator - Bennet",-95.6400334472727,"GB","Million Dollars U.S."
1995,"Other Volume Indicator - Bennet",1.72945730772225,"GB","Million Dollars U.S."
1995,"Piscivore Volume Indicator - Bennet",-79.3398058500875,"GB","Million Dollars U.S."
1995,"Planktivore Volume Indicator - Bennet",0.54610781805047,"GB","Million Dollars U.S."
1996,"Apex Predator Volume Indicator - Bennet",-25.9023514311655,"GB","Million Dollars U.S."
1996,"Benthivore Volume Indicator - Bennet",-239.452695119433,"GB","Million Dollars U.S."
1996,"Benthos Volume Indicator - Bennet",-99.0977249482324,"GB","Million Dollars U.S."
1996,"Other Volume Indicator - Bennet",0.279990008309567,"GB","Million Dollars U.S."
1996,"Piscivore Volume Indicator - Bennet",-59.0555631259363,"GB","Million Dollars U.S."
1996,"Planktivore Volume Indicator - Bennet",7.53088922986323,"GB","Million Dollars U.S."
1997,"Apex Predator Volume Indicator - Bennet",-19.5583721115678,"GB","Million Dollars U.S."
1997,"Benthivore Volume Indicator - Bennet",-226.113642422907,"GB","Million Dollars U.S."
