"Time","Var","Value","EPU","Units"
1977,"bottom temp anomaly in situ",-0.129,"GB","degreesC"
1977,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1977,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1977,"sst anomaly in situ",-0.4899,"GB","degreesC"
1977,"bottom temp anomaly in situ",-1.0816,"GOM","degreesC"
1977,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1977,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1977,"sst anomaly in situ",-0.294666666666667,"GOM","degreesC"
1977,"bottom temp anomaly in situ",-0.95485,"MAB","degreesC"
1977,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1977,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1977,"sst anomaly in situ",-1.5983,"MAB","degreesC"
1977,"bottom temp anomaly in situ",-0.0131,"SS","degreesC"
1977,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1977,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1977,"sst anomaly in situ",-0.5517,"SS","degreesC"
1978,"bottom temp anomaly in situ",-0.61188,"GB","degreesC"
1978,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1978,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1978,"sst anomaly in situ",-0.88244,"GB","degreesC"
1978,"bottom temp anomaly in situ",-0.9219,"GOM","degreesC"
1978,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1978,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1978,"sst anomaly in situ",-1.10428333333333,"GOM","degreesC"
1978,"bottom temp anomaly in situ",-1.5411,"MAB","degreesC"
1978,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1978,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1978,"sst anomaly in situ",-1.299675,"MAB","degreesC"
1978,"bottom temp anomaly in situ",-0.1743,"SS","degreesC"
1978,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1978,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1978,"sst anomaly in situ",-1.4989,"SS","degreesC"
1979,"bottom temp anomaly in situ",-0.1816,"GB","degreesC"
1979,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1979,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1979,"sst anomaly in situ",-0.111075,"GB","degreesC"
1979,"bottom temp anomaly in situ",-0.820766666666667,"GOM","degreesC"
1979,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1979,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1979,"sst anomaly in situ",-0.350075,"GOM","degreesC"
1979,"bottom temp anomaly in situ",-1.36664,"MAB","degreesC"
1979,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1979,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1979,"sst anomaly in situ",-1.57498,"MAB","degreesC"
1979,"bottom temp anomaly in situ",0.751,"SS","degreesC"
1979,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1979,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1979,"sst anomaly in situ",0.7732,"SS","degreesC"
1980,"bottom temp anomaly in situ",-0.599657142857143,"GB","degreesC"
1980,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1980,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1980,"sst anomaly in situ",-0.561542857142857,"GB","degreesC"
1980,"bottom temp anomaly in situ",-1.1924,"GOM","degreesC"
1980,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1980,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1980,"sst anomaly in situ",-0.27882,"GOM","degreesC"
1980,"bottom temp anomaly in situ",-1.51258333333333,"MAB","degreesC"
1980,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1980,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1980,"sst anomaly in situ",-0.56175,"MAB","degreesC"
1980,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1980,"sst anomaly in situ",-0.09885,"SS","degreesC"
1981,"bottom temp anomaly in situ",-0.4906,"GB","degreesC"
1981,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1981,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1981,"sst anomaly in situ",-0.24215,"GB","degreesC"
1981,"bottom temp anomaly in situ",-1.43243333333333,"GOM","degreesC"
1981,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1981,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1981,"sst anomaly in situ",-0.3507,"GOM","degreesC"
1981,"bottom temp anomaly in situ",-1.5072,"MAB","degreesC"
1981,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1981,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1981,"sst anomaly in situ",-1.2372,"MAB","degreesC"
1981,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1981,"sst anomaly in situ",-0.169166666666667,"SS","degreesC"
1982,"bottom temp anomaly in situ",-0.759,"GB","degreesC"
1982,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1982,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1982,"sst anomaly in situ",-0.611266666666667,"GB","degreesC"
1982,"bottom temp anomaly in situ",-0.8555,"GOM","degreesC"
1982,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1982,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1982,"sst anomaly in situ",-0.947933333333333,"GOM","degreesC"
1982,"bottom temp anomaly in situ",-1.3592,"MAB","degreesC"
1982,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1982,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1982,"sst anomaly in situ",-1.555,"MAB","degreesC"
1982,"bottom temp anomaly in situ",-0.66595,"SS","degreesC"
1982,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1982,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1982,"sst anomaly in situ",-0.4876,"SS","degreesC"
1983,"bottom temp anomaly in situ",0.0868666666666667,"GB","degreesC"
1983,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1983,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1983,"sst anomaly in situ",-0.1767,"GB","degreesC"
1983,"bottom temp anomaly in situ",-0.786,"GOM","degreesC"
1983,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1983,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1983,"sst anomaly in situ",0.422566666666667,"GOM","degreesC"
1983,"bottom temp anomaly in situ",-0.73675,"MAB","degreesC"
1983,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1983,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1983,"sst anomaly in situ",-0.6834,"MAB","degreesC"
1983,"bottom temp anomaly in situ",-0.692,"SS","degreesC"
1983,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1983,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1983,"sst anomaly in situ",0.343966666666667,"SS","degreesC"
1984,"bottom temp anomaly in situ",-0.0973,"GB","degreesC"
1984,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1984,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1984,"sst anomaly in situ",-0.1554,"GB","degreesC"
1984,"bottom temp anomaly in situ",-0.45045,"GOM","degreesC"
1984,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1984,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1984,"sst anomaly in situ",-0.0716,"GOM","degreesC"
1984,"bottom temp anomaly in situ",-0.231266666666667,"MAB","degreesC"
1984,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1984,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1984,"sst anomaly in situ",-0.2532,"MAB","degreesC"
1984,"bottom temp anomaly in situ",-1.642,"SS","degreesC"
1984,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1984,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1984,"sst anomaly in situ",-0.20935,"SS","degreesC"
1985,"bottom temp anomaly in situ",0.2841,"GB","degreesC"
1985,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1985,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1985,"sst anomaly in situ",0.21842,"GB","degreesC"
1985,"bottom temp anomaly in situ",0.09145,"GOM","degreesC"
1985,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1985,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1985,"sst anomaly in situ",-0.2604,"GOM","degreesC"
1985,"bottom temp anomaly in situ",0.38866,"MAB","degreesC"
1985,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1985,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1985,"sst anomaly in situ",0.1473,"MAB","degreesC"
1985,"bottom temp anomaly in situ",0.54885,"SS","degreesC"
1985,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1985,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1985,"sst anomaly in situ",-0.3258,"SS","degreesC"
1986,"bottom temp anomaly in situ",-0.1218,"GB","degreesC"
1986,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
