"Time","Var","Value"
"2020-01-23","NARW_Occur","1"
"2020-01-23","NARW_True_Tally","3"
"2020-01-23","NARW_Suggested_Daily_Presence",NA
"2020-01-23","Fin_Occur","0"
"2020-01-23","Humpback_Occur","1"
"2020-01-23","Minke_Occur","0"
"2020-01-23","Blue_Occur","0"
"2020-01-23","Sei_Occur","0"
"2020-01-23","Sei_Singles",NA
"2020-01-23","Sei_Suggested_Daily_Presence",NA
"2020-01-23","Sperm_Occur","0"
"2020-01-23","Dolphin_Occur","0"
"2020-01-23","Porpoise_Occur",NA
"2020-01-24","NARW_Occur","1"
"2020-01-24","NARW_True_Tally","3"
"2020-01-24","NARW_Suggested_Daily_Presence",NA
"2020-01-24","Fin_Occur","0"
"2020-01-24","Humpback_Occur","1"
"2020-01-24","Minke_Occur","0"
"2020-01-24","Blue_Occur","0"
"2020-01-24","Sei_Occur","2"
"2020-01-24","Sei_Singles","11:13:47"
"2020-01-24","Sei_Suggested_Daily_Presence","YES"
"2020-01-24","Sperm_Occur","0"
"2020-01-24","Dolphin_Occur","0"
"2020-01-24","Porpoise_Occur",NA
"2020-01-25","NARW_Occur","1"
"2020-01-25","NARW_True_Tally","3"
"2020-01-25","NARW_Suggested_Daily_Presence",NA
"2020-01-25","Fin_Occur","1"
"2020-01-25","Humpback_Occur","0"
"2020-01-25","Minke_Occur","0"
"2020-01-25","Blue_Occur","0"
"2020-01-25","Sei_Occur","0"
"2020-01-25","Sei_Singles",NA
"2020-01-25","Sei_Suggested_Daily_Presence",NA
"2020-01-25","Sperm_Occur","0"
"2020-01-25","Dolphin_Occur","1"
"2020-01-25","Porpoise_Occur",NA
"2020-01-26","NARW_Occur","1"
"2020-01-26","NARW_True_Tally","3"
"2020-01-26","NARW_Suggested_Daily_Presence",NA
"2020-01-26","Fin_Occur","0"
"2020-01-26","Humpback_Occur","1"
"2020-01-26","Minke_Occur","0"
"2020-01-26","Blue_Occur","0"
"2020-01-26","Sei_Occur","0"
"2020-01-26","Sei_Singles",NA
"2020-01-26","Sei_Suggested_Daily_Presence",NA
"2020-01-26","Sperm_Occur","0"
"2020-01-26","Dolphin_Occur","0"
"2020-01-26","Porpoise_Occur",NA
"2020-01-27","NARW_Occur","1"
"2020-01-27","NARW_True_Tally","3"
"2020-01-27","NARW_Suggested_Daily_Presence",NA
"2020-01-27","Fin_Occur","0"
"2020-01-27","Humpback_Occur","1"
"2020-01-27","Minke_Occur","0"
"2020-01-27","Blue_Occur","0"
"2020-01-27","Sei_Occur","0"
"2020-01-27","Sei_Singles",NA
"2020-01-27","Sei_Suggested_Daily_Presence",NA
"2020-01-27","Sperm_Occur","0"
"2020-01-27","Dolphin_Occur","0"
"2020-01-27","Porpoise_Occur",NA
"2020-01-28","NARW_Occur","1"
"2020-01-28","NARW_True_Tally","3"
"2020-01-28","NARW_Suggested_Daily_Presence",NA
"2020-01-28","Fin_Occur","0"
"2020-01-28","Humpback_Occur","1"
"2020-01-28","Minke_Occur","0"
"2020-01-28","Blue_Occur","0"
"2020-01-28","Sei_Occur","0"
"2020-01-28","Sei_Singles",NA
"2020-01-28","Sei_Suggested_Daily_Presence",NA
"2020-01-28","Sperm_Occur","0"
"2020-01-28","Dolphin_Occur","0"
"2020-01-28","Porpoise_Occur",NA
"2020-01-29","NARW_Occur","1"
"2020-01-29","NARW_True_Tally","3"
"2020-01-29","NARW_Suggested_Daily_Presence",NA
"2020-01-29","Fin_Occur","0"
"2020-01-29","Humpback_Occur","0"
"2020-01-29","Minke_Occur","0"
"2020-01-29","Blue_Occur","0"
"2020-01-29","Sei_Occur","0"
"2020-01-29","Sei_Singles",NA
"2020-01-29","Sei_Suggested_Daily_Presence",NA
"2020-01-29","Sperm_Occur","0"
"2020-01-29","Dolphin_Occur","1"
"2020-01-29","Porpoise_Occur",NA
"2020-01-30","NARW_Occur","1"
"2020-01-30","NARW_True_Tally","3"
"2020-01-30","NARW_Suggested_Daily_Presence",NA
"2020-01-30","Fin_Occur","0"
"2020-01-30","Humpback_Occur","1"
"2020-01-30","Minke_Occur","0"
"2020-01-30","Blue_Occur","0"
"2020-01-30","Sei_Occur","0"
"2020-01-30","Sei_Singles",NA
"2020-01-30","Sei_Suggested_Daily_Presence",NA
"2020-01-30","Sperm_Occur","0"
"2020-01-30","Dolphin_Occur","0"
"2020-01-30","Porpoise_Occur",NA
"2020-01-31","NARW_Occur","1"
"2020-01-31","NARW_True_Tally","3"
"2020-01-31","NARW_Suggested_Daily_Presence",NA
"2020-01-31","Fin_Occur","0"
"2020-01-31","Humpback_Occur","1"
"2020-01-31","Minke_Occur","0"
"2020-01-31","Blue_Occur","1"
"2020-01-31","Sei_Occur","0"
"2020-01-31","Sei_Singles",NA
"2020-01-31","Sei_Suggested_Daily_Presence",NA
"2020-01-31","Sperm_Occur","0"
"2020-01-31","Dolphin_Occur","1"
"2020-01-31","Porpoise_Occur",NA
"2020-02-01","NARW_Occur","1"
"2020-02-01","NARW_True_Tally","3"
"2020-02-01","NARW_Suggested_Daily_Presence",NA
"2020-02-01","Fin_Occur","1"
"2020-02-01","Humpback_Occur","1"
"2020-02-01","Minke_Occur","0"
"2020-02-01","Blue_Occur","1"
"2020-02-01","Sei_Occur","0"
"2020-02-01","Sei_Singles",NA
"2020-02-01","Sei_Suggested_Daily_Presence",NA
"2020-02-01","Sperm_Occur","0"
"2020-02-01","Dolphin_Occur","0"
"2020-02-01","Porpoise_Occur",NA
"2020-02-02","NARW_Occur","1"
"2020-02-02","NARW_True_Tally","3"
"2020-02-02","NARW_Suggested_Daily_Presence",NA
"2020-02-02","Fin_Occur","0"
"2020-02-02","Humpback_Occur","1"
"2020-02-02","Minke_Occur","0"
"2020-02-02","Blue_Occur","0"
"2020-02-02","Sei_Occur","0"
"2020-02-02","Sei_Singles",NA
"2020-02-02","Sei_Suggested_Daily_Presence",NA
"2020-02-02","Sperm_Occur","0"
"2020-02-02","Dolphin_Occur","0"
"2020-02-02","Porpoise_Occur",NA
"2020-02-03","NARW_Occur","1"
"2020-02-03","NARW_True_Tally","3"
