"Time","Var","EPU","Value","Units"
1992,"Acadian redfish","GB",1.0185083203551,"MeanCond"
1993,"Acadian redfish","GB",1.01649152809394,"MeanCond"
1994,"Acadian redfish","GB",0.992627313228263,"MeanCond"
1995,"Acadian redfish","GB",1.05075215295716,"MeanCond"
1996,"Acadian redfish","GB",1.07060550728146,"MeanCond"
1997,"Acadian redfish","GB",0.976439485961475,"MeanCond"
1999,"Acadian redfish","GB",0.981536610453145,"MeanCond"
2002,"Acadian redfish","GB",0.940900665187282,"MeanCond"
2003,"Acadian redfish","GB",1.06871729957955,"MeanCond"
2004,"Acadian redfish","GB",0.978047049055898,"MeanCond"
2005,"Acadian redfish","GB",1.06732804081037,"MeanCond"
2007,"Acadian redfish","GB",0.9293109106082,"MeanCond"
2008,"Acadian redfish","GB",0.939462448274516,"MeanCond"
2010,"Acadian redfish","GB",0.958014164177872,"MeanCond"
2011,"Acadian redfish","GB",1.02562267472202,"MeanCond"
2012,"Acadian redfish","GB",0.953715647192907,"MeanCond"
2013,"Acadian redfish","GB",0.95257844856533,"MeanCond"
2014,"Acadian redfish","GB",0.997857740152731,"MeanCond"
2015,"Acadian redfish","GB",1.08011771018604,"MeanCond"
2016,"Acadian redfish","GB",0.987719743833001,"MeanCond"
2017,"Acadian redfish","GB",0.904231521681994,"MeanCond"
2018,"Acadian redfish","GB",0.970431065312544,"MeanCond"
2019,"Acadian redfish","GB",0.958144050448607,"MeanCond"
2021,"Acadian redfish","GB",1.08869110320615,"MeanCond"
2022,"Acadian redfish","GB",1.01074582544992,"MeanCond"
2023,"Acadian redfish","GB",0.9463679593803,"MeanCond"
2024,"Acadian redfish","GB",0.99063523661623,"MeanCond"
1992,"Acadian redfish","GOM",0.97822585648713,"MeanCond"
1993,"Acadian redfish","GOM",0.994486424293207,"MeanCond"
1994,"Acadian redfish","GOM",0.959641179699069,"MeanCond"
1995,"Acadian redfish","GOM",0.956172643048787,"MeanCond"
1996,"Acadian redfish","GOM",0.994906946770665,"MeanCond"
1997,"Acadian redfish","GOM",0.992505294353918,"MeanCond"
1998,"Acadian redfish","GOM",1.03358128876535,"MeanCond"
1999,"Acadian redfish","GOM",0.987500784151335,"MeanCond"
2000,"Acadian redfish","GOM",0.985628572842912,"MeanCond"
2001,"Acadian redfish","GOM",0.933394130643237,"MeanCond"
2002,"Acadian redfish","GOM",0.9341972221302,"MeanCond"
2003,"Acadian redfish","GOM",0.940148968089728,"MeanCond"
2004,"Acadian redfish","GOM",0.957174677187163,"MeanCond"
2005,"Acadian redfish","GOM",0.929320848540358,"MeanCond"
2006,"Acadian redfish","GOM",0.950198771797115,"MeanCond"
2007,"Acadian redfish","GOM",0.965384991197456,"MeanCond"
2008,"Acadian redfish","GOM",0.922867953369871,"MeanCond"
2009,"Acadian redfish","GOM",0.952377836924826,"MeanCond"
2010,"Acadian redfish","GOM",0.951678727976814,"MeanCond"
2011,"Acadian redfish","GOM",0.952193317248559,"MeanCond"
2012,"Acadian redfish","GOM",0.959022575936713,"MeanCond"
2013,"Acadian redfish","GOM",0.953033795715048,"MeanCond"
2014,"Acadian redfish","GOM",0.957927490087371,"MeanCond"
2015,"Acadian redfish","GOM",0.964259864983685,"MeanCond"
2016,"Acadian redfish","GOM",0.954520206640132,"MeanCond"
2017,"Acadian redfish","GOM",0.938420604910884,"MeanCond"
2018,"Acadian redfish","GOM",0.958974096448555,"MeanCond"
2019,"Acadian redfish","GOM",0.961207541151001,"MeanCond"
2021,"Acadian redfish","GOM",0.978190428008648,"MeanCond"
2022,"Acadian redfish","GOM",0.956190498621128,"MeanCond"
2023,"Acadian redfish","GOM",0.958850458106713,"MeanCond"
2024,"Acadian redfish","GOM",0.938210493010691,"MeanCond"
1992,"Acadian redfish","SS",1.00231386251113,"MeanCond"
1993,"Acadian redfish","SS",1.01763280831941,"MeanCond"
1994,"Acadian redfish","SS",1.01357967688924,"MeanCond"
1995,"Acadian redfish","SS",0.983880628754645,"MeanCond"
1996,"Acadian redfish","SS",1.05377914890149,"MeanCond"
1997,"Acadian redfish","SS",1.03584426257118,"MeanCond"
1998,"Acadian redfish","SS",1.04929761316043,"MeanCond"
1999,"Acadian redfish","SS",1.00811195564389,"MeanCond"
2000,"Acadian redfish","SS",0.967655706809697,"MeanCond"
2001,"Acadian redfish","SS",0.970873208365173,"MeanCond"
2002,"Acadian redfish","SS",1.01975053190656,"MeanCond"
2003,"Acadian redfish","SS",0.993734213667959,"MeanCond"
2004,"Acadian redfish","SS",0.994814258630021,"MeanCond"
2005,"Acadian redfish","SS",0.982598562150759,"MeanCond"
2006,"Acadian redfish","SS",0.960244564109133,"MeanCond"
