"Time","Var","Value","EPU"
2017,"Alewife/Spring/N",163,"NA"
2017,"Alewife/Spring/Energy.Density_Mean",6.86,"NA"
2017,"Alewife/Spring/Energy.Density_SD",1.4,"NA"
2017,"Alewife/Fall/N",88,"NA"
2017,"Alewife/Fall/Energy.Density_Mean",7.79,"NA"
2017,"Alewife/Fall/Energy.Density_SD",1.52,"NA"
2018,"Alewife/Spring/N",123,"NA"
2018,"Alewife/Spring/Energy.Density_Mean",6.7,"NA"
2018,"Alewife/Spring/Energy.Density_SD",1.25,"NA"
2018,"Alewife/Fall/N",47,"NA"
2018,"Alewife/Fall/Energy.Density_Mean",7.41,"NA"
2018,"Alewife/Fall/Energy.Density_SD",1.62,"NA"
2019,"Alewife/Spring/N",113,"NA"
2019,"Alewife/Spring/Energy.Density_Mean",6.46,"NA"
2019,"Alewife/Spring/Energy.Density_SD",1.27,"NA"
2019,"Alewife/Fall/N",83,"NA"
2019,"Alewife/Fall/Energy.Density_Mean",7.6,"NA"
2019,"Alewife/Fall/Energy.Density_SD",2.05,"NA"
2020,"Alewife/Fall/N",NA,"NA"
2020,"Alewife/Fall/Energy.Density_Mean",NA,"NA"
2020,"Alewife/Fall/Energy.Density_SD",NA,"NA"
2020,"Alewife/Spring/N",35,"NA"
2020,"Alewife/Spring/Energy.Density_Mean",6.37,"NA"
2020,"Alewife/Spring/Energy.Density_SD",1.48,"NA"
2021,"Alewife/Spring/N",110,"NA"
2021,"Alewife/Spring/Energy.Density_Mean",6.23,"NA"
2021,"Alewife/Spring/Energy.Density_SD",1.2,"NA"
2021,"Alewife/Fall/N",52,"NA"
2021,"Alewife/Fall/Energy.Density_Mean",8.73,"NA"
2021,"Alewife/Fall/Energy.Density_SD",1.89,"NA"
2022,"Alewife/Spring/N",86,"NA"
2022,"Alewife/Spring/Energy.Density_Mean",5.84,"NA"
2022,"Alewife/Spring/Energy.Density_SD",1.6,"NA"
2022,"Alewife/Fall/N",50,"NA"
2022,"Alewife/Fall/Energy.Density_Mean",8,"NA"
2022,"Alewife/Fall/Energy.Density_SD",1.26,"NA"
2023,"Alewife/Spring/N",10,"NA"
2023,"Alewife/Spring/Energy.Density_Mean",6.52,"NA"
2023,"Alewife/Spring/Energy.Density_SD",0.98,"NA"
2023,"Alewife/Fall/N",29,"NA"
2023,"Alewife/Fall/Energy.Density_Mean",9.14,"NA"
2023,"Alewife/Fall/Energy.Density_SD",1.78,"NA"
2024,"Alewife/Spring/N",36,"NA"
2024,"Alewife/Spring/Energy.Density_Mean",6.23,"NA"
2024,"Alewife/Spring/Energy.Density_SD",1.16,"NA"
2017,"Atl. Herring/Spring/N",169,"NA"
2017,"Atl. Herring/Spring/Energy.Density_Mean",5.57,"NA"
2017,"Atl. Herring/Spring/Energy.Density_SD",1.07,"NA"
2017,"Atl. Herring/Fall/N",146,"NA"
2017,"Atl. Herring/Fall/Energy.Density_Mean",5.84,"NA"
2017,"Atl. Herring/Fall/Energy.Density_SD",1.29,"NA"
2018,"Atl. Herring/Spring/N",113,"NA"
2018,"Atl. Herring/Spring/Energy.Density_Mean",6.12,"NA"
2018,"Atl. Herring/Spring/Energy.Density_SD",1.5,"NA"
2018,"Atl. Herring/Fall/N",50,"NA"
2018,"Atl. Herring/Fall/Energy.Density_Mean",5.42,"NA"
