"Time","Var","Value","EPU"
2000,"Forage_Mean",0.076234776,"MAB"
2000,"Forage_SE",0.191031075,"MAB"
2000,"Forage_Upper",0.267265851,"MAB"
2000,"Forage_Lower",-0.114796299,"MAB"
2001,"Forage_Mean",0.293360166,"MAB"
2001,"Forage_SE",0.208249232,"MAB"
2001,"Forage_Upper",0.501609398,"MAB"
2001,"Forage_Lower",0.085110934,"MAB"
2002,"Forage_Mean",0.10396476,"MAB"
2002,"Forage_SE",0.156328155,"MAB"
2002,"Forage_Upper",0.260292915,"MAB"
2002,"Forage_Lower",-0.052363395,"MAB"
2003,"Forage_Mean",0.013948452,"MAB"
2003,"Forage_SE",0.30465273,"MAB"
2003,"Forage_Upper",0.318601182,"MAB"
2003,"Forage_Lower",-0.290704278,"MAB"
2004,"Forage_Mean",-0.115036445,"MAB"
2004,"Forage_SE",0.384230142,"MAB"
2004,"Forage_Upper",0.269193697,"MAB"
2004,"Forage_Lower",-0.499266587,"MAB"
2005,"Forage_Mean",-0.334418054,"MAB"
2005,"Forage_SE",0.242601733,"MAB"
2005,"Forage_Upper",-0.091816321,"MAB"
2005,"Forage_Lower",-0.577019787,"MAB"
2006,"Forage_Mean",-0.007216854,"MAB"
2006,"Forage_SE",0.173434855,"MAB"
2006,"Forage_Upper",0.166218001,"MAB"
2006,"Forage_Lower",-0.180651709,"MAB"
2007,"Forage_Mean",-0.735734095,"MAB"
2007,"Forage_SE",0.226674013,"MAB"
2007,"Forage_Upper",-0.509060082,"MAB"
2007,"Forage_Lower",-0.962408108,"MAB"
2008,"Forage_Mean",0.011094394,"MAB"
2008,"Forage_SE",0.182523933,"MAB"
2008,"Forage_Upper",0.193618327,"MAB"
2008,"Forage_Lower",-0.171429539,"MAB"
2009,"Forage_Mean",0.144732739,"MAB"
2009,"Forage_SE",0.222166645,"MAB"
2009,"Forage_Upper",0.366899384,"MAB"
2009,"Forage_Lower",-0.077433906,"MAB"
2010,"Forage_Mean",0.915559546,"MAB"
2010,"Forage_SE",0.318724491,"MAB"
2010,"Forage_Upper",1.234284037,"MAB"
2010,"Forage_Lower",0.596835055,"MAB"
2011,"Forage_Mean",0.03940617,"MAB"
2011,"Forage_SE",0.184423497,"MAB"
2011,"Forage_Upper",0.223829667,"MAB"
2011,"Forage_Lower",-0.145017327,"MAB"
