"Time","Var","Value","EPU"
1976,"Fall",40285.28,"All"
1977,"Fall",36481.04,"All"
1978,"Fall",29882.44,"All"
1979,"Fall",34066.34,"All"
1980,"Fall",39127.38,"All"
1981,"Fall",39342.07,"All"
1982,"Fall",41622.14,"All"
1983,"Fall",41157.83,"All"
1984,"Fall",44412.37,"All"
1985,"Fall",47875.91,"All"
1986,"Fall",41729.02,"All"
1987,"Fall",38011.02,"All"
1988,"Fall",34068.34,"All"
1989,"Fall",37540.23,"All"
1990,"Fall",39820.36,"All"
1991,"Fall",31912.42,"All"
1992,"Fall",39631.17,"All"
1993,"Fall",33481.22,"All"
1994,"Fall",41417.93,"All"
1995,"Fall",45805.66,"All"
1996,"Fall",40040.03,"All"
1997,"Fall",45752.42,"All"
1998,"Fall",40891.48,"All"
1999,"Fall",50593.9,"All"
2000,"Fall",49156.24,"All"
2001,"Fall",45695.25,"All"
2002,"Fall",49231.42,"All"
2003,"Fall",45570,"All"
2004,"Fall",46376.29,"All"
2005,"Fall",41623.39,"All"
2006,"Fall",51360.12,"All"
2007,"Fall",47816.93,"All"
2008,"Fall",52590.08,"All"
2009,"Fall",55518.47,"All"
2010,"Fall",53977.98,"All"
2011,"Fall",54861.88,"All"
2012,"Fall",56499.31,"All"
2013,"Fall",52408.6,"All"
2014,"Fall",62780.83,"All"
2015,"Fall",57771.11,"All"
2016,"Fall",63154.5,"All"
2017,"Fall",61121.5,"All"
2018,"Fall",61082.14,"All"
1976,"Spring",49992.36,"All"
1977,"Spring",44815.84,"All"
1978,"Spring",38649.89,"All"
1979,"Spring",36823.67,"All"
1980,"Spring",40871.55,"All"
1981,"Spring",39287.13,"All"
1982,"Spring",38064.88,"All"
1983,"Spring",43022.76,"All"
1984,"Spring",43788.28,"All"
1985,"Spring",49107.48,"All"
1986,"Spring",47139.16,"All"
1987,"Spring",42704.26,"All"
1988,"Spring",41399.86,"All"
1989,"Spring",46414.9,"All"
1990,"Spring",44762.54,"All"
1991,"Spring",49782.31,"All"
1992,"Spring",44333.86,"All"
1993,"Spring",47976.43,"All"
1994,"Spring",45443.02,"All"
1995,"Spring",47034.3,"All"
1996,"Spring",41604.67,"All"
1997,"Spring",52777.88,"All"
1998,"Spring",50094.17,"All"
1999,"Spring",55584.26,"All"
2000,"Spring",63205.09,"All"
2001,"Spring",60823.21,"All"
2002,"Spring",76064.54,"All"
2003,"Spring",63295.31,"All"
2004,"Spring",62764.63,"All"
2005,"Spring",61199.89,"All"
2006,"Spring",69643.44,"All"
2007,"Spring",63479.72,"All"
2008,"Spring",70552.42,"All"
2009,"Spring",64325.78,"All"
2010,"Spring",67432.17,"All"
2011,"Spring",76658.71,"All"
2012,"Spring",98537.73,"All"
2013,"Spring",79384.54,"All"
2014,"Spring",77559.05,"All"
2015,"Spring",78149.68,"All"
2016,"Spring",89103.56,"All"
2017,"Spring",83256.22,"All"
2018,"Spring",85385.05,"All"
