"Time","Var","Value","EPU","Units"
1982,"cumulative intensity-SurfaceDetrended",307.4774,"GB","degrees C"
1982,"cumulative intensity-SurfaceDetrended",393.8021,"GOM","degrees C"
1982,"cumulative intensity-SurfaceDetrended",13.2678,"MAB","degrees C"
1983,"cumulative intensity-SurfaceDetrended",52.8199,"GB","degrees C"
1983,"cumulative intensity-SurfaceDetrended",130.8975,"GOM","degrees C"
1983,"cumulative intensity-SurfaceDetrended",50.8534,"MAB","degrees C"
1984,"cumulative intensity-SurfaceDetrended",124.6157,"GB","degrees C"
1984,"cumulative intensity-SurfaceDetrended",259.9723,"GOM","degrees C"
1984,"cumulative intensity-SurfaceDetrended",79.1617,"MAB","degrees C"
1985,"cumulative intensity-SurfaceDetrended",15.6854,"GB","degrees C"
1985,"cumulative intensity-SurfaceDetrended",113.9719,"GOM","degrees C"
1985,"cumulative intensity-SurfaceDetrended",167.8399,"MAB","degrees C"
1986,"cumulative intensity-SurfaceDetrended",52.2409,"GB","degrees C"
1986,"cumulative intensity-SurfaceDetrended",27.6445,"GOM","degrees C"
1986,"cumulative intensity-SurfaceDetrended",81.9932,"MAB","degrees C"
1987,"cumulative intensity-SurfaceDetrended",9.6523,"GB","degrees C"
1988,"cumulative intensity-SurfaceDetrended",13.9976,"GB","degrees C"
1988,"cumulative intensity-SurfaceDetrended",14.4498,"MAB","degrees C"
1989,"cumulative intensity-SurfaceDetrended",9.2117,"GB","degrees C"
1989,"cumulative intensity-SurfaceDetrended",18.5826,"GOM","degrees C"
1989,"cumulative intensity-SurfaceDetrended",27.0448,"MAB","degrees C"
1990,"cumulative intensity-SurfaceDetrended",152.5042,"GB","degrees C"
1990,"cumulative intensity-SurfaceDetrended",52.919,"GOM","degrees C"
1990,"cumulative intensity-SurfaceDetrended",60.9342,"MAB","degrees C"
1991,"cumulative intensity-SurfaceDetrended",30.7537,"GB","degrees C"
1991,"cumulative intensity-SurfaceDetrended",26.4015,"GOM","degrees C"
1991,"cumulative intensity-SurfaceDetrended",82.1042,"MAB","degrees C"
1993,"cumulative intensity-SurfaceDetrended",31.2192,"MAB","degrees C"
1994,"cumulative intensity-SurfaceDetrended",120.522,"GB","degrees C"
1994,"cumulative intensity-SurfaceDetrended",28.8071,"GOM","degrees C"
1994,"cumulative intensity-SurfaceDetrended",26.4982,"MAB","degrees C"
1995,"cumulative intensity-SurfaceDetrended",25.8941,"GB","degrees C"
1995,"cumulative intensity-SurfaceDetrended",64.4876,"MAB","degrees C"
1996,"cumulative intensity-SurfaceDetrended",14.1917,"MAB","degrees C"
1999,"cumulative intensity-SurfaceDetrended",96.6906,"GB","degrees C"
1999,"cumulative intensity-SurfaceDetrended",61.8193,"GOM","degrees C"
1999,"cumulative intensity-SurfaceDetrended",66.58,"MAB","degrees C"
2000,"cumulative intensity-SurfaceDetrended",19.4739,"GB","degrees C"
2000,"cumulative intensity-SurfaceDetrended",34.7295,"MAB","degrees C"
2001,"cumulative intensity-SurfaceDetrended",53.4504,"GB","degrees C"
2001,"cumulative intensity-SurfaceDetrended",39.1583,"MAB","degrees C"
2002,"cumulative intensity-SurfaceDetrended",36.8983,"GB","degrees C"
2002,"cumulative intensity-SurfaceDetrended",135.9578,"MAB","degrees C"
2005,"cumulative intensity-SurfaceDetrended",26.5147,"GB","degrees C"
2005,"cumulative intensity-SurfaceDetrended",7.5655,"GOM","degrees C"
2005,"cumulative intensity-SurfaceDetrended",13.0098,"MAB","degrees C"
2006,"cumulative intensity-SurfaceDetrended",13.3639,"GB","degrees C"
2006,"cumulative intensity-SurfaceDetrended",52.2056,"GOM","degrees C"
2006,"cumulative intensity-SurfaceDetrended",13.4571,"MAB","degrees C"
2007,"cumulative intensity-SurfaceDetrended",41.1055,"GB","degrees C"
2007,"cumulative intensity-SurfaceDetrended",89.1566,"MAB","degrees C"
2008,"cumulative intensity-SurfaceDetrended",15.959,"GOM","degrees C"
2009,"cumulative intensity-SurfaceDetrended",70.1079,"GB","degrees C"
2009,"cumulative intensity-SurfaceDetrended",20.4297,"GOM","degrees C"
2009,"cumulative intensity-SurfaceDetrended",19.7221,"MAB","degrees C"
2010,"cumulative intensity-SurfaceDetrended",29.6756,"GB","degrees C"
2010,"cumulative intensity-SurfaceDetrended",99.9524,"GOM","degrees C"
2010,"cumulative intensity-SurfaceDetrended",63.8573,"MAB","degrees C"
2011,"cumulative intensity-SurfaceDetrended",22.3479,"GB","degrees C"
2011,"cumulative intensity-SurfaceDetrended",19.859,"GOM","degrees C"
2011,"cumulative intensity-SurfaceDetrended",61.1856,"MAB","degrees C"
2012,"cumulative intensity-SurfaceDetrended",198.2838,"GB","degrees C"
2012,"cumulative intensity-SurfaceDetrended",252.5052,"GOM","degrees C"
2012,"cumulative intensity-SurfaceDetrended",262.2834,"MAB","degrees C"
2013,"cumulative intensity-SurfaceDetrended",41.2261,"GB","degrees C"
2013,"cumulative intensity-SurfaceDetrended",55.2313,"GOM","degrees C"
2014,"cumulative intensity-SurfaceDetrended",16.4298,"GOM","degrees C"
2014,"cumulative intensity-SurfaceDetrended",18.1896,"MAB","degrees C"
2015,"cumulative intensity-SurfaceDetrended",100.8557,"GB","degrees C"
2015,"cumulative intensity-SurfaceDetrended",57.8245,"GOM","degrees C"
2015,"cumulative intensity-SurfaceDetrended",181.6641,"MAB","degrees C"
2016,"cumulative intensity-SurfaceDetrended",53.4328,"GB","degrees C"
2016,"cumulative intensity-SurfaceDetrended",73.8058,"GOM","degrees C"
2016,"cumulative intensity-SurfaceDetrended",47.9775,"MAB","degrees C"
2017,"cumulative intensity-SurfaceDetrended",7.7752,"GB","degrees C"
2017,"cumulative intensity-SurfaceDetrended",17.0617,"GOM","degrees C"
2017,"cumulative intensity-SurfaceDetrended",22.36,"MAB","degrees C"
2018,"cumulative intensity-SurfaceDetrended",9.3299,"GB","degrees C"
2018,"cumulative intensity-SurfaceDetrended",77.829,"GOM","degrees C"
2018,"cumulative intensity-SurfaceDetrended",63.3829,"MAB","degrees C"
2019,"cumulative intensity-SurfaceDetrended",19.3336,"MAB","degrees C"
2020,"cumulative intensity-SurfaceDetrended",70.4908,"GB","degrees C"
2020,"cumulative intensity-SurfaceDetrended",69.617,"GOM","degrees C"
2020,"cumulative intensity-SurfaceDetrended",14.0015,"MAB","degrees C"
2021,"cumulative intensity-SurfaceDetrended",95.3004,"GB","degrees C"
2021,"cumulative intensity-SurfaceDetrended",65.5594,"GOM","degrees C"
2021,"cumulative intensity-SurfaceDetrended",60.3943,"MAB","degrees C"
2022,"cumulative intensity-SurfaceDetrended",79.4837,"GB","degrees C"
2022,"cumulative intensity-SurfaceDetrended",60.5411,"GOM","degrees C"
2022,"cumulative intensity-SurfaceDetrended",32.9159,"MAB","degrees C"
2023,"cumulative intensity-SurfaceDetrended",57.9045,"GB","degrees C"
2023,"cumulative intensity-SurfaceDetrended",41.6399,"GOM","degrees C"
2023,"cumulative intensity-SurfaceDetrended",41.0701,"MAB","degrees C"
2024,"cumulative intensity-SurfaceDetrended",22.2109,"GOM","degrees C"
1982,"maximum intensity-SurfaceDetrended",2.7552,"GB","degrees C"
1982,"maximum intensity-SurfaceDetrended",2.5951,"GOM","degrees C"
1982,"maximum intensity-SurfaceDetrended",1.964,"MAB","degrees C"
1983,"maximum intensity-SurfaceDetrended",3.2294,"GB","degrees C"
1983,"maximum intensity-SurfaceDetrended",2.9384,"GOM","degrees C"
1983,"maximum intensity-SurfaceDetrended",2.2537,"MAB","degrees C"
1984,"maximum intensity-SurfaceDetrended",2.8592,"GB","degrees C"
