"Time","Var","Value","EPU","Units"
1947,"Hudson_meanflow",456.787222531508,"MAB","cubic meters per second"
1948,"Hudson_meanflow",365.824429726777,"MAB","cubic meters per second"
1949,"Hudson_meanflow",350.627151430137,"MAB","cubic meters per second"
1950,"Hudson_meanflow",397.462362827396,"MAB","cubic meters per second"
1951,"Hudson_meanflow",479.281622969863,"MAB","cubic meters per second"
1952,"Hudson_meanflow",431.876073617485,"MAB","cubic meters per second"
1953,"Hudson_meanflow",395.075217797259,"MAB","cubic meters per second"
1954,"Hudson_meanflow",407.76192,"MAB","cubic meters per second"
1955,"Hudson_meanflow",414.104107397259,"MAB","cubic meters per second"
1956,"Hudson_meanflow",393.04956292896,"MAB","cubic meters per second"
1957,"Hudson_meanflow",273.110493282192,"MAB","cubic meters per second"
1958,"Hudson_meanflow",363.651327824658,"MAB","cubic meters per second"
1959,"Hudson_meanflow",401.204059441096,"MAB","cubic meters per second"
1960,"Hudson_meanflow",396.808888918033,"MAB","cubic meters per second"
1961,"Hudson_meanflow",304.186823627396,"MAB","cubic meters per second"
1962,"Hudson_meanflow",299.129365567123,"MAB","cubic meters per second"
1963,"Hudson_meanflow",266.152318509589,"MAB","cubic meters per second"
1964,"Hudson_meanflow",246.770854120219,"MAB","cubic meters per second"
1965,"Hudson_meanflow",219.463733830137,"MAB","cubic meters per second"
1966,"Hudson_meanflow",284.728915112328,"MAB","cubic meters per second"
1967,"Hudson_meanflow",315.811451879451,"MAB","cubic meters per second"
1968,"Hudson_meanflow",353.246045272131,"MAB","cubic meters per second"
1969,"Hudson_meanflow",376.807390684932,"MAB","cubic meters per second"
1970,"Hudson_meanflow",337.722448657533,"MAB","cubic meters per second"
1971,"Hudson_meanflow",419.924955353426,"MAB","cubic meters per second"
1972,"Hudson_meanflow",595.14795715847,"MAB","cubic meters per second"
1973,"Hudson_meanflow",493.027295912328,"MAB","cubic meters per second"
1974,"Hudson_meanflow",465.344326750686,"MAB","cubic meters per second"
1975,"Hudson_meanflow",515.683063320549,"MAB","cubic meters per second"
1976,"Hudson_meanflow",603.452671125683,"MAB","cubic meters per second"
1977,"Hudson_meanflow",542.449033643836,"MAB","cubic meters per second"
1978,"Hudson_meanflow",397.918534838355,"MAB","cubic meters per second"
1979,"Hudson_meanflow",479.104739945205,"MAB","cubic meters per second"
1980,"Hudson_meanflow",275.060575213115,"MAB","cubic meters per second"
1981,"Hudson_meanflow",321.831681139727,"MAB","cubic meters per second"
1982,"Hudson_meanflow",344.830353358904,"MAB","cubic meters per second"
1983,"Hudson_meanflow",446.863929687672,"MAB","cubic meters per second"
1984,"Hudson_meanflow",437.903838338799,"MAB","cubic meters per second"
1985,"Hudson_meanflow",295.080451068492,"MAB","cubic meters per second"
1986,"Hudson_meanflow",438.922812843836,"MAB","cubic meters per second"
1987,"Hudson_meanflow",367.52103189041,"MAB","cubic meters per second"
1988,"Hudson_meanflow",296.705132502732,"MAB","cubic meters per second"
1989,"Hudson_meanflow",395.171417336986,"MAB","cubic meters per second"
1990,"Hudson_meanflow",549.719856920549,"MAB","cubic meters per second"
1991,"Hudson_meanflow",342.331492734246,"MAB","cubic meters per second"
1992,"Hudson_meanflow",364.615163103826,"MAB","cubic meters per second"
1993,"Hudson_meanflow",412.897734136986,"MAB","cubic meters per second"
