"Time","Var","Value","EPU","Units"
1999,"Ich_Shannon-Wiener_Diversity_index",1.48399449961575,"MAB","Unitless"
2000,"Ich_Shannon-Wiener_Diversity_index",2.34789842935458,"MAB","Unitless"
2001,"Ich_Shannon-Wiener_Diversity_index",2.20526658543157,"MAB","Unitless"
2002,"Ich_Shannon-Wiener_Diversity_index",2.59667883039267,"MAB","Unitless"
2003,"Ich_Shannon-Wiener_Diversity_index",1.82079807423147,"MAB","Unitless"
2004,"Ich_Shannon-Wiener_Diversity_index",2.20354532765397,"MAB","Unitless"
2005,"Ich_Shannon-Wiener_Diversity_index",2.4709730001105,"MAB","Unitless"
2006,"Ich_Shannon-Wiener_Diversity_index",2.41542275293556,"MAB","Unitless"
2007,"Ich_Shannon-Wiener_Diversity_index",2.57439101460229,"MAB","Unitless"
2008,"Ich_Shannon-Wiener_Diversity_index",1.69464294082155,"MAB","Unitless"
2009,"Ich_Shannon-Wiener_Diversity_index",2.36842960342283,"MAB","Unitless"
2010,"Ich_Shannon-Wiener_Diversity_index",1.74114381920166,"MAB","Unitless"
2011,"Ich_Shannon-Wiener_Diversity_index",2.17868328586255,"MAB","Unitless"
2012,"Ich_Shannon-Wiener_Diversity_index",2.51457300311295,"MAB","Unitless"
2013,"Ich_Shannon-Wiener_Diversity_index",2.34963380603048,"MAB","Unitless"
2014,"Ich_Shannon-Wiener_Diversity_index",2.20422201613212,"MAB","Unitless"
2015,"Ich_Shannon-Wiener_Diversity_index",1.99021655044543,"MAB","Unitless"
2016,"Ich_Shannon-Wiener_Diversity_index",2.1333503113722,"MAB","Unitless"
2017,"Ich_Shannon-Wiener_Diversity_index",2.35914170122109,"MAB","Unitless"
2018,"Ich_Shannon-Wiener_Diversity_index",2.11786208639125,"MAB","Unitless"
2019,"Ich_Shannon-Wiener_Diversity_index",2.19942223832635,"MAB","Unitless"
2020,"Ich_Shannon-Wiener_Diversity_index",NA,"MAB","Unitless"
2021,"Ich_Shannon-Wiener_Diversity_index",2.20205739971041,"MAB","Unitless"
1999,"Ich_Shannon-Wiener_Diversity_index",1.30532074087386,"GB","Unitless"
2000,"Ich_Shannon-Wiener_Diversity_index",1.19813865782172,"GB","Unitless"
2001,"Ich_Shannon-Wiener_Diversity_index",1.72737508513149,"GB","Unitless"
2002,"Ich_Shannon-Wiener_Diversity_index",2.13728432407956,"GB","Unitless"
2003,"Ich_Shannon-Wiener_Diversity_index",2.32131586580453,"GB","Unitless"
2004,"Ich_Shannon-Wiener_Diversity_index",1.28953717976153,"GB","Unitless"
2005,"Ich_Shannon-Wiener_Diversity_index",2.00449015962292,"GB","Unitless"
2006,"Ich_Shannon-Wiener_Diversity_index",2.10297726098475,"GB","Unitless"
2007,"Ich_Shannon-Wiener_Diversity_index",0.295898008299354,"GB","Unitless"
2008,"Ich_Shannon-Wiener_Diversity_index",1.44410123767635,"GB","Unitless"
2009,"Ich_Shannon-Wiener_Diversity_index",1.79072358739973,"GB","Unitless"
2010,"Ich_Shannon-Wiener_Diversity_index",1.69637070342605,"GB","Unitless"
2011,"Ich_Shannon-Wiener_Diversity_index",1.89305544744009,"GB","Unitless"
2012,"Ich_Shannon-Wiener_Diversity_index",2.43247043405577,"GB","Unitless"
2013,"Ich_Shannon-Wiener_Diversity_index",2.18823580458234,"GB","Unitless"
2014,"Ich_Shannon-Wiener_Diversity_index",1.09367781461447,"GB","Unitless"
2015,"Ich_Shannon-Wiener_Diversity_index",2.10512469495056,"GB","Unitless"
2016,"Ich_Shannon-Wiener_Diversity_index",2.14129543622434,"GB","Unitless"
2017,"Ich_Shannon-Wiener_Diversity_index",1.99467754633808,"GB","Unitless"
2018,"Ich_Shannon-Wiener_Diversity_index",1.80869492548217,"GB","Unitless"
2019,"Ich_Shannon-Wiener_Diversity_index",1.80968149683897,"GB","Unitless"
2020,"Ich_Shannon-Wiener_Diversity_index",NA,"GB","Unitless"
2021,"Ich_Shannon-Wiener_Diversity_index",1.96838120662254,"GB","Unitless"
1999,"Ich_Shannon-Wiener_Diversity_index",1.86213842723283,"GOM","Unitless"
2000,"Ich_Shannon-Wiener_Diversity_index",1.89928801819097,"GOM","Unitless"
2001,"Ich_Shannon-Wiener_Diversity_index",2.30093480764557,"GOM","Unitless"
2002,"Ich_Shannon-Wiener_Diversity_index",2.43490071900785,"GOM","Unitless"
2003,"Ich_Shannon-Wiener_Diversity_index",2.03781605704747,"GOM","Unitless"
2004,"Ich_Shannon-Wiener_Diversity_index",1.51529564666483,"GOM","Unitless"
2005,"Ich_Shannon-Wiener_Diversity_index",1.82567869272884,"GOM","Unitless"
2006,"Ich_Shannon-Wiener_Diversity_index",2.23857143794044,"GOM","Unitless"
2007,"Ich_Shannon-Wiener_Diversity_index",2.19431885784557,"GOM","Unitless"
2008,"Ich_Shannon-Wiener_Diversity_index",1.88858501139459,"GOM","Unitless"
2009,"Ich_Shannon-Wiener_Diversity_index",1.50379184688692,"GOM","Unitless"
2010,"Ich_Shannon-Wiener_Diversity_index",1.92754006889594,"GOM","Unitless"
2011,"Ich_Shannon-Wiener_Diversity_index",1.98934242976705,"GOM","Unitless"
2012,"Ich_Shannon-Wiener_Diversity_index",1.74336464295343,"GOM","Unitless"
2013,"Ich_Shannon-Wiener_Diversity_index",2.16042218185312,"GOM","Unitless"
2014,"Ich_Shannon-Wiener_Diversity_index",1.24803223046057,"GOM","Unitless"
2015,"Ich_Shannon-Wiener_Diversity_index",1.76968807033387,"GOM","Unitless"
2016,"Ich_Shannon-Wiener_Diversity_index",2.20829704193746,"GOM","Unitless"
2017,"Ich_Shannon-Wiener_Diversity_index",1.8170786526467,"GOM","Unitless"
2018,"Ich_Shannon-Wiener_Diversity_index",1.98869559255301,"GOM","Unitless"
2019,"Ich_Shannon-Wiener_Diversity_index",1.8265262664035,"GOM","Unitless"
2020,"Ich_Shannon-Wiener_Diversity_index",NA,"GOM","Unitless"
2021,"Ich_Shannon-Wiener_Diversity_index",1.46477731747366,"GOM","Unitless"
