"Time","Var","Value","EPU"
1994,"Prohibited",0.009090909,"GB"
1994,"Lg Coastal",0.095454545,"GB"
1994,"Pelagic",0.087603306,"GB"
1994,"Prohibited",0.00134151,"GOM"
1994,"Pelagic",0.010732081,"GOM"
1994,"Pelagic",0.09060349,"MAB"
1994,"Lg Coastal",0.015847607,"MAB"
1994,"Prohibited",0.023851449,"MAB"
1994,"Pelagic",0.002155172,"SS"
1995,"Sm Coastal",0.000506329,"GB"
1995,"Pelagic",0.264303797,"GB"
1995,"Lg Coastal",0.016708861,"GB"
1995,"Prohibited",0.021772152,"GB"
1995,"Prohibited",0.000194212,"GOM"
1995,"Pelagic",0.012041173,"GOM"
1995,"Sm Coastal",0.000602555,"MAB"
1995,"Prohibited",0.019161244,"MAB"
1995,"Pelagic",0.048565919,"MAB"
1995,"Lg Coastal",0.149313087,"MAB"
1996,"Prohibited",0.006671609,"GB"
1996,"Pelagic",0.040276748,"GB"
1996,"Prohibited",0.000474496,"GOM"
1996,"Pelagic",0.013285884,"GOM"
1996,"Sm Coastal",0.004039168,"MAB"
1996,"Lg Coastal",0.041003672,"MAB"
1996,"Prohibited",0.017135863,"MAB"
1996,"Pelagic",0.005752754,"MAB"
1997,"Pelagic",0.048979592,"GB"
1997,"Lg Coastal",0.000816327,"GB"
1997,"Prohibited",0.000816327,"GB"
1997,"Pelagic",0.011691542,"GOM"
1997,"Prohibited",0.001492537,"GOM"
1997,"Pelagic",0.007304824,"MAB"
1997,"Prohibited",0.00395678,"MAB"
1997,"Lg Coastal",0.014153097,"MAB"
1997,"Sm Coastal",0.005022067,"MAB"
1998,"Lg Coastal",0.034065442,"GB"
1998,"Pelagic",0.078888391,"GB"
1998,"Prohibited",0.003137606,"GB"
1998,"Pelagic",0.01289648,"GOM"
1998,"Prohibited",0.003834089,"GOM"
1998,"Sm Coastal",0.002285002,"MAB"
1998,"Lg Coastal",0.030743664,"MAB"
1998,"Prohibited",0.007270461,"MAB"
1998,"Pelagic",0.006647279,"MAB"
1999,"Pelagic",0.000273935,"GB"
1999,"Prohibited",0.000136968,"GB"
1999,"Pelagic",0.009922347,"GOM"
1999,"Prohibited",0.003019845,"GOM"
1999,"Pelagic",0.008972504,"MAB"
1999,"Lg Coastal",0.008683068,"MAB"
1999,"Prohibited",0.011287988,"MAB"
2000,"Pelagic",0.00022242,"GB"
2000,"Prohibited",5.5605e-05,"GB"
2000,"Pelagic",0.001935484,"GOM"
2000,"Prohibited",0.000967742,"GOM"
2000,"Prohibited",0.013853157,"MAB"
2000,"Pelagic",0.004353849,"MAB"
2000,"Lg Coastal",0.039580447,"MAB"
2001,"Pelagic",0.001150086,"GB"
2001,"Prohibited",0.001150086,"GB"
2001,"Prohibited",0.001349073,"GOM"
2001,"Lg Coastal",0.03211326,"MAB"
2001,"Pelagic",0.003280387,"MAB"
2001,"Prohibited",0.016315608,"MAB"
2001,"Sm Coastal",0.004575276,"MAB"
2002,"Pelagic",0.002106927,"GB"
2002,"Prohibited",0.000526732,"GB"
2002,"Prohibited",0.001223242,"GOM"
2002,"Pelagic",0.000917431,"GOM"
2002,"Pelagic",0.001081499,"MAB"
2002,"Sm Coastal",0.000617999,"MAB"
2002,"Lg Coastal",0.011510236,"MAB"
2002,"Prohibited",0.002240247,"MAB"
2003,"Pelagic",0.001488649,"GB"
2003,"Prohibited",0.000186081,"GB"
2003,"Pelagic",0.001921599,"GOM"
2003,"Prohibited",0.002882398,"GOM"
2003,"Prohibited",0.006042661,"MAB"
2003,"Sm Coastal",0.002417064,"MAB"
2003,"Pelagic",0.000483413,"MAB"
2003,"Lg Coastal",0.00338389,"MAB"
2004,"Lg Coastal",0.000247862,"GB"
2004,"Pelagic",0.00111538,"GB"
2004,"Pelagic",0.002813456,"GOM"
2004,"Prohibited",0.000489297,"GOM"
2004,"Lg Coastal",0.004860605,"MAB"
2004,"Pelagic",0.001319307,"MAB"
2004,"Sm Coastal",0.000555498,"MAB"
2004,"Prohibited",0.001597056,"MAB"
2004,"Pelagic",0.011428571,"SS"
2005,"Pelagic",0.001709177,"GB"
2005,"Prohibited",0.000394425,"GB"
2005,"Lg Coastal",0.000131475,"GB"
2005,"Prohibited",0.000839438,"GOM"
2005,"Pelagic",0.003586691,"GOM"
2005,"Sm Coastal",0.011635929,"MAB"
2005,"Pelagic",0.00151773,"MAB"
2005,"Prohibited",0.003265419,"MAB"
2005,"Lg Coastal",0.022535989,"MAB"
2006,"Pelagic",0.000871317,"GB"
2006,"Prohibited",0.000217829,"GB"
2006,"Pelagic",0.001620162,"GOM"
2006,"Prohibited",0.001980198,"GOM"
2006,"Prohibited",0.009357889,"MAB"
2006,"Pelagic",0.004479841,"MAB"
2006,"Sm Coastal",0.006271777,"MAB"
2006,"Lg Coastal",0.027974116,"MAB"
2007,"Pelagic",0.001549187,"GB"
2007,"Prohibited",4.84121e-05,"GB"
2007,"Lg Coastal",4.84121e-05,"GB"
2007,"Pelagic",0.002664577,"GOM"
2007,"Prohibited",0.000626959,"GOM"
2007,"Prohibited",0.010021274,"MAB"
2007,"Lg Coastal",0.007501959,"MAB"
2007,"Sm Coastal",0.003303102,"MAB"
2007,"Pelagic",0.004198858,"MAB"
2007,"Pelagic",0.004739336,"SS"
2008,"Prohibited",0.000130011,"GB"
2008,"Pelagic",0.00156013,"GB"
2008,"Lg Coastal",0.000122895,"GOM"
2008,"Prohibited",0.000983163,"GOM"
2008,"Pelagic",0.005038712,"GOM"
2008,"Prohibited",0.004178721,"MAB"
2008,"Sm Coastal",0.002667952,"MAB"
2008,"Lg Coastal",0.005432337,"MAB"
2008,"Pelagic",0.001221472,"MAB"
2008,"Pelagic",0.012345679,"SS"
2009,"Prohibited",0.0001691,"GB"
2009,"Lg Coastal",0.000281833,"GB"
2009,"Pelagic",0.002705597,"GB"
2009,"Pelagic",0.006677383,"GOM"
2009,"Prohibited",0.000741931,"GOM"
2009,"Pelagic",0.001201257,"MAB"
2009,"Sm Coastal",0.00169408,"MAB"
2009,"Prohibited",0.011827758,"MAB"
2009,"Lg Coastal",0.005205446,"MAB"
2009,"Prohibited",0.003968254,"SS"
2010,"Pelagic",0.007052668,"GB"
2010,"Prohibited",0.001365032,"GB"
2010,"Lg Coastal",0.000455011,"GB"
2010,"Prohibited",0.001201923,"GOM"
2010,"Pelagic",0.008413462,"GOM"
2010,"Sm Coastal",0.000137822,"MAB"
2010,"Prohibited",0.004444751,"MAB"
2010,"Pelagic",0.001102574,"MAB"
2010,"Lg Coastal",0.002239603,"MAB"
2010,"Pelagic",0.008547009,"SS"
2011,"Pelagic",0.003004064,"GB"
2011,"Prohibited",0.000353419,"GB"
2011,"Prohibited",0.002428363,"GOM"
2011,"Pelagic",0.013275053,"GOM"
2011,"Pelagic",0.003390484,"MAB"
2011,"Prohibited",0.007474475,"MAB"
2011,"Lg Coastal",0.00562512,"MAB"
2011,"Sm Coastal",0.000115585,"MAB"
2011,"Pelagic",0.009345794,"SS"
2011,"Prohibited",0.009345794,"SS"
2012,"Prohibited",0.000227448,"GB"
2012,"Pelagic",0.001046263,"GB"
2012,"Lg Coastal",9.09794e-05,"GB"
2012,"Pelagic",0.011294811,"GOM"
2012,"Prohibited",0.001309543,"GOM"
2012,"Lg Coastal",0.002172311,"MAB"
2012,"Prohibited",0.002948136,"MAB"
2012,"Pelagic",0.00124132,"MAB"
2012,"Sm Coastal",0.001396486,"MAB"
2012,"Pelagic",0.011904762,"SS"
2013,"Prohibited",0.000479978,"GB"
2013,"Pelagic",0.000959956,"GB"
2013,"Prohibited",0.002369668,"GOM"
2013,"Pelagic",0.012440758,"GOM"
2013,"Pelagic",0.003614676,"MAB"
2013,"Sm Coastal",0.002289295,"MAB"
2013,"Prohibited",0.013615278,"MAB"
2013,"Lg Coastal",0.008313754,"MAB"
2014,"Pelagic",0.003598872,"GB"
2014,"Prohibited",0.002918004,"GB"
2014,"Pelagic",0.011008628,"GOM"
2014,"Prohibited",0.002231479,"GOM"
2014,"Prohibited",0.008135343,"MAB"
2014,"Pelagic",0.003882777,"MAB"
2014,"Sm Coastal",0.008458907,"MAB"
2014,"Lg Coastal",0.017611168,"MAB"
2015,"Lg Coastal",0.000460193,"GB"
2015,"Pelagic",0.003681546,"GB"
2015,"Prohibited",0.000843688,"GB"
2015,"Pelagic",0.008393829,"GOM"
2015,"Prohibited",0.001701452,"GOM"
2015,"Prohibited",0.012692844,"MAB"
2015,"Pelagic",0.008668283,"MAB"
2015,"Sm Coastal",0.007326763,"MAB"
2015,"Lg Coastal",0.011299727,"MAB"
2015,"Pelagic",0.001669449,"SS"
2016,"Prohibited",0.000723589,"GB"
2016,"Pelagic",0.00397974,"GB"
2016,"Lg Coastal",0.000602991,"GB"
2016,"Prohibited",0.000754337,"GOM"
2016,"Pelagic",0.011817953,"GOM"
2016,"Lg Coastal",0.011232564,"MAB"
2016,"Pelagic",0.004291845,"MAB"
2016,"Sm Coastal",0.024208691,"MAB"
2016,"Prohibited",0.0152897,"MAB"
2016,"Pelagic",0.06557377,"SS"
2017,"Pelagic",0.004441222,"GB"
2017,"Prohibited",0.001178283,"GB"
2017,"Lg Coastal",0.000815735,"GB"
2017,"Pelagic",0.02750573,"GOM"
2017,"Prohibited",0.002500521,"GOM"
2017,"Pelagic",0.009616755,"MAB"
2017,"Prohibited",0.019055421,"MAB"
2017,"Sm Coastal",0.009224961,"MAB"
2017,"Lg Coastal",0.018449922,"MAB"
2018,"Lg Coastal",0.000356278,"GB"
2018,"Pelagic",0.001496366,"GB"
