"Time","Value","Source","EPU","Units","Var"
1997,847,"1 confidential observation(s) suppressed in year 1997. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
1998,862,"0 confidential observation(s) suppressed in year 1998. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
1999,870,"0 confidential observation(s) suppressed in year 1999. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2000,844,"1 confidential observation(s) suppressed in year 2000. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2001,819,"1 confidential observation(s) suppressed in year 2001. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2002,880,"1 confidential observation(s) suppressed in year 2002. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2003,979,"1 confidential observation(s) suppressed in year 2003. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2004,943,"1 confidential observation(s) suppressed in year 2004. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2005,927,"0 confidential observation(s) suppressed in year 2005. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2006,882,"0 confidential observation(s) suppressed in year 2006. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2007,1085,"1 confidential observation(s) suppressed in year 2007. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2008,964,"1 confidential observation(s) suppressed in year 2008. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2009,1001,"0 confidential observation(s) suppressed in year 2009. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2010,999,"1 confidential observation(s) suppressed in year 2010. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2011,1044,"1 confidential observation(s) suppressed in year 2011. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2012,1115,"1 confidential observation(s) suppressed in year 2012. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2013,1118,"1 confidential observation(s) suppressed in year 2013. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2014,1171,"1 confidential observation(s) suppressed in year 2014. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2015,1137,"1 confidential observation(s) suppressed in year 2015. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2016,1132,"0 confidential observation(s) suppressed in year 2016. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2017,1144,"0 confidential observation(s) suppressed in year 2017. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2018,1080,"0 confidential observation(s) suppressed in year 2018. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
2019,1090,"0 confidential observation(s) suppressed in year 2019. Census Bureau Nonemployer Statistics data for Fish and seafood markets, wholesalers and product preparation.","MAB","Number of establishments","Shoreside Support Nonemployer Establishments"
