"Time","EPU","Depth","Var","Value","Source","temp.threshold","Units"
1993,"GB","0-25m",">0.5°C",0.999999943472559,"GLORYS",0.5,"Proportion"
1993,"GB","0-25m",">1.5°C",0.998114541733627,"GLORYS",1.5,"Proportion"
1993,"GB","0-25m",">10.5°C",0.50508964958903,"GLORYS",10.5,"Proportion"
1993,"GB","0-25m",">10°C",0.52577220682654,"GLORYS",10,"Proportion"
1993,"GB","0-25m",">11.5°C",0.457993261544991,"GLORYS",11.5,"Proportion"
1993,"GB","0-25m",">11°C",0.480815480302173,"GLORYS",11,"Proportion"
1993,"GB","0-25m",">12.5°C",0.419294020986858,"GLORYS",12.5,"Proportion"
1993,"GB","0-25m",">12°C",0.438661218704841,"GLORYS",12,"Proportion"
1993,"GB","0-25m",">13.5°C",0.379513955800965,"GLORYS",13.5,"Proportion"
1993,"GB","0-25m",">13°C",0.399875967646982,"GLORYS",13,"Proportion"
1993,"GB","0-25m",">14.5°C",0.322118607974097,"GLORYS",14.5,"Proportion"
1993,"GB","0-25m",">14°C",0.354292137265019,"GLORYS",14,"Proportion"
1993,"GB","0-25m",">15.5°C",0.282509115567052,"GLORYS",15.5,"Proportion"
1993,"GB","0-25m",">15°C",0.302172827737793,"GLORYS",15,"Proportion"
1993,"GB","0-25m",">16.5°C",0.245788831237068,"GLORYS",16.5,"Proportion"
1993,"GB","0-25m",">16°C",0.265355730170507,"GLORYS",16,"Proportion"
1993,"GB","0-25m",">17.5°C",0.204478537054677,"GLORYS",17.5,"Proportion"
1993,"GB","0-25m",">17°C",0.22636520821728,"GLORYS",17,"Proportion"
1993,"GB","0-25m",">18.5°C",0.152927518015134,"GLORYS",18.5,"Proportion"
1993,"GB","0-25m",">18°C",0.177026038452769,"GLORYS",18,"Proportion"
1993,"GB","0-25m",">19.5°C",0.116120379092301,"GLORYS",19.5,"Proportion"
1993,"GB","0-25m",">19°C",0.134497080318712,"GLORYS",19,"Proportion"
1993,"GB","0-25m",">1°C",0.999811474803118,"GLORYS",1,"Proportion"
1993,"GB","0-25m",">2.5°C",0.978636872890662,"GLORYS",2.5,"Proportion"
1993,"GB","0-25m",">20.5°C",0.0771142171045011,"GLORYS",20.5,"Proportion"
1993,"GB","0-25m",">20°C",0.0986003579877523,"GLORYS",20,"Proportion"
1993,"GB","0-25m",">21.5°C",0.029510098566865,"GLORYS",21.5,"Proportion"
1993,"GB","0-25m",">21°C",0.0542246388879307,"GLORYS",21,"Proportion"
1993,"GB","0-25m",">22.5°C",0.00442934168530239,"GLORYS",22.5,"Proportion"
1993,"GB","0-25m",">22°C",0.0150355171249747,"GLORYS",22,"Proportion"
1993,"GB","0-25m",">23.5°C",0,"GLORYS",23.5,"Proportion"
1993,"GB","0-25m",">23°C",0.00080073834793357,"GLORYS",23,"Proportion"
1993,"GB","0-25m",">24.5°C",0,"GLORYS",24.5,"Proportion"
1993,"GB","0-25m",">24°C",0,"GLORYS",24,"Proportion"
1993,"GB","0-25m",">25.5°C",0,"GLORYS",25.5,"Proportion"
1993,"GB","0-25m",">25°C",0,"GLORYS",25,"Proportion"
1993,"GB","0-25m",">26.5°C",0,"GLORYS",26.5,"Proportion"
1993,"GB","0-25m",">26°C",0,"GLORYS",26,"Proportion"
1993,"GB","0-25m",">27.5°C",0,"GLORYS",27.5,"Proportion"
1993,"GB","0-25m",">27°C",0,"GLORYS",27,"Proportion"
1993,"GB","0-25m",">28.5°C",0,"GLORYS",28.5,"Proportion"
1993,"GB","0-25m",">28°C",0,"GLORYS",28,"Proportion"
1993,"GB","0-25m",">29.5°C",0,"GLORYS",29.5,"Proportion"
1993,"GB","0-25m",">29°C",0,"GLORYS",29,"Proportion"
1993,"GB","0-25m",">2°C",0.993305104299706,"GLORYS",2,"Proportion"
1993,"GB","0-25m",">3.5°C",0.907530827806854,"GLORYS",3.5,"Proportion"
1993,"GB","0-25m",">30°C",0,"GLORYS",30,"Proportion"
1993,"GB","0-25m",">3°C",0.952207013762803,"GLORYS",3,"Proportion"
1993,"GB","0-25m",">4.5°C",0.787355319850102,"GLORYS",4.5,"Proportion"
1993,"GB","0-25m",">4°C",0.851829922794367,"GLORYS",4,"Proportion"
1993,"GB","0-25m",">5.5°C",0.718745218291929,"GLORYS",5.5,"Proportion"
1993,"GB","0-25m",">5°C",0.743926990912563,"GLORYS",5,"Proportion"
1993,"GB","0-25m",">6.5°C",0.681186734524119,"GLORYS",6.5,"Proportion"
1993,"GB","0-25m",">6°C",0.695832154827171,"GLORYS",6,"Proportion"
1993,"GB","0-25m",">7.5°C",0.640381687829077,"GLORYS",7.5,"Proportion"
1993,"GB","0-25m",">7°C",0.664088370310073,"GLORYS",7,"Proportion"
1993,"GB","0-25m",">8.5°C",0.58063365429084,"GLORYS",8.5,"Proportion"
1993,"GB","0-25m",">8°C",0.612136982569232,"GLORYS",8,"Proportion"
1993,"GB","0-25m",">9.5°C",0.542971320373308,"GLORYS",9.5,"Proportion"
1993,"GB","0-25m",">9°C",0.558948214346089,"GLORYS",9,"Proportion"
1993,"GB","100-300m",">0.5°C",0.999999943472635,"GLORYS",0.5,"Proportion"
1993,"GB","100-300m",">1.5°C",0.999999943472635,"GLORYS",1.5,"Proportion"
1993,"GB","100-300m",">10.5°C",0.463898841619305,"GLORYS",10.5,"Proportion"
1993,"GB","100-300m",">10°C",0.50843118348603,"GLORYS",10,"Proportion"
1993,"GB","100-300m",">11.5°C",0.345320287047901,"GLORYS",11.5,"Proportion"
1993,"GB","100-300m",">11°C",0.413084261842628,"GLORYS",11,"Proportion"
1993,"GB","100-300m",">12.5°C",0.193644674915104,"GLORYS",12.5,"Proportion"
1993,"GB","100-300m",">12°C",0.269917717244689,"GLORYS",12,"Proportion"
1993,"GB","100-300m",">13.5°C",0.0686763570017286,"GLORYS",13.5,"Proportion"
1993,"GB","100-300m",">13°C",0.126125758713005,"GLORYS",13,"Proportion"
1993,"GB","100-300m",">14.5°C",0.0167454917468186,"GLORYS",14.5,"Proportion"
1993,"GB","100-300m",">14°C",0.0351219896297549,"GLORYS",14,"Proportion"
1993,"GB","100-300m",">15.5°C",0.00241907721894476,"GLORYS",15.5,"Proportion"
1993,"GB","100-300m",">15°C",0.00627052918036079,"GLORYS",15,"Proportion"
1993,"GB","100-300m",">16.5°C",1.57569973340072e-05,"GLORYS",16.5,"Proportion"
1993,"GB","100-300m",">16°C",0.00059729384029293,"GLORYS",16,"Proportion"
1993,"GB","100-300m",">17.5°C",0,"GLORYS",17.5,"Proportion"
1993,"GB","100-300m",">17°C",0,"GLORYS",17,"Proportion"
1993,"GB","100-300m",">18.5°C",0,"GLORYS",18.5,"Proportion"
1993,"GB","100-300m",">18°C",0,"GLORYS",18,"Proportion"
1993,"GB","100-300m",">19.5°C",0,"GLORYS",19.5,"Proportion"
1993,"GB","100-300m",">19°C",0,"GLORYS",19,"Proportion"
1993,"GB","100-300m",">1°C",0.999999943472635,"GLORYS",1,"Proportion"
1993,"GB","100-300m",">2.5°C",0.999999943472635,"GLORYS",2.5,"Proportion"
1993,"GB","100-300m",">20.5°C",0,"GLORYS",20.5,"Proportion"
1993,"GB","100-300m",">20°C",0,"GLORYS",20,"Proportion"
1993,"GB","100-300m",">21.5°C",0,"GLORYS",21.5,"Proportion"
1993,"GB","100-300m",">21°C",0,"GLORYS",21,"Proportion"
1993,"GB","100-300m",">22.5°C",0,"GLORYS",22.5,"Proportion"
1993,"GB","100-300m",">22°C",0,"GLORYS",22,"Proportion"
1993,"GB","100-300m",">23.5°C",0,"GLORYS",23.5,"Proportion"
1993,"GB","100-300m",">23°C",0,"GLORYS",23,"Proportion"
1993,"GB","100-300m",">24.5°C",0,"GLORYS",24.5,"Proportion"
1993,"GB","100-300m",">24°C",0,"GLORYS",24,"Proportion"
1993,"GB","100-300m",">25.5°C",0,"GLORYS",25.5,"Proportion"
1993,"GB","100-300m",">25°C",0,"GLORYS",25,"Proportion"
1993,"GB","100-300m",">26.5°C",0,"GLORYS",26.5,"Proportion"
1993,"GB","100-300m",">26°C",0,"GLORYS",26,"Proportion"
1993,"GB","100-300m",">27.5°C",0,"GLORYS",27.5,"Proportion"
1993,"GB","100-300m",">27°C",0,"GLORYS",27,"Proportion"
1993,"GB","100-300m",">28.5°C",0,"GLORYS",28.5,"Proportion"
1993,"GB","100-300m",">28°C",0,"GLORYS",28,"Proportion"
1993,"GB","100-300m",">29.5°C",0,"GLORYS",29.5,"Proportion"
1993,"GB","100-300m",">29°C",0,"GLORYS",29,"Proportion"
1993,"GB","100-300m",">2°C",0.999999943472635,"GLORYS",2,"Proportion"
