"Time","Var","Value","EPU"
2008,"Monkfish-sum_landing",830526.446,"NE"
2008,"Monkfish-sum_value",2003655.50138889,"NE"
2009,"Monkfish-sum_landing",741164.165,"NE"
2009,"Monkfish-sum_value",1572354.37123288,"NE"
2010,"Monkfish-sum_landing",662111.162,"NE"
2010,"Monkfish-sum_value",1585813.81081081,"NE"
2011,"Monkfish-sum_landing",750534.152,"NE"
2011,"Monkfish-sum_value",2278710.17066667,"NE"
2012,"Monkfish-sum_landing",944088.406,"NE"
2012,"Monkfish-sum_value",2529948.88831169,"NE"
2013,"Monkfish-sum_landing",691430.308,"NE"
2013,"Monkfish-sum_value",1488213.98461539,"NE"
2014,"Monkfish-sum_landing",656731.035,"NE"
2014,"Monkfish-sum_value",1446888.87594937,"NE"
2015,"Monkfish-sum_landing",583872.779,"NE"
2015,"Monkfish-sum_value",1281658.71125,"NE"
2016,"Monkfish-sum_landing",623170.871,"NE"
2016,"Monkfish-sum_value",1345658.28765432,"NE"
2017,"Monkfish-sum_landing",725760.915,"NE"
2017,"Monkfish-sum_value",1331578.08780488,"NE"
2018,"Monkfish-sum_landing",720320.509,"NE"
2018,"Monkfish-sum_value",1056257.94166667,"NE"
2019,"Monkfish-sum_landing",796055.178,"NE"
2019,"Monkfish-sum_value",1104068.6872093,"NE"
2020,"Monkfish-sum_landing",555462.767,"NE"
2020,"Monkfish-sum_value",655965.402298851,"NE"
2021,"Monkfish-sum_landing",445674.555,"NE"
2021,"Monkfish-sum_value",648183.504395604,"NE"
2022,"Monkfish-sum_landing",541034.621,"NE"
2022,"Monkfish-sum_value",945412.845360825,"NE"
2023,"Monkfish-sum_landing",438802.207,"NE"
2023,"Monkfish-sum_value",759950.13,"NE"
2008,"Atlantic cod-sum_landing",139131.369,"NE"
2008,"Atlantic cod-sum_value",369268.3875,"NE"
2009,"Atlantic cod-sum_landing",153248.463,"NE"
2009,"Atlantic cod-sum_value",350255.78630137,"NE"
2010,"Atlantic cod-sum_landing",214482.578,"NE"
2010,"Atlantic cod-sum_value",506161.347297297,"NE"
2011,"Atlantic cod-sum_landing",291856.051,"NE"
2011,"Atlantic cod-sum_value",840591.54,"NE"
2012,"Atlantic cod-sum_landing",164133.925,"NE"
2012,"Atlantic cod-sum_value",532405.703896104,"NE"
2013,"Atlantic cod-sum_landing",144288.636,"NE"
2013,"Atlantic cod-sum_value",479642.776923077,"NE"
2014,"Atlantic cod-sum_landing",136241.331,"NE"
2014,"Atlantic cod-sum_value",368894.786075949,"NE"
2015,"Atlantic cod-sum_landing",112535.353,"NE"
2015,"Atlantic cod-sum_value",323064.455,"NE"
2016,"Atlantic cod-sum_landing",80829.621,"NE"
2016,"Atlantic cod-sum_value",233674.135802469,"NE"
2017,"Atlantic cod-sum_landing",53660.887,"NE"
2017,"Atlantic cod-sum_value",182369.418292683,"NE"
2018,"Atlantic cod-sum_landing",53425.861,"NE"
2018,"Atlantic cod-sum_value",164287.848809524,"NE"
2019,"Atlantic cod-sum_landing",70982.855,"NE"
2019,"Atlantic cod-sum_value",200996.152325581,"NE"
2020,"Atlantic cod-sum_landing",42881.681,"NE"
2020,"Atlantic cod-sum_value",130634.531034483,"NE"
2021,"Atlantic cod-sum_landing",35424.617,"NE"
2021,"Atlantic cod-sum_value",104284.359340659,"NE"
2022,"Atlantic cod-sum_landing",45896.675,"NE"
2022,"Atlantic cod-sum_value",114725.635051546,"NE"
2023,"Atlantic cod-sum_landing",36730.527,"NE"
2023,"Atlantic cod-sum_value",87599.38,"NE"
2008,"Red Crab-sum_landing",15408.736,"NE"
2008,"Red Crab-sum_value",25203.4625,"NE"
2009,"Red Crab-sum_landing",5196.624,"NE"
2009,"Red Crab-sum_value",7386.95068493151,"NE"
2017,"Red Crab-sum_landing",35868.891,"NE"
2017,"Red Crab-sum_value",43742.1451219512,"NE"
2022,"Red Crab-sum_landing",87427.931,"NE"
2022,"Red Crab-sum_value",108079.07628866,"NE"
2023,"Red Crab-sum_landing",17205.908,"NE"
2023,"Red Crab-sum_value",20724.277,"NE"
2008,"Spiny Dogfish-sum_landing",16160.237,"NE"
2008,"Spiny Dogfish-sum_value",4565.24861111111,"NE"
2009,"Spiny Dogfish-sum_landing",160072.774,"NE"
2009,"Spiny Dogfish-sum_value",41111.9890410959,"NE"
2010,"Spiny Dogfish-sum_landing",164130.53,"NE"
2010,"Spiny Dogfish-sum_value",44416.1,"NE"
2011,"Spiny Dogfish-sum_landing",148116.451,"NE"
2011,"Spiny Dogfish-sum_value",43265.6906666667,"NE"
2012,"Spiny Dogfish-sum_landing",306125.417,"NE"
2012,"Spiny Dogfish-sum_value",84923.3909090909,"NE"
2013,"Spiny Dogfish-sum_landing",271845.389,"NE"
2013,"Spiny Dogfish-sum_value",61418.7064102564,"NE"
2014,"Spiny Dogfish-sum_landing",224311.056,"NE"
2014,"Spiny Dogfish-sum_value",48276.6784810127,"NE"
2015,"Spiny Dogfish-sum_landing",234589.764,"NE"
2015,"Spiny Dogfish-sum_value",37672.29875,"NE"
2016,"Spiny Dogfish-sum_landing",325328.903,"NE"
2016,"Spiny Dogfish-sum_value",65152.5901234568,"NE"
2017,"Spiny Dogfish-sum_landing",166087.572,"NE"
2017,"Spiny Dogfish-sum_value",33452.1036585366,"NE"
2018,"Spiny Dogfish-sum_landing",91987.349,"NE"
2018,"Spiny Dogfish-sum_value",20368.2428571429,"NE"
2019,"Spiny Dogfish-sum_landing",124200.112,"NE"
2019,"Spiny Dogfish-sum_value",25185.5406976744,"NE"
2020,"Spiny Dogfish-sum_landing",142567.978,"NE"
2020,"Spiny Dogfish-sum_value",27562.6689655172,"NE"
2021,"Spiny Dogfish-sum_landing",77285.699,"NE"
2021,"Spiny Dogfish-sum_value",17651.0934065934,"NE"
2022,"Spiny Dogfish-sum_landing",48962.481,"NE"
2022,"Spiny Dogfish-sum_value",10781.8030927835,"NE"
2023,"Spiny Dogfish-sum_landing",55937.275,"NE"
2023,"Spiny Dogfish-sum_value",10734.886,"NE"
2008,"American Plaice-sum_landing",97621.649,"NE"
2008,"American Plaice-sum_value",218286.1875,"NE"
2009,"American Plaice-sum_landing",133651.727,"NE"
2009,"American Plaice-sum_value",234700.520547945,"NE"
2010,"American Plaice-sum_landing",149628.194,"NE"
2010,"American Plaice-sum_value",292748.571621622,"NE"
2011,"American Plaice-sum_landing",161681.184,"NE"
2011,"American Plaice-sum_value",319163.957333333,"NE"
2012,"American Plaice-sum_landing",195183.872,"NE"
2012,"American Plaice-sum_value",387230.837662338,"NE"
2013,"American Plaice-sum_landing",179872.331,"NE"
2013,"American Plaice-sum_value",390635.758974359,"NE"
2014,"American Plaice-sum_landing",138546.653,"NE"
2014,"American Plaice-sum_value",319436.678481013,"NE"
2015,"American Plaice-sum_landing",134527.59,"NE"
2015,"American Plaice-sum_value",342915.1725,"NE"
2016,"American Plaice-sum_landing",113530.077,"NE"
2016,"American Plaice-sum_value",366636.171604938,"NE"
2017,"American Plaice-sum_landing",121786.39,"NE"
2017,"American Plaice-sum_value",361376.915853659,"NE"
2018,"American Plaice-sum_landing",106886.318,"NE"
2018,"American Plaice-sum_value",273045.202380952,"NE"
2019,"American Plaice-sum_landing",106492.044,"NE"
2019,"American Plaice-sum_value",238558.280232558,"NE"
2020,"American Plaice-sum_landing",56798.412,"NE"
2020,"American Plaice-sum_value",128612.488505747,"NE"
2021,"American Plaice-sum_landing",73374.867,"NE"
2021,"American Plaice-sum_value",164159.374725275,"NE"
2022,"American Plaice-sum_landing",85241.322,"NE"
2022,"American Plaice-sum_value",167139.827835051,"NE"
2023,"American Plaice-sum_landing",162503.955,"NE"
2023,"American Plaice-sum_value",220781.776,"NE"
2008,"Windowpane flounder-sum_landing",4997.278,"NE"
2008,"Windowpane flounder-sum_value",2425.20138888889,"NE"
2009,"Windowpane flounder-sum_landing",3238.087,"NE"
2009,"Windowpane flounder-sum_value",1712.42739726027,"NE"
2010,"Windowpane flounder-sum_landing",1629.551,"NE"
2010,"Windowpane flounder-sum_value",1163.47027027027,"NE"
2011,"Windowpane flounder-sum_landing",191.006,"NE"
2011,"Windowpane flounder-sum_value",118.454666666667,"NE"
2012,"Windowpane flounder-sum_landing",105.813,"NE"
2012,"Windowpane flounder-sum_value",84.3454545454545,"NE"
2013,"Windowpane flounder-sum_landing",127.67,"NE"
2013,"Windowpane flounder-sum_value",27.5538461538462,"NE"
2014,"Windowpane flounder-sum_landing",NA,"NE"
2014,"Windowpane flounder-sum_value",NA,"NE"
2015,"Windowpane flounder-sum_landing",NA,"NE"
2015,"Windowpane flounder-sum_value",NA,"NE"
2016,"Windowpane flounder-sum_landing",NA,"NE"
2016,"Windowpane flounder-sum_value",NA,"NE"
2017,"Windowpane flounder-sum_landing",NA,"NE"
2017,"Windowpane flounder-sum_value",NA,"NE"
2018,"Windowpane flounder-sum_landing",NA,"NE"
2018,"Windowpane flounder-sum_value",NA,"NE"
2019,"Windowpane flounder-sum_landing",NA,"NE"
2019,"Windowpane flounder-sum_value",NA,"NE"
2020,"Windowpane flounder-sum_landing",NA,"NE"
2020,"Windowpane flounder-sum_value",NA,"NE"
2021,"Windowpane flounder-sum_landing",NA,"NE"
2021,"Windowpane flounder-sum_value",NA,"NE"
2022,"Windowpane flounder-sum_landing",NA,"NE"
2022,"Windowpane flounder-sum_value",NA,"NE"
2023,"Windowpane flounder-sum_landing",NA,"NE"
2023,"Windowpane flounder-sum_value",NA,"NE"
2008,"Winter flounder-sum_landing",61981.15,"NE"
2008,"Winter flounder-sum_value",155503.631944444,"NE"
2009,"Winter flounder-sum_landing",27931.816,"NE"
2009,"Winter flounder-sum_value",63130.0273972603,"NE"
2010,"Winter flounder-sum_landing",16776.618,"NE"
2010,"Winter flounder-sum_value",45320.1445945946,"NE"
2011,"Winter flounder-sum_landing",18609.833,"NE"
2011,"Winter flounder-sum_value",45075.3093333333,"NE"
2012,"Winter flounder-sum_landing",29332.002,"NE"
2012,"Winter flounder-sum_value",77594.1363636364,"NE"
2013,"Winter flounder-sum_landing",72600.429,"NE"
2013,"Winter flounder-sum_value",186172.382051282,"NE"
2014,"Winter flounder-sum_landing",132719.525,"NE"
2014,"Winter flounder-sum_value",350178.236708861,"NE"
2015,"Winter flounder-sum_landing",75267.975,"NE"
2015,"Winter flounder-sum_value",222313.78375,"NE"
2016,"Winter flounder-sum_landing",87640.709,"NE"
2016,"Winter flounder-sum_value",304850.956790123,"NE"
2017,"Winter flounder-sum_landing",79847.255,"NE"
2017,"Winter flounder-sum_value",299344.814634146,"NE"
2018,"Winter flounder-sum_landing",43899.39,"NE"
2018,"Winter flounder-sum_value",169838.580952381,"NE"
2019,"Winter flounder-sum_landing",11612.046,"NE"
2019,"Winter flounder-sum_value",35280.2790697674,"NE"
2020,"Winter flounder-sum_landing",10979.335,"NE"
2020,"Winter flounder-sum_value",24107.1816091954,"NE"
2021,"Winter flounder-sum_landing",10662.156,"NE"
2021,"Winter flounder-sum_value",32619.7659340659,"NE"
2022,"Winter flounder-sum_landing",7189.11,"NE"
2022,"Winter flounder-sum_value",14374.4,"NE"
2023,"Winter flounder-sum_landing",3410.527,"NE"
2023,"Winter flounder-sum_value",5811.547,"NE"
2008,"Witch flounder-sum_landing",69247.406,"NE"
2008,"Witch flounder-sum_value",226397.959722222,"NE"
2009,"Witch flounder-sum_landing",67403.906,"NE"
2009,"Witch flounder-sum_value",179784.620547945,"NE"
2010,"Witch flounder-sum_landing",62542.248,"NE"
2010,"Witch flounder-sum_value",169142.251351351,"NE"
2011,"Witch flounder-sum_landing",85414.05,"NE"
2011,"Witch flounder-sum_value",224582.476,"NE"
2012,"Witch flounder-sum_landing",88613.255,"NE"
2012,"Witch flounder-sum_value",211429.744155844,"NE"
2013,"Witch flounder-sum_landing",64253.975,"NE"
2013,"Witch flounder-sum_value",204400.082051282,"NE"
2014,"Witch flounder-sum_landing",52040.966,"NE"
2014,"Witch flounder-sum_value",155079.135443038,"NE"
2015,"Witch flounder-sum_landing",41311.545,"NE"
2015,"Witch flounder-sum_value",137148.495,"NE"
2016,"Witch flounder-sum_landing",37623.227,"NE"
2016,"Witch flounder-sum_value",140409.251851852,"NE"
2017,"Witch flounder-sum_landing",35695.927,"NE"
2017,"Witch flounder-sum_value",109551.073170732,"NE"
2018,"Witch flounder-sum_landing",47336.845,"NE"
2018,"Witch flounder-sum_value",99668.7880952381,"NE"
2019,"Witch flounder-sum_landing",68661.149,"NE"
2019,"Witch flounder-sum_value",131390.676744186,"NE"
2020,"Witch flounder-sum_landing",74065.954,"NE"
2020,"Witch flounder-sum_value",135446.722988506,"NE"
2021,"Witch flounder-sum_landing",77902.449,"NE"
