"Time","Var","Value","EPU","Units"
1977,"Zoo_Shannon-Wiener_Diversity_index",2.00876985243139,"MAB","Unitless"
1978,"Zoo_Shannon-Wiener_Diversity_index",2.15780944546152,"MAB","Unitless"
1979,"Zoo_Shannon-Wiener_Diversity_index",2.56029916527084,"MAB","Unitless"
1980,"Zoo_Shannon-Wiener_Diversity_index",2.62429468510219,"MAB","Unitless"
1981,"Zoo_Shannon-Wiener_Diversity_index",2.57601831421421,"MAB","Unitless"
1982,"Zoo_Shannon-Wiener_Diversity_index",2.50294189747795,"MAB","Unitless"
1983,"Zoo_Shannon-Wiener_Diversity_index",2.53934206367127,"MAB","Unitless"
1984,"Zoo_Shannon-Wiener_Diversity_index",2.65980851782686,"MAB","Unitless"
1985,"Zoo_Shannon-Wiener_Diversity_index",2.55033008301817,"MAB","Unitless"
1986,"Zoo_Shannon-Wiener_Diversity_index",2.22756736053772,"MAB","Unitless"
1987,"Zoo_Shannon-Wiener_Diversity_index",2.82745839495958,"MAB","Unitless"
1988,"Zoo_Shannon-Wiener_Diversity_index",2.46373086357291,"MAB","Unitless"
1989,"Zoo_Shannon-Wiener_Diversity_index",1.48245789031008,"MAB","Unitless"
1990,"Zoo_Shannon-Wiener_Diversity_index",2.18029677346729,"MAB","Unitless"
1991,"Zoo_Shannon-Wiener_Diversity_index",1.79283358825348,"MAB","Unitless"
1992,"Zoo_Shannon-Wiener_Diversity_index",2.46816574459294,"MAB","Unitless"
1993,"Zoo_Shannon-Wiener_Diversity_index",2.83850948966692,"MAB","Unitless"
1994,"Zoo_Shannon-Wiener_Diversity_index",2.20322921425479,"MAB","Unitless"
1995,"Zoo_Shannon-Wiener_Diversity_index",2.49152857457232,"MAB","Unitless"
1996,"Zoo_Shannon-Wiener_Diversity_index",2.68490266046703,"MAB","Unitless"
1997,"Zoo_Shannon-Wiener_Diversity_index",2.61298930081253,"MAB","Unitless"
1998,"Zoo_Shannon-Wiener_Diversity_index",2.56954484873267,"MAB","Unitless"
1999,"Zoo_Shannon-Wiener_Diversity_index",2.77857520865803,"MAB","Unitless"
2000,"Zoo_Shannon-Wiener_Diversity_index",2.49411807442414,"MAB","Unitless"
2001,"Zoo_Shannon-Wiener_Diversity_index",2.68041643657142,"MAB","Unitless"
2002,"Zoo_Shannon-Wiener_Diversity_index",2.62067687123718,"MAB","Unitless"
2003,"Zoo_Shannon-Wiener_Diversity_index",2.55410309938194,"MAB","Unitless"
2004,"Zoo_Shannon-Wiener_Diversity_index",2.66633829422137,"MAB","Unitless"
2005,"Zoo_Shannon-Wiener_Diversity_index",2.54520181979621,"MAB","Unitless"
2006,"Zoo_Shannon-Wiener_Diversity_index",2.63335486887855,"MAB","Unitless"
2007,"Zoo_Shannon-Wiener_Diversity_index",2.59936839419185,"MAB","Unitless"
2008,"Zoo_Shannon-Wiener_Diversity_index",2.74743580156578,"MAB","Unitless"
2009,"Zoo_Shannon-Wiener_Diversity_index",2.70296849682685,"MAB","Unitless"
2010,"Zoo_Shannon-Wiener_Diversity_index",2.6217313016617,"MAB","Unitless"
2011,"Zoo_Shannon-Wiener_Diversity_index",2.79176261969133,"MAB","Unitless"
2012,"Zoo_Shannon-Wiener_Diversity_index",2.48334455551189,"MAB","Unitless"
2013,"Zoo_Shannon-Wiener_Diversity_index",2.6716783312568,"MAB","Unitless"
2014,"Zoo_Shannon-Wiener_Diversity_index",2.657267511159,"MAB","Unitless"
2015,"Zoo_Shannon-Wiener_Diversity_index",2.99613774899172,"MAB","Unitless"
2016,"Zoo_Shannon-Wiener_Diversity_index",3.03740778818658,"MAB","Unitless"
2017,"Zoo_Shannon-Wiener_Diversity_index",2.5588503198658,"MAB","Unitless"
2018,"Zoo_Shannon-Wiener_Diversity_index",2.64398172630823,"MAB","Unitless"
2019,"Zoo_Shannon-Wiener_Diversity_index",2.75283762894338,"MAB","Unitless"
2020,"Zoo_Shannon-Wiener_Diversity_index",NA,"MAB","Unitless"
2021,"Zoo_Shannon-Wiener_Diversity_index",2.92157303676073,"MAB","Unitless"
1977,"Zoo_Shannon-Wiener_Diversity_index",1.89807431431371,"GB","Unitless"
1978,"Zoo_Shannon-Wiener_Diversity_index",2.1241389329841,"GB","Unitless"
1979,"Zoo_Shannon-Wiener_Diversity_index",2.46903192720541,"GB","Unitless"
1980,"Zoo_Shannon-Wiener_Diversity_index",2.54090479966816,"GB","Unitless"
1981,"Zoo_Shannon-Wiener_Diversity_index",2.55364601264921,"GB","Unitless"
1982,"Zoo_Shannon-Wiener_Diversity_index",2.61917769741748,"GB","Unitless"
1983,"Zoo_Shannon-Wiener_Diversity_index",2.60288628174185,"GB","Unitless"
1984,"Zoo_Shannon-Wiener_Diversity_index",2.20290560183618,"GB","Unitless"
1985,"Zoo_Shannon-Wiener_Diversity_index",2.4832438533119,"GB","Unitless"
