"Time","Units","EPU","Var","Value"
1977,"Absolute Number of Individuals","MAB","Euphausiacea",1822549.70645332
1977,"Absolute Number of Individuals","MAB","Cnidaria",921280.640531408
1978,"Absolute Number of Individuals","MAB","Euphausiacea",1782139.94993534
1978,"Absolute Number of Individuals","MAB","Cnidaria",1040346.91226068
1979,"Absolute Number of Individuals","MAB","Euphausiacea",5085179.05551647
1979,"Absolute Number of Individuals","MAB","Cnidaria",2906291.03368519
1980,"Absolute Number of Individuals","MAB","Euphausiacea",4387337.58250869
1980,"Absolute Number of Individuals","MAB","Cnidaria",3609438.12260896
1981,"Absolute Number of Individuals","MAB","Euphausiacea",2223607.63954236
1981,"Absolute Number of Individuals","MAB","Cnidaria",8817928.96901422
1982,"Absolute Number of Individuals","MAB","Euphausiacea",2563921.10360759
1982,"Absolute Number of Individuals","MAB","Cnidaria",3595491.22444682
1983,"Absolute Number of Individuals","MAB","Euphausiacea",1255683.02656561
1983,"Absolute Number of Individuals","MAB","Cnidaria",1055566.37319841
1984,"Absolute Number of Individuals","MAB","Euphausiacea",3298972.96773455
1984,"Absolute Number of Individuals","MAB","Cnidaria",1772165.30358076
1985,"Absolute Number of Individuals","MAB","Euphausiacea",2391234.05043964
1985,"Absolute Number of Individuals","MAB","Cnidaria",1882999.43780225
1986,"Absolute Number of Individuals","MAB","Euphausiacea",4099717.74463953
1986,"Absolute Number of Individuals","MAB","Cnidaria",3151290.7947428
1987,"Absolute Number of Individuals","MAB","Euphausiacea",3828627.37852165
1987,"Absolute Number of Individuals","MAB","Cnidaria",4510800.21169554
1988,"Absolute Number of Individuals","MAB","Euphausiacea",3934771.40637964
1988,"Absolute Number of Individuals","MAB","Cnidaria",2341558.03252708
1989,"Absolute Number of Individuals","MAB","Euphausiacea",8167723.7673819
1989,"Absolute Number of Individuals","MAB","Cnidaria",29379264.6990232
1990,"Absolute Number of Individuals","MAB","Euphausiacea",12005377.5445703
1990,"Absolute Number of Individuals","MAB","Cnidaria",8159228.04500735
1991,"Absolute Number of Individuals","MAB","Euphausiacea",4545720.44584119
1991,"Absolute Number of Individuals","MAB","Cnidaria",26261334.7585025
1992,"Absolute Number of Individuals","MAB","Euphausiacea",22833362.1665959
1992,"Absolute Number of Individuals","MAB","Cnidaria",54671643.9506965
1993,"Absolute Number of Individuals","MAB","Euphausiacea",20537586.8715243
1993,"Absolute Number of Individuals","MAB","Cnidaria",24002315.3255464
1994,"Absolute Number of Individuals","MAB","Euphausiacea",20759742.0704506
1994,"Absolute Number of Individuals","MAB","Cnidaria",16283809.9370521
1995,"Absolute Number of Individuals","MAB","Euphausiacea",7052354.32332037
1995,"Absolute Number of Individuals","MAB","Cnidaria",7433004.61480596
1996,"Absolute Number of Individuals","MAB","Euphausiacea",7099867.94171651
1996,"Absolute Number of Individuals","MAB","Cnidaria",51420145.4648147
1997,"Absolute Number of Individuals","MAB","Euphausiacea",18655938.1235914
1997,"Absolute Number of Individuals","MAB","Cnidaria",27922952.2981456
1998,"Absolute Number of Individuals","MAB","Euphausiacea",9771802.42460488
1998,"Absolute Number of Individuals","MAB","Cnidaria",33248919.8039091
1999,"Absolute Number of Individuals","MAB","Euphausiacea",9456561.85887842
1999,"Absolute Number of Individuals","MAB","Cnidaria",43881900.7940997
2000,"Absolute Number of Individuals","MAB","Euphausiacea",12222369.9987111
2000,"Absolute Number of Individuals","MAB","Cnidaria",33227457.8457572
2001,"Absolute Number of Individuals","MAB","Euphausiacea",9886673.81880833
2001,"Absolute Number of Individuals","MAB","Cnidaria",11740145.9046776
2002,"Absolute Number of Individuals","MAB","Euphausiacea",10212468.8206699
2002,"Absolute Number of Individuals","MAB","Cnidaria",16588695.5766845
2003,"Absolute Number of Individuals","MAB","Euphausiacea",14060475.2598546
2003,"Absolute Number of Individuals","MAB","Cnidaria",12658075.1786034
2004,"Absolute Number of Individuals","MAB","Euphausiacea",5480534.54071862
2004,"Absolute Number of Individuals","MAB","Cnidaria",15992286.6328448
2005,"Absolute Number of Individuals","MAB","Euphausiacea",8989444.3735794
2005,"Absolute Number of Individuals","MAB","Cnidaria",8562760.50679254
2006,"Absolute Number of Individuals","MAB","Euphausiacea",18135658.0329673
2006,"Absolute Number of Individuals","MAB","Cnidaria",34358542.8226887
2007,"Absolute Number of Individuals","MAB","Euphausiacea",3791515.91542904
2007,"Absolute Number of Individuals","MAB","Cnidaria",7591835.80871081
2008,"Absolute Number of Individuals","MAB","Euphausiacea",6641572.66917147
2008,"Absolute Number of Individuals","MAB","Cnidaria",19378393.4683817
2009,"Absolute Number of Individuals","MAB","Euphausiacea",7910893.62430098
2009,"Absolute Number of Individuals","MAB","Cnidaria",9877987.96127293
2010,"Absolute Number of Individuals","MAB","Euphausiacea",32395038.5031413
2010,"Absolute Number of Individuals","MAB","Cnidaria",94740657.6188353
2011,"Absolute Number of Individuals","MAB","Euphausiacea",5292550.97344967
2011,"Absolute Number of Individuals","MAB","Cnidaria",30505125.0458051
2012,"Absolute Number of Individuals","MAB","Euphausiacea",7146391.21257723
2012,"Absolute Number of Individuals","MAB","Cnidaria",5166578.40200678
2013,"Absolute Number of Individuals","MAB","Euphausiacea",8905068.52824169
2013,"Absolute Number of Individuals","MAB","Cnidaria",36405422.1202381
2014,"Absolute Number of Individuals","MAB","Euphausiacea",15121950.6811851
2014,"Absolute Number of Individuals","MAB","Cnidaria",18255102.758424
2015,"Absolute Number of Individuals","MAB","Euphausiacea",19538559.2790659
2015,"Absolute Number of Individuals","MAB","Cnidaria",14316389.6749926
2016,"Absolute Number of Individuals","MAB","Euphausiacea",10022307.9796558
2016,"Absolute Number of Individuals","MAB","Cnidaria",10079315.7772795
2017,"Absolute Number of Individuals","MAB","Euphausiacea",6475324.34877877
2017,"Absolute Number of Individuals","MAB","Cnidaria",7865426.9596242
2018,"Absolute Number of Individuals","MAB","Euphausiacea",19121632.2093019
2018,"Absolute Number of Individuals","MAB","Cnidaria",28091362.0909074
2019,"Absolute Number of Individuals","MAB","Euphausiacea",4690340.21599003
2019,"Absolute Number of Individuals","MAB","Cnidaria",19001912.8590346
2020,"Absolute Number of Individuals","MAB","Euphausiacea",NA
2020,"Absolute Number of Individuals","MAB","Cnidaria",NA
2021,"Absolute Number of Individuals","MAB","Euphausiacea",8489429.35860859
2021,"Absolute Number of Individuals","MAB","Cnidaria",36256765.7459175
