Time,Var,Value
2000.1417,Tsfc_anom,0.6931
2000.2389,Tsfc_anom,0.8006
2000.7164,Tsfc_anom,-0.7586
2000.8452,Tsfc_anom,-0.7161
2001.1086,Tsfc_anom,-0.4348
2001.2097,Tsfc_anom,-0.0689
2001.3911,Tsfc_anom,-0.8246
2001.7137,Tsfc_anom,0.7590
2001.8392,Tsfc_anom,0.8103
2002.1372,Tsfc_anom,2.2650
2002.2077,Tsfc_anom,2.1786
2002.4001,Tsfc_anom,-0.0306
2002.7154,Tsfc_anom,0.0770
2003.7223,Tsfc_anom,-0.3591
2004.1371,Tsfc_anom,-1.3840
2004.2169,Tsfc_anom,-1.1770
2004.4088,Tsfc_anom,2.0470
2004.6385,Tsfc_anom,-0.7475
2004.7301,Tsfc_anom,-0.6925
2004.8499,Tsfc_anom,-0.4897
2005.1253,Tsfc_anom,-1.0336
2005.2126,Tsfc_anom,-1.6184
2005.4037,Tsfc_anom,-3.7052
2005.7262,Tsfc_anom,1.5894
2005.8594,Tsfc_anom,0.3327
2006.1323,Tsfc_anom,1.1081
2006.2080,Tsfc_anom,0.6922
2006.4242,Tsfc_anom,1.5343
2006.6334,Tsfc_anom,0.4179
2006.7135,Tsfc_anom,-1.4232
2007.1357,Tsfc_anom,1.1429
2007.2181,Tsfc_anom,0.0280
2007.7358,Tsfc_anom,0.0453
1978.4999,Tsfc_anom,-1.1791
1979.5030,Tsfc_anom,-1.0841
1979.7804,Tsfc_anom,-1.6281
1980.1890,Tsfc_anom,-1.1137
1980.7627,Tsfc_anom,0.2482
1980.9171,Tsfc_anom,-1.1617
1982.2111,Tsfc_anom,-1.4008
1983.4222,Tsfc_anom,-0.8541
1984.3732,Tsfc_anom,-0.2376
1985.3830,Tsfc_anom,0.4343
1992.2070,Tsfc_anom,-0.0803
1992.7296,Tsfc_anom,-0.3348
1993.1256,Tsfc_anom,-0.4621
1993.2307,Tsfc_anom,-1.5266
1994.7224,Tsfc_anom,-1.7606
1995.1274,Tsfc_anom,0.6966
1995.2312,Tsfc_anom,0.4801
1995.7155,Tsfc_anom,-0.2236
1996.1286,Tsfc_anom,-1.4075
1996.2430,Tsfc_anom,-1.4994
1996.7228,Tsfc_anom,-1.7405
1997.1197,Tsfc_anom,-0.0915
1997.2037,Tsfc_anom,0.5524
1997.5716,Tsfc_anom,-0.9409
1997.7264,Tsfc_anom,-0.6171
1998.1280,Tsfc_anom,0.5662
1998.1961,Tsfc_anom,0.4271
1998.4120,Tsfc_anom,0.2275
1998.7509,Tsfc_anom,0.4991
1999.1094,Tsfc_anom,1.3303
1999.2144,Tsfc_anom,0.4380
1999.7563,Tsfc_anom,0.0186
1977.8147,Tsfc_anom,-2.0379
1978.3341,Tsfc_anom,-1.7561
1978.6329,Tsfc_anom,0.8489
1979.6316,Tsfc_anom,-3.0609
2000.4048,Tsfc_anom,-0.1317
2002.8372,Tsfc_anom,0.5533
2003.1446,Tsfc_anom,-0.5219
2003.2187,Tsfc_anom,-0.2532
2007.4001,Tsfc_anom,0.5134
2007.8448,Tsfc_anom,0.8192
2008.6287,Tsfc_anom,0.0175
2008.8365,Tsfc_anom,-0.5619
2009.0872,Tsfc_anom,-0.5802
2009.4135,Tsfc_anom,-0.2344
2009.6367,Tsfc_anom,1.6167
2009.8515,Tsfc_anom,-0.5360
2010.4096,Tsfc_anom,0.7602
2010.8666,Tsfc_anom,-0.1814
2011.0962,Tsfc_anom,-1.1739
2011.4345,Tsfc_anom,2.5108
2011.8526,Tsfc_anom,0.2432
2012.1302,Tsfc_anom,2.4557
1978.1527,Tsfc_anom,-1.9048
1979.1704,Tsfc_anom,-1.8948
1979.3633,Tsfc_anom,0.9362
1980.4179,Tsfc_anom,0.6812
1983.9024,Tsfc_anom,0.0936
1984.0909,Tsfc_anom,-0.8978
1984.8598,Tsfc_anom,1.0433
1985.0878,Tsfc_anom,-0.3612
1985.2881,Tsfc_anom,0.5704
1985.6836,Tsfc_anom,-0.0493
1985.8733,Tsfc_anom,1.0929
1986.0493,Tsfc_anom,0.9182
1986.3722,Tsfc_anom,-1.3502
1986.6786,Tsfc_anom,-3.0615
1986.8635,Tsfc_anom,0.3315
1987.0485,Tsfc_anom,0.1481
1987.3657,Tsfc_anom,-2.1832
1987.6519,Tsfc_anom,-0.6883
1987.8684,Tsfc_anom,-1.2411
1991.2102,Tsfc_anom,1.3046
1991.7212,Tsfc_anom,-0.0156
1992.4727,Tsfc_anom,-1.3427
1993.7189,Tsfc_anom,0.1765
1994.1080,Tsfc_anom,-1.0499
1994.1969,Tsfc_anom,-1.2836
1994.5915,Tsfc_anom,-0.5962
1998.8518,Tsfc_anom,-0.9205
1980.3139,Tsfc_anom,-0.4789
1980.5614,Tsfc_anom,-0.1890
2013.4638,Tsfc_anom,-0.5178
2014.2247,Tsfc_anom,-1.3411
2015.7871,Tsfc_anom,0.3461
2016.4081,Tsfc_anom,-0.9644
2017.3855,Tsfc_anom,0.3609
2017.8493,Tsfc_anom,2.1456
2018.6537,Tsfc_anom,0.7195
2019.6328,Tsfc_anom,1.8024
2019.8029,Tsfc_anom,0.3240
2008.7120,Tsfc_anom,-0.5829
2009.2144,Tsfc_anom,-0.1853
2009.7387,Tsfc_anom,-0.8328
2010.2022,Tsfc_anom,-0.3474
2010.7364,Tsfc_anom,-0.4919
2011.2112,Tsfc_anom,-0.0140
2011.7299,Tsfc_anom,0.1939
2012.2119,Tsfc_anom,3.5858
2012.4266,Tsfc_anom,2.6775
2012.6127,Tsfc_anom,1.9403
2012.7318,Tsfc_anom,1.2035
2013.2344,Tsfc_anom,0.0618
2013.7226,Tsfc_anom,-0.1464
2014.7335,Tsfc_anom,0.5302
2015.2339,Tsfc_anom,-1.1295
2015.3901,Tsfc_anom,0.8209
2015.7072,Tsfc_anom,1.7831
2016.3114,Tsfc_anom,0.3523
2016.7263,Tsfc_anom,0.7906
2017.2345,Tsfc_anom,0.3041
2018.2570,Tsfc_anom,-0.5398
2018.7046,Tsfc_anom,1.2922
2019.2279,Tsfc_anom,0.2590
2019.7207,Tsfc_anom,0.1083
2021.2408,Tsfc_anom,1.1301
2021.7267,Tsfc_anom,1.5872
2022.2096,Tsfc_anom,1.9891
2022.7414,Tsfc_anom,0.2747
2023.4490,Tsfc_anom,0.1208
2023.6129,Tsfc_anom,0.1159
2023.7478,Tsfc_anom,0.1756
1981.2394,Tsfc_anom,-1.0765
2002.6294,Tsfc_anom,1.4185
2012.8595,Tsfc_anom,0.0658
2013.1294,Tsfc_anom,0.7187
2014.8723,Tsfc_anom,1.2189
2016.6163,Tsfc_anom,1.9632
2021.7982,Tsfc_anom,1.9956
2023.8346,Tsfc_anom,0.7255
2018.8556,Tsfc_anom,0.8593
1977.6458,Tsfc_anom,-1.1182
2000.1417,Tsfc_ref,13.8509
2000.2389,Tsfc_ref,13.8509
2000.7164,Tsfc_ref,13.8509
2000.8452,Tsfc_ref,13.8509
2001.1086,Tsfc_ref,13.8509
2001.2097,Tsfc_ref,13.8509
2001.3911,Tsfc_ref,13.8509
2001.7137,Tsfc_ref,13.8509
2001.8392,Tsfc_ref,13.8509
2002.1372,Tsfc_ref,13.8509
2002.2077,Tsfc_ref,13.8509
2002.4001,Tsfc_ref,13.8509
2002.7154,Tsfc_ref,13.8509
2003.7223,Tsfc_ref,13.8509
2004.1371,Tsfc_ref,13.8509
2004.2169,Tsfc_ref,13.8509
2004.4088,Tsfc_ref,13.8509
2004.6385,Tsfc_ref,13.8509
2004.7301,Tsfc_ref,13.8509
2004.8499,Tsfc_ref,13.8509
2005.1253,Tsfc_ref,13.8509
2005.2126,Tsfc_ref,13.8509
2005.4037,Tsfc_ref,13.8509
2005.7262,Tsfc_ref,13.8509
2005.8594,Tsfc_ref,13.8509
2006.1323,Tsfc_ref,13.8509
2006.2080,Tsfc_ref,13.8509
2006.4242,Tsfc_ref,13.8509
2006.6334,Tsfc_ref,13.8509
2006.7135,Tsfc_ref,13.8509
2007.1357,Tsfc_ref,13.8509
2007.2181,Tsfc_ref,13.8509
2007.7358,Tsfc_ref,13.8509
1978.4999,Tsfc_ref,13.8509
1979.5030,Tsfc_ref,13.8509
1979.7804,Tsfc_ref,13.8509
1980.1890,Tsfc_ref,13.8509
1980.7627,Tsfc_ref,13.8509
1980.9171,Tsfc_ref,13.8509
1982.2111,Tsfc_ref,13.8509
1983.4222,Tsfc_ref,13.8509
1984.3732,Tsfc_ref,13.8509
1985.3830,Tsfc_ref,13.8509
1992.2070,Tsfc_ref,13.8509
1992.7296,Tsfc_ref,13.8509
1993.1256,Tsfc_ref,13.8509
1993.2307,Tsfc_ref,13.8509
1994.7224,Tsfc_ref,13.8509
1995.1274,Tsfc_ref,13.8509
1995.2312,Tsfc_ref,13.8509
1995.7155,Tsfc_ref,13.8509
1996.1286,Tsfc_ref,13.8509
1996.2430,Tsfc_ref,13.8509
1996.7228,Tsfc_ref,13.8509
1997.1197,Tsfc_ref,13.8509
1997.2037,Tsfc_ref,13.8509
1997.5716,Tsfc_ref,13.8509
1997.7264,Tsfc_ref,13.8509
1998.1280,Tsfc_ref,13.8509
1998.1961,Tsfc_ref,13.8509
1998.4120,Tsfc_ref,13.8509
1998.7509,Tsfc_ref,13.8509
1999.1094,Tsfc_ref,13.8509
1999.2144,Tsfc_ref,13.8509
1999.7563,Tsfc_ref,13.8509
1977.8147,Tsfc_ref,13.8509
1978.3341,Tsfc_ref,13.8509
1978.6329,Tsfc_ref,13.8509
1979.6316,Tsfc_ref,13.8509
2000.4048,Tsfc_ref,13.8509
2002.8372,Tsfc_ref,13.8509
2003.1446,Tsfc_ref,13.8509
2003.2187,Tsfc_ref,13.8509
2007.4001,Tsfc_ref,13.8509
2007.8448,Tsfc_ref,13.8509
2008.6287,Tsfc_ref,13.8509
2008.8365,Tsfc_ref,13.8509
2009.0872,Tsfc_ref,13.8509
2009.4135,Tsfc_ref,13.8509
2009.6367,Tsfc_ref,13.8509
2009.8515,Tsfc_ref,13.8509
2010.4096,Tsfc_ref,13.8509
2010.8666,Tsfc_ref,13.8509
2011.0962,Tsfc_ref,13.8509
2011.4345,Tsfc_ref,13.8509
2011.8526,Tsfc_ref,13.8509
2012.1302,Tsfc_ref,13.8509
1978.1527,Tsfc_ref,13.8509
1979.1704,Tsfc_ref,13.8509
1979.3633,Tsfc_ref,13.8509
1980.4179,Tsfc_ref,13.8509
1983.9024,Tsfc_ref,13.8509
1984.0909,Tsfc_ref,13.8509
1984.8598,Tsfc_ref,13.8509
1985.0878,Tsfc_ref,13.8509
1985.2881,Tsfc_ref,13.8509
1985.6836,Tsfc_ref,13.8509
1985.8733,Tsfc_ref,13.8509
1986.0493,Tsfc_ref,13.8509
1986.3722,Tsfc_ref,13.8509
1986.6786,Tsfc_ref,13.8509
1986.8635,Tsfc_ref,13.8509
1987.0485,Tsfc_ref,13.8509
1987.3657,Tsfc_ref,13.8509
1987.6519,Tsfc_ref,13.8509
1987.8684,Tsfc_ref,13.8509
1991.2102,Tsfc_ref,13.8509
1991.7212,Tsfc_ref,13.8509
1992.4727,Tsfc_ref,13.8509
1993.7189,Tsfc_ref,13.8509
1994.1080,Tsfc_ref,13.8509
1994.1969,Tsfc_ref,13.8509
1994.5915,Tsfc_ref,13.8509
1998.8518,Tsfc_ref,13.8509
1980.3139,Tsfc_ref,13.8509
1980.5614,Tsfc_ref,13.8509
2013.4638,Tsfc_ref,13.8509
2014.2247,Tsfc_ref,13.8509
2015.7871,Tsfc_ref,13.8509
2016.4081,Tsfc_ref,13.8509
2017.3855,Tsfc_ref,13.8509
2017.8493,Tsfc_ref,13.8509
2018.6537,Tsfc_ref,13.8509
2019.6328,Tsfc_ref,13.8509
2019.8029,Tsfc_ref,13.8509
2008.7120,Tsfc_ref,13.8509
2009.2144,Tsfc_ref,13.8509
2009.7387,Tsfc_ref,13.8509
2010.2022,Tsfc_ref,13.8509
2010.7364,Tsfc_ref,13.8509
2011.2112,Tsfc_ref,13.8509
2011.7299,Tsfc_ref,13.8509
2012.2119,Tsfc_ref,13.8509
2012.4266,Tsfc_ref,13.8509
2012.6127,Tsfc_ref,13.8509
2012.7318,Tsfc_ref,13.8509
2013.2344,Tsfc_ref,13.8509
2013.7226,Tsfc_ref,13.8509
2014.7335,Tsfc_ref,13.8509
2015.2339,Tsfc_ref,13.8509
2015.3901,Tsfc_ref,13.8509
2015.7072,Tsfc_ref,13.8509
2016.3114,Tsfc_ref,13.8509
2016.7263,Tsfc_ref,13.8509
2017.2345,Tsfc_ref,13.8509
2018.2570,Tsfc_ref,13.8509
2018.7046,Tsfc_ref,13.8509
2019.2279,Tsfc_ref,13.8509
2019.7207,Tsfc_ref,13.8509
2021.2408,Tsfc_ref,13.8509
2021.7267,Tsfc_ref,13.8509
2022.2096,Tsfc_ref,13.8509
2022.7414,Tsfc_ref,13.8509
2023.4490,Tsfc_ref,13.8509
2023.6129,Tsfc_ref,13.8509
2023.7478,Tsfc_ref,13.8509
1981.2394,Tsfc_ref,13.8509
2002.6294,Tsfc_ref,13.8509
2012.8595,Tsfc_ref,13.8509
2013.1294,Tsfc_ref,13.8509
2014.8723,Tsfc_ref,13.8509
2016.6163,Tsfc_ref,13.8509
2021.7982,Tsfc_ref,13.8509
2023.8346,Tsfc_ref,13.8509
2018.8556,Tsfc_ref,13.8509
1977.6458,Tsfc_ref,13.8509
2000.1417,Tbot_anom,1.2533
2000.2388,Tbot_anom,0.9739
2000.7164,Tbot_anom,1.2210
2000.8452,Tbot_anom,-0.7363
2001.1086,Tbot_anom,-0.0629
2001.2097,Tbot_anom,0.1207
2001.3911,Tbot_anom,-1.0131
2001.7137,Tbot_anom,-1.5372
2001.8392,Tbot_anom,0.2493
2002.1371,Tbot_anom,2.5018
2002.2077,Tbot_anom,2.4074
2002.4001,Tbot_anom,1.6461
2002.7152,Tbot_anom,0.5044
2003.7224,Tbot_anom,-0.5057
2004.1371,Tbot_anom,-0.7069
2004.2169,Tbot_anom,-1.0912
2004.4089,Tbot_anom,-2.3121
2004.6385,Tbot_anom,-1.4276
2004.7301,Tbot_anom,-0.7921
2004.8499,Tbot_anom,-0.2570
2005.1257,Tbot_anom,-0.6241
2005.2124,Tbot_anom,-1.0660
2005.4037,Tbot_anom,-0.0039
2005.7262,Tbot_anom,-2.1609
2005.8594,Tbot_anom,-0.1719
2006.1323,Tbot_anom,2.0924
2006.2080,Tbot_anom,1.6642
2006.4241,Tbot_anom,1.7255
2006.6332,Tbot_anom,0.1186
2006.7135,Tbot_anom,1.2353
2007.1357,Tbot_anom,1.4947
2007.2181,Tbot_anom,0.1616
2007.7358,Tbot_anom,-1.0110
1978.5001,Tbot_anom,-0.6196
1979.5030,Tbot_anom,-0.9817
1979.7804,Tbot_anom,-1.1421
1980.1890,Tbot_anom,-0.9118
1980.7626,Tbot_anom,-1.3937
1980.9160,Tbot_anom,-2.7485
1982.2111,Tbot_anom,-1.2812
1983.4222,Tbot_anom,-0.2854
1984.3733,Tbot_anom,-1.3224
1985.3830,Tbot_anom,0.7321
1992.2073,Tbot_anom,0.2129
1992.7295,Tbot_anom,-0.6468
1993.1256,Tbot_anom,-0.0921
1993.2307,Tbot_anom,-1.4452
1994.7224,Tbot_anom,-0.0857
1995.2312,Tbot_anom,0.7873
1995.7155,Tbot_anom,2.6113
1996.1286,Tbot_anom,-0.5760
1996.2430,Tbot_anom,-1.3744
1996.7228,Tbot_anom,-0.8105
1997.1199,Tbot_anom,0.7428
1997.2037,Tbot_anom,1.5836
1997.5716,Tbot_anom,-1.0328
1997.7264,Tbot_anom,-0.4460
1998.1282,Tbot_anom,0.6890
1998.1962,Tbot_anom,0.5693
1998.4121,Tbot_anom,0.1373
1998.7509,Tbot_anom,-2.4153
1999.1095,Tbot_anom,2.1766
1999.2146,Tbot_anom,1.1071
1999.7563,Tbot_anom,1.1140
1977.8146,Tbot_anom,-0.9448
1978.3340,Tbot_anom,-1.7921
1978.6329,Tbot_anom,-1.6198
1979.6316,Tbot_anom,-0.8560
2000.4048,Tbot_anom,0.4201
2002.8372,Tbot_anom,0.7613
2003.1446,Tbot_anom,-0.3195
2003.2187,Tbot_anom,-0.7219
2007.4003,Tbot_anom,-0.1578
2007.8443,Tbot_anom,-0.6289
2008.6285,Tbot_anom,-0.5726
2008.8370,Tbot_anom,-0.1819
2009.0870,Tbot_anom,0.2535
2009.4135,Tbot_anom,-0.5601
2009.6366,Tbot_anom,-0.3833
2009.8514,Tbot_anom,-0.0018
2010.4094,Tbot_anom,-0.2120
2010.8662,Tbot_anom,-0.7150
2011.0962,Tbot_anom,-1.0843
2011.4345,Tbot_anom,-0.1258
2011.8526,Tbot_anom,0.3636
2012.1299,Tbot_anom,3.2982
1978.1536,Tbot_anom,-1.3899
1979.1707,Tbot_anom,-1.7098
1979.3633,Tbot_anom,-1.4620
1980.4181,Tbot_anom,-1.1330
1983.9024,Tbot_anom,-0.8657
1984.0909,Tbot_anom,-0.0712
1984.8598,Tbot_anom,1.0660
1985.0874,Tbot_anom,0.0628
1985.2882,Tbot_anom,0.3585
1985.6836,Tbot_anom,0.3835
1985.8734,Tbot_anom,0.9196
1986.0493,Tbot_anom,0.6762
1986.3722,Tbot_anom,1.2183
1986.6788,Tbot_anom,0.6481
1986.8635,Tbot_anom,0.3151
1987.0485,Tbot_anom,0.0371
1987.3660,Tbot_anom,-0.4936
1987.6520,Tbot_anom,-1.3971
1987.8685,Tbot_anom,-2.8037
1991.2103,Tbot_anom,1.8296
1991.7212,Tbot_anom,-0.8026
1992.4726,Tbot_anom,-0.7161
1993.7187,Tbot_anom,-2.4183
1994.1081,Tbot_anom,0.1069
1994.1970,Tbot_anom,-0.6391
1994.5911,Tbot_anom,-0.4656
1998.8518,Tbot_anom,-2.7346
1980.3139,Tbot_anom,-1.0991
1980.5614,Tbot_anom,-1.0452
2013.4638,Tbot_anom,0.8931
2014.2244,Tbot_anom,-1.3552
2015.7871,Tbot_anom,3.5466
2016.4081,Tbot_anom,1.2082
2017.3855,Tbot_anom,0.2459
2017.8493,Tbot_anom,1.8947
2018.6537,Tbot_anom,-0.4996
2019.6328,Tbot_anom,-0.5912
2019.8029,Tbot_anom,3.0093
2008.7120,Tbot_anom,-1.6820
2009.2144,Tbot_anom,0.0326
2009.7387,Tbot_anom,1.7828
2010.2022,Tbot_anom,-0.4281
2010.7364,Tbot_anom,-0.4948
2011.2115,Tbot_anom,-0.0663
2011.7299,Tbot_anom,-0.7060
2012.2119,Tbot_anom,3.5041
2012.4266,Tbot_anom,1.8304
2012.6129,Tbot_anom,0.6619
2012.7318,Tbot_anom,-0.6355
2013.2343,Tbot_anom,0.2452
2013.7226,Tbot_anom,-1.6937
2014.7335,Tbot_anom,2.0935
2015.2339,Tbot_anom,-0.6418
2015.3901,Tbot_anom,-0.6143
2015.7076,Tbot_anom,0.1154
2016.3114,Tbot_anom,1.5705
2016.7266,Tbot_anom,1.5943
2017.2345,Tbot_anom,0.3786
2018.2570,Tbot_anom,-0.2455
2018.7038,Tbot_anom,-0.2559
2019.2273,Tbot_anom,0.6981
2019.7206,Tbot_anom,0.9858
2021.2411,Tbot_anom,1.2139
2021.7267,Tbot_anom,1.2590
2022.2101,Tbot_anom,1.9131
2022.7414,Tbot_anom,1.7332
2023.4490,Tbot_anom,1.9349
2023.6129,Tbot_anom,1.2080
2023.7478,Tbot_anom,0.9063
1981.2383,Tbot_anom,-1.4412
2002.6294,Tbot_anom,1.0226
2012.8595,Tbot_anom,-0.2263
2013.1293,Tbot_anom,1.1713
2014.8723,Tbot_anom,1.2756
2016.6163,Tbot_anom,0.2913
2021.7982,Tbot_anom,2.1095
2023.8353,Tbot_anom,0.8477
2018.8558,Tbot_anom,0.0101
1977.6453,Tbot_anom,-0.9300
2000.1417,Tbot_ref,9.7799
2000.2388,Tbot_ref,9.7799
2000.7164,Tbot_ref,9.7799
2000.8452,Tbot_ref,9.7799
2001.1086,Tbot_ref,9.7799
2001.2097,Tbot_ref,9.7799
2001.3911,Tbot_ref,9.7799
2001.7137,Tbot_ref,9.7799
2001.8392,Tbot_ref,9.7799
2002.1371,Tbot_ref,9.7799
2002.2077,Tbot_ref,9.7799
2002.4001,Tbot_ref,9.7799
2002.7152,Tbot_ref,9.7799
2003.7224,Tbot_ref,9.7799
2004.1371,Tbot_ref,9.7799
2004.2169,Tbot_ref,9.7799
2004.4089,Tbot_ref,9.7799
2004.6385,Tbot_ref,9.7799
2004.7301,Tbot_ref,9.7799
2004.8499,Tbot_ref,9.7799
2005.1257,Tbot_ref,9.7799
2005.2124,Tbot_ref,9.7799
2005.4037,Tbot_ref,9.7799
2005.7262,Tbot_ref,9.7799
2005.8594,Tbot_ref,9.7799
2006.1323,Tbot_ref,9.7799
2006.2080,Tbot_ref,9.7799
2006.4241,Tbot_ref,9.7799
2006.6332,Tbot_ref,9.7799
2006.7135,Tbot_ref,9.7799
2007.1357,Tbot_ref,9.7799
2007.2181,Tbot_ref,9.7799
2007.7358,Tbot_ref,9.7799
1978.5001,Tbot_ref,9.7799
1979.5030,Tbot_ref,9.7799
1979.7804,Tbot_ref,9.7799
1980.1890,Tbot_ref,9.7799
1980.7626,Tbot_ref,9.7799
1980.9160,Tbot_ref,9.7799
1982.2111,Tbot_ref,9.7799
1983.4222,Tbot_ref,9.7799
1984.3733,Tbot_ref,9.7799
1985.3830,Tbot_ref,9.7799
1992.2073,Tbot_ref,9.7799
1992.7295,Tbot_ref,9.7799
1993.1256,Tbot_ref,9.7799
1993.2307,Tbot_ref,9.7799
1994.7224,Tbot_ref,9.7799
1995.2312,Tbot_ref,9.7799
1995.7155,Tbot_ref,9.7799
1996.1286,Tbot_ref,9.7799
1996.2430,Tbot_ref,9.7799
1996.7228,Tbot_ref,9.7799
1997.1199,Tbot_ref,9.7799
1997.2037,Tbot_ref,9.7799
1997.5716,Tbot_ref,9.7799
1997.7264,Tbot_ref,9.7799
1998.1282,Tbot_ref,9.7799
1998.1962,Tbot_ref,9.7799
1998.4121,Tbot_ref,9.7799
1998.7509,Tbot_ref,9.7799
1999.1095,Tbot_ref,9.7799
1999.2146,Tbot_ref,9.7799
1999.7563,Tbot_ref,9.7799
1977.8146,Tbot_ref,9.7799
1978.3340,Tbot_ref,9.7799
1978.6329,Tbot_ref,9.7799
1979.6316,Tbot_ref,9.7799
2000.4048,Tbot_ref,9.7799
2002.8372,Tbot_ref,9.7799
2003.1446,Tbot_ref,9.7799
2003.2187,Tbot_ref,9.7799
2007.4003,Tbot_ref,9.7799
2007.8443,Tbot_ref,9.7799
2008.6285,Tbot_ref,9.7799
2008.8370,Tbot_ref,9.7799
2009.0870,Tbot_ref,9.7799
2009.4135,Tbot_ref,9.7799
2009.6366,Tbot_ref,9.7799
2009.8514,Tbot_ref,9.7799
2010.4094,Tbot_ref,9.7799
2010.8662,Tbot_ref,9.7799
2011.0962,Tbot_ref,9.7799
2011.4345,Tbot_ref,9.7799
2011.8526,Tbot_ref,9.7799
2012.1299,Tbot_ref,9.7799
1978.1536,Tbot_ref,9.7799
1979.1707,Tbot_ref,9.7799
1979.3633,Tbot_ref,9.7799
1980.4181,Tbot_ref,9.7799
1983.9024,Tbot_ref,9.7799
1984.0909,Tbot_ref,9.7799
1984.8598,Tbot_ref,9.7799
1985.0874,Tbot_ref,9.7799
1985.2882,Tbot_ref,9.7799
1985.6836,Tbot_ref,9.7799
1985.8734,Tbot_ref,9.7799
1986.0493,Tbot_ref,9.7799
1986.3722,Tbot_ref,9.7799
1986.6788,Tbot_ref,9.7799
1986.8635,Tbot_ref,9.7799
1987.0485,Tbot_ref,9.7799
1987.3660,Tbot_ref,9.7799
1987.6520,Tbot_ref,9.7799
1987.8685,Tbot_ref,9.7799
1991.2103,Tbot_ref,9.7799
1991.7212,Tbot_ref,9.7799
1992.4726,Tbot_ref,9.7799
1993.7187,Tbot_ref,9.7799
1994.1081,Tbot_ref,9.7799
1994.1970,Tbot_ref,9.7799
1994.5911,Tbot_ref,9.7799
1998.8518,Tbot_ref,9.7799
1980.3139,Tbot_ref,9.7799
1980.5614,Tbot_ref,9.7799
2013.4638,Tbot_ref,9.7799
2014.2244,Tbot_ref,9.7799
2015.7871,Tbot_ref,9.7799
2016.4081,Tbot_ref,9.7799
2017.3855,Tbot_ref,9.7799
2017.8493,Tbot_ref,9.7799
2018.6537,Tbot_ref,9.7799
2019.6328,Tbot_ref,9.7799
2019.8029,Tbot_ref,9.7799
