Time,Var,Value
1992.6425,Tsfc_anom,-2.1130
1999.4368,Tsfc_anom,1.0683
2000.3178,Tsfc_anom,0.7788
2000.6576,Tsfc_anom,1.9887
2000.7733,Tsfc_anom,-0.2976
2000.8734,Tsfc_anom,0.2384
2001.2895,Tsfc_anom,-0.8592
2001.6493,Tsfc_anom,-0.8456
2001.7744,Tsfc_anom,-0.1582
2001.8672,Tsfc_anom,-0.6186
2002.0747,Tsfc_anom,1.6025
2002.2973,Tsfc_anom,0.6380
2002.4217,Tsfc_anom,-0.0009
2002.7994,Tsfc_anom,0.6512
2003.8184,Tsfc_anom,-0.6309
2004.2837,Tsfc_anom,-1.8353
2004.4321,Tsfc_anom,-1.8960
2004.6608,Tsfc_anom,-1.2779
2004.7979,Tsfc_anom,-0.6216
2004.8803,Tsfc_anom,-1.4672
2005.2801,Tsfc_anom,-0.7771
2005.4271,Tsfc_anom,-2.0879
2005.6416,Tsfc_anom,0.0098
2005.7948,Tsfc_anom,0.6387
2005.8772,Tsfc_anom,-0.6476
2006.2706,Tsfc_anom,0.4907
2006.4457,Tsfc_anom,0.2320
2006.6571,Tsfc_anom,0.6594
2006.7770,Tsfc_anom,0.4469
2007.2751,Tsfc_anom,-0.6504
2007.7958,Tsfc_anom,-0.8658
1979.9339,Tsfc_anom,1.2368
1980.2588,Tsfc_anom,0.1785
1980.8127,Tsfc_anom,-0.3762
1981.1506,Tsfc_anom,0.8502
1981.9270,Tsfc_anom,-0.4245
1983.4556,Tsfc_anom,-1.0285
1984.4078,Tsfc_anom,-0.6928
1992.2770,Tsfc_anom,-1.3622
1992.8027,Tsfc_anom,-1.5650
1993.3063,Tsfc_anom,-1.2355
1994.7960,Tsfc_anom,-0.4231
1995.2962,Tsfc_anom,-0.3260
1995.7772,Tsfc_anom,-0.0072
1996.3150,Tsfc_anom,-0.8621
1996.7896,Tsfc_anom,-1.6620
1997.2892,Tsfc_anom,-0.4999
1997.7947,Tsfc_anom,-1.8716
1998.0727,Tsfc_anom,-0.9586
1998.2696,Tsfc_anom,-0.2205
1998.4368,Tsfc_anom,-0.5917
1998.8162,Tsfc_anom,-2.3429
1999.2930,Tsfc_anom,0.2426
1999.8204,Tsfc_anom,0.0853
1999.8870,Tsfc_anom,0.7018
2003.6497,Tsfc_anom,0.9787
1978.6566,Tsfc_anom,-1.4989
2000.4287,Tsfc_anom,0.6845
2001.4222,Tsfc_anom,-1.0516
2003.0742,Tsfc_anom,-0.9169
2003.2905,Tsfc_anom,-1.0746
2005.0855,Tsfc_anom,-0.1964
2006.0825,Tsfc_anom,1.2450
2006.8690,Tsfc_anom,0.2923
2007.4199,Tsfc_anom,0.5652
2007.6550,Tsfc_anom,1.3930
2007.8691,Tsfc_anom,-2.1629
2008.6496,Tsfc_anom,-0.2294
2008.8577,Tsfc_anom,-0.1720
2009.4356,Tsfc_anom,-0.4203
2010.4318,Tsfc_anom,1.2850
2010.8817,Tsfc_anom,0.4679
2011.1235,Tsfc_anom,0.8679
2011.4502,Tsfc_anom,0.6725
2012.1110,Tsfc_anom,2.2296
1979.3980,Tsfc_anom,0.3096
1981.4055,Tsfc_anom,-0.9332
1982.4211,Tsfc_anom,-0.9322
1982.9064,Tsfc_anom,-0.0430
1983.0659,Tsfc_anom,1.5212
1983.9602,Tsfc_anom,0.5392
1984.0458,Tsfc_anom,0.2741
1985.7145,Tsfc_anom,-0.0513
1985.9312,Tsfc_anom,-0.6003
1986.1054,Tsfc_anom,1.1770
1986.7215,Tsfc_anom,-1.0508
1986.9313,Tsfc_anom,-0.3349
1987.4223,Tsfc_anom,-1.1427
1987.6900,Tsfc_anom,-1.6162
1991.2759,Tsfc_anom,-0.4879
1991.7908,Tsfc_anom,-0.6294
1993.5643,Tsfc_anom,0.3358
1993.7983,Tsfc_anom,-1.3656
1994.2996,Tsfc_anom,-0.1157
1998.8798,Tsfc_anom,-2.1986
1999.0619,Tsfc_anom,0.3297
2013.6659,Tsfc_anom,-0.1567
2014.1774,Tsfc_anom,1.1690
2016.4391,Tsfc_anom,0.3209
2021.3879,Tsfc_anom,1.5485
2008.2969,Tsfc_anom,-0.0475
2008.8081,Tsfc_anom,-0.8236
2009.3244,Tsfc_anom,0.0412
2009.8540,Tsfc_anom,-0.1286
