YEAR,Apex Predator,Benthivore,Benthos,Planktivore,Piscivore,Other
1964,-4.008002974,-100.8510731,9.889223219,20.38141484,-8.72653996,-1.217102819
1965,-1.977080321,-74.46508811,32.5619071,2.292510986,-7.172032071,-2.96105256
1966,-2.236472637,-77.23176971,-4.047815342,3.985889051,-12.7899876,-3.094890861
1967,-2.034172216,-47.6606299,31.78894995,20.09642971,-18.3932373,-4.404354949
1968,-1.185583913,-45.7980365,55.63294027,4.889507606,-19.15033824,-2.851029212
1969,-1.625805322,-26.55152868,43.7947984,-16.02880212,-10.77563738,-1.587135863
1970,-1.199971184,-8.717558309,62.22816909,-15.05473781,1.163982254,-1.163231619
1971,-4.633255372,-6.836148315,59.89529266,-15.60658527,-4.554966177,3.49493521
1972,1.076565207,8.29230005,77.7286902,18.37665185,6.52074534,-0.694899473
1973,0.283878837,-18.3312281,41.94081685,-11.65027509,-5.324310145,1.805992859
1974,-1.464324026,-4.62181261,26.27632982,2.563395642,2.195016646,0.124002507
1975,-1.282149566,24.58699279,35.19065929,-9.549329142,6.572276636,-1.079861383
1976,-2.546840531,12.86762181,18.2709363,-5.435980882,1.219299587,0.757608635
1977,-1.969899505,-2.151021622,0.131375637,21.19381921,-11.29407307,0.706160921
1978,-8.154207785,6.198871914,43.97096132,28.62202518,-8.45163035,4.492931049
1979,-5.847081551,-24.59302592,57.8200801,29.31509199,-10.50033695,4.216535942
1980,-2.291308876,-44.06370119,94.95762095,29.58468473,-11.0321763,6.043273139
1981,-0.297164537,-31.06447329,102.3427668,40.68802925,7.184922442,7.027340252
1982,0.603131552,-31.21094603,49.54511885,37.51784281,-3.576183714,7.770939306
1983,0.807480318,-28.90874382,95.92442953,31.3764577,-6.719581603,15.42998637
1984,3.332498836,16.01970032,13.65354478,29.38604046,-5.788784983,9.470185302
1985,1.370108749,52.25471163,-1.314176749,30.35866627,6.605677357,6.748897539
1986,1.468729158,45.30213846,13.7458923,68.61893369,18.72558649,14.49161819
1987,1.293653959,59.67500185,-0.570137653,67.43172051,30.28609199,10.55355412
1988,-1.008633381,42.61471946,-29.81609501,33.28934848,5.951841716,9.0352582
1989,5.334481645,53.60216426,-32.01353979,61.62460656,9.873759115,4.531247565
1990,4.923302807,12.79405292,-22.91245062,26.77169706,11.12814287,1.308878173
1991,1.618551995,27.8476529,-14.52697968,27.50283245,26.2627478,-2.025152825
1992,-0.90478322,25.56481613,-3.447984266,35.21365038,9.560326737,-1.505537516
1993,1.872652679,34.97863895,25.20253118,26.67375819,5.428414382,-0.575098972
1994,6.337412187,40.88488283,14.7224428,56.43120985,8.260413292,-0.066402713
1995,5.249636197,47.9778359,-36.89731235,42.28517208,4.655776979,2.07093819
1996,8.294922354,69.66415114,-2.775804116,41.4396838,-1.418848948,-2.682288951
1997,5.958129624,36.99099844,-20.87066765,-1.906778289,-3.654911709,-2.22843851
1998,0.755289146,31.82965784,-13.42847906,-0.69008164,-0.676473589,-2.669586721
1999,1.996700059,16.56236157,5.413390392,14.61683638,8.178502639,-3.067275265
2000,6.04036264,3.327580096,-14.83509072,-3.574793522,14.42586109,-3.797967679
2001,4.59064741,19.66051711,-23.64968861,-11.6640127,8.377494609,-3.601898693
2002,-0.853200873,36.44797974,-32.11059815,-0.58928887,10.57402412,-2.665195265
2003,-2.112372037,49.61363177,-24.54528284,1.51514246,2.838760574,-4.300773999
2004,-0.317539195,55.82900925,-26.64956385,-4.905612037,-2.99876833,-2.904722801
2005,-1.04819322,111.2115958,41.96466832,0.4145748,1.334248964,-1.032826965
2006,-1.60960079,44.05580789,5.094976705,-6.144437937,3.750083565,-2.230769209
2007,-4.108700809,55.21993431,-2.406921655,7.855116049,2.40333672,-3.153630547
2008,-3.092800097,8.122028462,-1.169739606,-1.926909633,0.71706894,-3.435239903
2009,-2.303307953,1.837078509,-11.11401184,-8.371295726,-4.69532409,-3.347362431
2010,-1.943648171,-18.85903708,-23.66783221,-2.868939781,-4.1902559,-1.854296893
2011,-1.965605017,-2.504842708,-12.18701987,-6.351587946,-5.660779856,5.45359868
2012,-4.381186428,10.46209379,-16.70279996,-7.459175949,-6.968110166,9.256425716
2013,-2.433462017,8.819446118,-29.12484395,-6.090366626,-8.608866128,2.210129221
2014,-3.114346067,-10.70466793,-57.65954219,-7.657158964,-17.16977026,1.687915984
2015,-2.48532785,-7.075428243,-61.96063336,-4.451410825,-18.41331787,7.111973519
2016,-3.011797441,17.4958058,-76.79664355,-1.814558788,-23.46427921,16.93289931
2017,-2.921708203,15.50873503,-67.39976652,6.743916991,-28.46869037,8.875656716
