"","YEAR","REVCHANGE","VI","PI","BI"
"1",1964,-45.5904561534361,-79.3776191004357,33.7871629469996,-45.5904561534361
"2",1965,-62.7247041534361,-142.474874011181,79.7501698577445,-62.7247041534361
"3",1966,-71.0172701534361,-116.131883994794,45.1146138413578,-71.0172701534361
"4",1967,-60.9874101534362,-116.428741271644,55.4413311182074,-60.9874101534362
"5",1968,-54.3222061534361,-81.664282775032,27.3420766215959,-54.3222061534361
"6",1969,-43.7962199820347,-88.5370923578993,44.7408723758646,-43.7962199820347
"7",1970,-12.7204786827311,-121.710113183282,108.989634500551,-12.7204786827311
"8",1971,-41.4900189731259,-147.433210802336,105.94319182921,-41.490018973126
"9",1972,-31.6958546569393,-164.50554502191,132.80969036497,-31.6958546569393
"10",1973,-41.7327005661894,-145.975347408709,104.242646842519,-41.7327005661894
"11",1974,-62.0518421881899,-163.124728603366,101.072886415176,-62.0518421881899
"12",1975,-37.5341242767559,-132.43054979975,94.8964255229942,-37.5341242767559
"13",1976,-65.9744509848087,-67.2570042428013,1.28255325799261,-65.9744509848087
"14",1977,-31.0203901534361,20.3570072189899,-51.377397372426,-31.0203901534361
"15",1978,-14.0246380038931,35.8433222415465,-49.8679602454396,-14.0246380038931
"16",1979,-51.1657087105902,37.9425451427151,-89.1082538533054,-51.1657087105902
"17",1980,27.4831176856259,82.1843421155692,-54.7012244299432,27.4831176856259
"18",1981,39.0758394211495,59.6864336853025,-20.610594264153,39.0758394211495
"19",1982,-21.8893486781275,61.7742208730815,-83.663569551209,-21.8893486781275
"20",1983,-11.8880179312139,55.7612251506966,-67.6492430819105,-11.8880179312139
"21",1984,-43.9134571589917,22.3943346799524,-66.3077918389441,-43.9134571589917
"22",1985,-33.0862526534361,17.2800032350267,-50.3662558884628,-33.0862526534361
"23",1986,-21.7792161534362,-12.6322406159203,-9.14697553751587,-21.7792161534362
"24",1987,-35.2404249849846,-43.2371124271789,7.99668744219433,-35.2404249849846
"25",1988,-75.2627238787906,-59.1500225412909,-16.1127013374996,-75.2627238787905
"26",1989,45.6262551505212,5.88659418368195,39.7396609668392,45.6262551505212
"27",1990,47.2711386160951,44.7497022260202,2.52143639007496,47.2711386160952
"28",1991,121.969389344489,89.2142220574956,32.7551672869935,121.969389344489
"29",1992,112.198626662183,78.1948736285878,34.003753033595,112.198626662183
"30",1993,130.272222893218,102.341062632995,27.9311602602221,130.272222893218
"31",1994,140.66672522043,115.170643004253,25.4960822161768,140.66672522043
"32",1995,126.664564617178,105.859781622376,20.8047829948028,126.664564617178
"33",1996,117.898034698602,78.8018934118997,39.0961412867026,117.898034698602
"34",1997,138.600853869913,116.231841139452,22.3690127304608,138.600853869913
"35",1998,68.5255219946608,65.7799349410377,2.74558705362313,68.5255219946608
"36",1999,179.136111632461,116.432587270896,62.7035243615652,179.136111632461
"37",2000,114.39767328759,89.8326942831428,24.564979004447,114.39767328759
"38",2001,-67.6639086049626,-85.1352545593973,17.4713459544347,-67.6639086049626
"39",2002,-50.5027452657173,-71.2710250696724,20.7682798039551,-50.5027452657173
"40",2003,-112.760453397592,-132.06058198869,19.300128591098,-112.760453397592
"41",2004,-106.029581661578,-145.832350578122,39.8027689165433,-106.029581661578
"42",2005,-111.26097692883,-176.336774824475,65.0757978956448,-111.26097692883
"43",2006,-182.011727223433,-232.257139616133,50.2454123927003,-182.011727223433
"44",2007,-1.71427839629924,-81.4846885842281,79.7704101879289,-1.71427839629925
"45",2008,16.9911551751621,8.74173965827922,8.24941551688286,16.9911551751621
"46",2009,-38.9429449795908,-19.4328161363328,-19.5101288432581,-38.9429449795908
"47",2010,-17.4298975582311,0.780462722849316,-18.2103602810803,-17.429897558231
"48",2011,40.8671827037276,94.8988483394929,-54.0316656357653,40.8671827037276
"49",2012,47.3502069836146,121.904234118507,-74.5540271348921,47.3502069836146
"50",2013,-70.2815270370704,-43.968976124375,-26.3125509126954,-70.2815270370704
"51",2014,-35.8956407905856,-36.6985026234165,0.802861832830977,-35.8956407905856
"52",2015,2.87596593293005,-14.2487642251603,17.1247301580904,2.87596593293003
"53",2016,183.714353666716,125.885953024884,57.8284006418324,183.714353666716
"54",2017,63.8166576724799,27.2831011423902,36.5335565300897,63.8166576724799
