YEAR,Apex Predator,Benthivore,Benthos,Planktivore,Piscivore,Other
1964,-0.779651748,-63.36500087,-32.9360056,-7.065992121,20.64026214,4.128769106
1965,-6.673864694,-112.9336656,-33.68167412,-5.091099813,10.5514473,5.353982937
1966,-6.630791866,-94.35546976,-21.56485495,-7.569642513,5.192270102,8.796604985
1967,-7.572686231,-108.2546575,-19.99441608,0.427826998,-0.539427069,19.50461859
1968,-5.010018417,-98.96527732,-24.85001272,5.372410462,11.973881,29.81473422
1969,-9.318372433,-110.8852251,-26.55476388,1.532443703,9.061420013,47.62740535
1970,-5.010018417,-142.6156881,-35.1926235,2.701874442,11.92484799,46.48149444
1971,-5.010018417,-144.6831723,-47.33326038,4.997820253,4.639451149,39.95596887
1972,-5.010018417,-155.6039371,-46.84457077,9.952168744,-6.062682277,39.06349477
1973,-5.010018417,-150.3961225,-35.56067201,-3.157079587,-0.767186026,48.91573109
1974,-8.773471538,-156.6249114,-31.24516866,0.660580188,-3.357602668,36.21584549
1975,3.471475189,-125.2643433,-31.79065995,-1.967551321,5.399361041,17.7211685
1976,5.136590858,-71.02597717,-21.49227797,5.108159924,16.68255254,-1.666052415
1977,5.762495048,-9.369501388,-13.50782425,10.01400491,26.06416496,1.393667939
1978,4.356900594,23.38026319,-12.66036562,1.596594018,32.95171042,-13.78178037
1979,4.913352295,33.90083729,-14.74336452,4.791588545,17.30040201,-8.220270477
1980,7.113023177,77.6582475,-18.73023314,11.16999837,22.44248052,-17.46917431
1981,0.707242986,71.9898421,-29.02741694,4.825620174,29.03227138,-17.84112601
1982,-3.145371156,85.65320899,-16.91207424,-6.871861771,20.24138225,-17.1910632
1983,2.741545941,68.68521234,-13.41768027,-8.576426092,22.43099541,-16.10242218
1984,-2.03667578,17.87066318,-7.810317183,-4.416855535,23.9286075,-5.141087506
1985,8.484637438,-10.17926869,-3.392128789,-8.781077467,31.91672962,-0.768888877
1986,7.822127052,-44.75726696,-3.46504073,-5.946318485,34.11647854,-0.40222003
1987,2.981263957,-59.51622678,-4.597181944,-2.134867154,18.0317789,1.998120588
1988,5.80444152,-71.03217786,4.922471054,-0.335473592,6.216856109,-4.72613977
1989,7.065155593,-25.40037127,6.947060738,1.061811686,3.821887873,12.39104956
1990,3.78218825,-2.101474219,13.83090567,1.02238978,22.66384982,5.551842928
1991,7.479444339,25.42828506,24.61192868,5.89618818,19.02441363,6.77396217
1992,10.8968774,15.59352018,36.21435836,10.14558454,11.94918917,-6.604656024
1993,13.35369843,10.15859094,72.05847422,6.412515148,8.586605555,-8.228821655
1994,9.691326364,43.08200344,56.32103532,2.696514784,2.712399505,0.667363587
1995,3.448314968,28.6453406,50.40413961,10.16879025,-1.737593186,14.93078938
1996,9.883742378,-4.668118076,39.85988188,10.59000913,-1.548934075,24.68531217
1997,5.671874219,66.33943864,27.47305946,11.43904807,-8.498361252,13.806782
1998,7.06957022,50.74456944,15.92422896,-0.935671628,-12.03304324,5.010281191
1999,3.200830029,109.6223945,27.09670832,5.696667205,-28.20963208,-0.974380653
2000,-4.398044532,105.9508511,14.28678045,3.283104373,-28.95266368,-0.33733347
2001,-0.34015142,-43.8041488,7.426022674,-0.05337723,-26.21456879,-22.149031
2002,-2.730716018,-31.19868673,2.660805329,1.957813536,-27.85330696,-14.10693423
2003,-3.770103005,-95.60716894,2.032104277,0.532580062,-19.88555372,-15.36244066
2004,-4.550219694,-94.56315225,2.177625526,1.068031052,-22.48497138,-27.47966383
2005,-2.386245741,-108.1049463,-17.07596775,2.08349699,-26.74920264,-24.1039094
2006,-5.685406821,-140.8837713,-21.21210731,2.777725682,-34.4208489,-32.83273101
2007,-3.755278188,-26.71463898,-8.468378191,-7.239960772,-28.84114385,-6.465288607
2008,-7.005895008,49.63579671,-7.874646081,-2.358229117,-19.3210022,-4.334284646
2009,-4.514467127,31.90333713,-8.456891848,-3.47062645,-21.54396872,-13.35019912
2010,-0.420099148,51.9938572,-13.98308939,-9.200783223,-27.05253236,-0.556890353
2011,8.888774676,122.0730872,-2.567158289,-9.422156929,-22.31719489,-1.756503452
2012,0.399674332,176.4764586,-5.759127881,-11.27965554,-18.87172323,-19.06139218
2013,-3.819263784,75.22655396,-20.53286174,-9.052508769,-33.80385019,-51.9870456
2014,-1.021016856,86.36804761,-35.71790702,-7.405111389,-28.47911577,-50.4433992
2015,2.853455514,98.05146394,-13.82330082,-8.13690854,-32.80665639,-60.38681793
2016,2.735943679,234.6276142,-13.87570145,-10.30161796,-34.279435,-53.02085046
2017,2.685216215,139.3512081,-7.578805567,-11.55797159,-26.51449666,-69.10204935
