"year","pbr","NEgillest1y","NEgillcv1y","totalest1y","totalcv1y","NEgill1yLCI","NEgill1yUCI","total1yLCI","total1yUCI","NEgillest5y","NEgillcv5y","totalest5y","totalcv5y","NEgill5yLCI","NEgill5yUCI","total5yLCI","total5yUCI"
1996,121,49,0.49,49,0.49,19.7394000606036,121.634902409824,19.7394000606036,121.634902409824,NA,NA,NA,NA,NA,NA,NA,NA
1997,121,131,0.5,131,0.5,51.9015217804808,330.645410987813,51.9015217804808,330.645410987813,NA,NA,NA,NA,NA,NA,NA,NA
1998,121,61,0.98,61,0.98,12.2167635815408,304.581485527177,12.2167635815408,304.581485527177,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,155,0.51,155,0.51,60.4023910112777,397.749155253048,60.4023910112777,397.749155253048,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,193,0.55,193,0.55,70.4637283984244,528.626583444212,70.4637283984244,528.626583444212,117.8,0.273534946784497,117.8,0.273534946784497,69.5823448647643,199.430473735401,69.5823448647643,199.430473735401
2001,NA,117,0.59,117,0.59,40.0846212676378,341.502540552922,40.0846212676378,341.502540552922,131.4,0.264269948485757,131.4,0.264269948485757,78.9648724083367,218.653680724204,78.9648724083367,218.653680724204
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.5,0.305696767397255,131.5,0.305696767397255,73.1991011082265,236.235824459552,73.1991011082265,236.235824459552
2003,NA,242,0.47,242,0.47,100.818092576855,580.887800028114,100.818092576855,580.887800028114,176.75,0.265440361461513,176.75,0.265440361461513,105.98661905585,294.759496795889,105.98661905585,294.759496795889
2004,NA,504,0.34,573,0.318918225781924,263.572275126568,963.7432460528,311.341795236719,1054.56127324751,264,0.228716218881733,281.25,0.221979798435759,169.588601869825,410.97101592652,182.982884553446,432.289406154245
2005,NA,574,0.44,574,0.44,251.666907422066,1309.17490652612,251.666907422066,1309.17490652612,359.25,0.231694877271802,376.5,0.225061836102251,229.482859809738,562.397394764048,243.530608225857,582.071596801232
2006,NA,248,0.47,248,0.47,103.31771470686,595.289976888316,103.31771470686,595.289976888316,392,0.220624392367546,409.25,0.2148534716107,255.692001516361,600.97304213158,269.876122695358,620.6016331762
2007,NA,886,0.24,886,0.24,557.184123896159,1408.8628270864,557.184123896159,1408.8628270864,490.8,0.165471066462508,504.6,0.162900490376972,355.6357589784,677.335262044418,367.445560178293,692.949344323147
2008,NA,618,0.24,618,0.24,388.645359557366,982.705673972228,388.645359557366,982.705673972228,566,0.147376356086227,579.8,0.145525473075539,424.661335666724,754.379956670736,436.571231101654,770.018764524876
2009,NA,1063,0.26,1123,0.247410029766997,643.91719541455,1754.83588269845,696.472617697011,1810.73737567761,677.8,0.138706979879537,689.8,0.136543548498368,517.125579454116,888.397051418268,528.485944589382,900.353254181057
2010,NA,1155,0.28,1450,0.262842379626922,674.1064134501,1978.95313467263,873.699616301102,2406.4334706946,794,0.128876279015114,865,0.12732523379341,617.408018130926,1021.10108953316,674.64003592873,1109.07292800963
2011,NA,1491,0.22,1593,0.206432558773691,973.692143986832,2283.14566747707,1067.40702893675,2377.39581172494,1042.6,0.1144211214637,1134,0.111237634592293,833.755716216558,1303.75689048669,912.469521377171,1409.31392213423
2012,NA,542.33,0.19,623.33,0.177371526605505,374.944569298445,784.440829347997,441.475664541741,880.094465236971,973.866,0.116388456841732,1081.466,0.11169967607839,775.822262361658,1222.4642575594,869.417778344651,1345.23210622956
2013,NA,1126.85,0.2,1175.85,0.192479503351733,764.350021971435,1661.26890298886,809.097481908722,1708.84628047326,1075.636,0.109998380800398,1193.036,0.105231368221321,867.592763718125,1333.56668344908,971.240859039952,1465.4808681576
2014,NA,917.12,0.14,965.47,0.135829357422808,697.968389002339,1205.08193157897,740.710734258535,1258.42961062672,1046.46,0.102935729562901,1161.53,0.0995172142068771,855.725267125442,1279.70807181912,956.158390454524,1411.01302291419
2015,1389,1021.31,0.25,1058.9,0.241757194195984,630.338979054639,1654.78282441674,663.721811805409,1689.36622249916,1019.722,0.0982000894422581,1083.31,0.0931037902659054,841.577645398054,1235.5757819496,902.97058211834,1299.66643359174
2016,1389,498.08,0.33,531.37,0.310842473351243,265.234180157969,935.338297093705,293.011449131301,963.628137184069,821.138,0.100454783426805,870.984,0.0956359518150582,674.719760714456,999.329876347511,722.420280082948,1050.09943542684
2017,1389,930.14,0.16,972.14,0.153511588670665,681.10775090265,1270.225479674,720.808119818073,1311.10645623488,898.7,0.0948448471614556,940.746,0.0910722078491567,746.557631609841,1081.84774463881,787.248062774476,1124.1730254591
2018,1389,1113.42,0.32,1113.42,0.32,603.78951649551,2053.20573234765,603.78951649551,2053.20573234765,896.014,0.113330431020616,928.26,0.10969916782533,718.051132822678,1118.08345046405,749.156650028849,1150.18217827582
2019,1458,2018.65,0.17,2037.15,0.168495337181893,1450.06075049768,2810.19110482194,1467.58116063105,2827.76873526745,1116.32,0.107356857100679,1142.596,0.105002652729259,905.040592930966,1376.92204320282,930.591712468101,1402.89839434902
2020,1458,1357.11,NA,1366.36,0,NA,NA,1366.36,1366.36,1183.48,0.114514696961828,1204.088,0.112639627622122,946.244022196942,1480.19419678668,966.231633351553,1500.49725314312
2021,1512,1026.65,NA,1033.97,0,NA,NA,1033.97,1033.97,1289.194,0.13356788415402,1304.608,0.132033703518071,993.407253576158,1673.05117176556,1008.27264016512,1688.03750678515
2022,756,522.12,0.12,618.79,0.108600220522377,413.038963800234,660.008663327577,500.464694396613,765.091061141977,1207.59,0.137639265881273,1233.938,0.134874921865505,923.230217456725,1579.53409726687,948.428573286542,1605.39552553526
2023,NA,771.36,0.19,822.53,0.17939036007938,533.286454693727,1115.71603659372,580.312491394392,1165.84704091816,1139.178,0.110717068908551,1175.76,0.10762307692703,917.563142033749,1414.31848799815,952.737744305108,1450.98857042583
