year,water mass flavor,prop
1977,WSW,57.0000
1979,WSW,60.9340
1980,WSW,56.7604
1981,WSW,43.2569
1982,WSW,37.6094
1983,WSW,60.4479
1984,WSW,64.2917
1985,WSW,87.6007
1986,WSW,87.7778
1987,WSW,52.4531
1991,WSW,76.5208
1992,WSW,68.8073
1993,WSW,60.8021
1994,WSW,96.3333
1995,WSW,78.9479
1996,WSW,82.2760
1997,WSW,74.5573
1998,WSW,34.1354
1999,WSW,86.5469
2000,WSW,65.9896
2001,WSW,68.9670
2002,WSW,63.2266
2003,WSW,87.4375
2004,WSW,59.6271
2005,WSW,66.9271
2006,WSW,69.6313
2007,WSW,53.5188
2008,WSW,51.3146
2009,WSW,65.7792
2010,WSW,80.8833
2011,WSW,92.6224
2012,WSW,79.0156
2013,WSW,88.8281
2014,WSW,68.4410
2015,WSW,87.4557
2016,WSW,94.3438
2017,WSW,99.2474
2018,WSW,97.6771
2019,WSW,98.8906
2021,WSW,86.1615
1977,LSLW,40.0000
1979,LSLW,45.3819
1980,LSLW,39.8958
1981,LSLW,47.9861
1982,LSLW,60.1562
1983,LSLW,31.3542
1984,LSLW,20.4167
1985,LSLW,8.7153
1986,LSLW,7.7778
1987,LSLW,41.7187
1991,LSLW,26.4583
1992,LSLW,26.5104
1993,LSLW,26.1458
1994,LSLW,13.3333
1995,LSLW,16.3542
1996,LSLW,14.3229
1997,LSLW,19.0104
1998,LSLW,49.4792
1999,LSLW,18.2812
2000,LSLW,36.7708
2001,LSLW,26.0243
2002,LSLW,38.3594
2003,LSLW,10.6250
2004,LSLW,31.8958
2005,LSLW,34.8958
2006,LSLW,34.1875
2007,LSLW,40.3125
2008,LSLW,38.0208
2009,LSLW,30.5417
2010,LSLW,19.8333
2011,LSLW,11.0677
2012,LSLW,23.5938
2013,LSLW,17.9688
2014,LSLW,37.5347
2015,LSLW,9.4010
2016,LSLW,4.0625
2017,LSLW,0
2018,LSLW,7.3958
2019,LSLW,2.3438
2021,LSLW,21.3021
