,Time,Season,Value,EPU,Unit
0,1993,1,-1.3638182,MAB,degrees C
1,1993,4,-0.92988396,MAB,degrees C
2,1993,7,0.26735687,MAB,degrees C
3,1993,10,-0.18679523,MAB,degrees C
4,1994,1,-0.99929714,MAB,degrees C
5,1994,4,0.13030243,MAB,degrees C
6,1994,7,-0.5492649,MAB,degrees C
7,1994,10,-0.028302193,MAB,degrees C
8,1995,1,1.6783772,MAB,degrees C
9,1995,4,0.5867052,MAB,degrees C
10,1995,7,0.47817993,MAB,degrees C
11,1995,10,0.5247412,MAB,degrees C
12,1996,1,-1.3634953,MAB,degrees C
13,1996,4,-0.35824776,MAB,degrees C
14,1996,7,-0.6235504,MAB,degrees C
15,1996,10,-0.74767685,MAB,degrees C
16,1997,1,0.66545486,MAB,degrees C
17,1997,4,-1.1122074,MAB,degrees C
18,1997,7,-0.83511734,MAB,degrees C
19,1997,10,-1.3716583,MAB,degrees C
20,1998,1,-0.66418743,MAB,degrees C
21,1998,4,-0.35069084,MAB,degrees C
22,1998,7,0.19269371,MAB,degrees C
23,1998,10,0.34365845,MAB,degrees C
24,1999,1,0.66309834,MAB,degrees C
25,1999,4,-0.15521145,MAB,degrees C
26,1999,7,0.15063667,MAB,degrees C
27,1999,10,-0.15656185,MAB,degrees C
28,2000,1,0.09437561,MAB,degrees C
29,2000,4,0.2587824,MAB,degrees C
30,2000,7,-0.49907494,MAB,degrees C
31,2000,10,-0.22238636,MAB,degrees C
32,2001,1,0.45791054,MAB,degrees C
33,2001,4,0.6174669,MAB,degrees C
34,2001,7,-0.0881958,MAB,degrees C
35,2001,10,0.93685436,MAB,degrees C
36,2002,1,2.2042294,MAB,degrees C
37,2002,4,1.3704586,MAB,degrees C
38,2002,7,0.69804955,MAB,degrees C
39,2002,10,0.5135994,MAB,degrees C
40,2003,1,-0.024471283,MAB,degrees C
41,2003,4,-0.107705116,MAB,degrees C
42,2003,7,-0.33114433,MAB,degrees C
43,2003,10,-0.4619589,MAB,degrees C
44,2004,1,-1.247716,MAB,degrees C
45,2004,4,-0.059695244,MAB,degrees C
46,2004,7,-0.3680191,MAB,degrees C
47,2004,10,-0.40168476,MAB,degrees C
48,2005,1,-0.7679477,MAB,degrees C
49,2005,4,-1.011467,MAB,degrees C
50,2005,7,0.77132034,MAB,degrees C
51,2005,10,0.5507488,MAB,degrees C
52,2006,1,0.73196316,MAB,degrees C
53,2006,4,0.23748302,MAB,degrees C
54,2006,7,0.13310814,MAB,degrees C
55,2006,10,0.5904188,MAB,degrees C
56,2007,1,0.9391136,MAB,degrees C
57,2007,4,-0.70004463,MAB,degrees C
58,2007,7,0.09342384,MAB,degrees C
59,2007,10,1.0560207,MAB,degrees C
60,2008,1,1.0145521,MAB,degrees C
61,2008,4,0.8577471,MAB,degrees C
62,2008,7,0.11205292,MAB,degrees C
63,2008,10,-0.21946049,MAB,degrees C
64,2009,1,-0.76255083,MAB,degrees C
65,2009,4,0.10832882,MAB,degrees C
66,2009,7,-0.1787262,MAB,degrees C
67,2009,10,-0.11004162,MAB,degrees C
68,2010,1,-1.2556071,MAB,degrees C
69,2010,4,0.61785984,MAB,degrees C
70,2010,7,0.57629967,MAB,degrees C
71,2010,10,-0.60950375,MAB,degrees C
72,2011,1,-1.1533904,MAB,degrees C
73,2011,4,1.0471716,MAB,degrees C
74,2011,7,0.36711884,MAB,degrees C
75,2011,10,0.5207615,MAB,degrees C
76,2012,1,1.7325659,MAB,degrees C
77,2012,4,1.8012409,MAB,degrees C
78,2012,7,1.0760822,MAB,degrees C
79,2012,10,0.28774452,MAB,degrees C
80,2013,1,0.012394905,MAB,degrees C
81,2013,4,-0.17416859,MAB,degrees C
82,2013,7,-0.18158531,MAB,degrees C
83,2013,10,0.29155827,MAB,degrees C
84,2014,1,0.050915718,MAB,degrees C
85,2014,4,0.37547588,MAB,degrees C
86,2014,7,0.24580956,MAB,degrees C
87,2014,10,0.653182,MAB,degrees C
88,2015,1,-0.4791875,MAB,degrees C
89,2015,4,0.5303993,MAB,degrees C
90,2015,7,1.1035995,MAB,degrees C
91,2015,10,1.9471436,MAB,degrees C
92,2016,1,1.8293562,MAB,degrees C
93,2016,4,0.3873396,MAB,degrees C
94,2016,7,1.3242321,MAB,degrees C
95,2016,10,1.1419945,MAB,degrees C
96,2017,1,1.3841953,MAB,degrees C
97,2017,4,1.0191507,MAB,degrees C
98,2017,7,0.39669037,MAB,degrees C
99,2017,10,1.9191246,MAB,degrees C
100,2018,1,0.4606905,MAB,degrees C
101,2018,4,0.7297096,MAB,degrees C
102,2018,7,1.5761566,MAB,degrees C
103,2018,10,0.8567829,MAB,degrees C
104,2019,1,1.2284422,MAB,degrees C
105,2019,4,2.0812073,MAB,degrees C
106,2019,7,1.5683002,MAB,degrees C
107,2019,10,1.2212734,MAB,degrees C
108,1993,1,-1.4405818,GOM,degrees C
109,1993,4,-1.0143051,GOM,degrees C
110,1993,7,-0.51164246,GOM,degrees C
111,1993,10,-0.8281183,GOM,degrees C
112,1994,1,-0.7667155,GOM,degrees C
113,1994,4,-0.37033367,GOM,degrees C
114,1994,7,-0.006658554,GOM,degrees C
115,1994,10,0.054636,GOM,degrees C
116,1995,1,0.077730656,GOM,degrees C
117,1995,4,-0.2744112,GOM,degrees C
118,1995,7,0.04757309,GOM,degrees C
119,1995,10,0.505599,GOM,degrees C
120,1996,1,-0.012354851,GOM,degrees C
121,1996,4,0.10250187,GOM,degrees C
122,1996,7,-1.055254,GOM,degrees C
123,1996,10,-0.5323591,GOM,degrees C
124,1997,1,-0.07930708,GOM,degrees C
125,1997,4,-0.89829445,GOM,degrees C
126,1997,7,-0.5968723,GOM,degrees C
127,1997,10,-0.76116085,GOM,degrees C
128,1998,1,-0.5885916,GOM,degrees C
129,1998,4,0.07765198,GOM,degrees C
130,1998,7,-0.3178959,GOM,degrees C
131,1998,10,-0.55367756,GOM,degrees C
132,1999,1,0.1585021,GOM,degrees C
133,1999,4,0.6411953,GOM,degrees C
134,1999,7,0.6279335,GOM,degrees C
135,1999,10,-0.049689293,GOM,degrees C
136,2000,1,0.43481398,GOM,degrees C
137,2000,4,0.35782433,GOM,degrees C
138,2000,7,0.059898376,GOM,degrees C
139,2000,10,0.22332954,GOM,degrees C
140,2001,1,0.5234041,GOM,degrees C
141,2001,4,0.4721222,GOM,degrees C
142,2001,7,-0.11788368,GOM,degrees C
143,2001,10,0.40230274,GOM,degrees C
144,2002,1,1.1151471,GOM,degrees C
145,2002,4,0.21256447,GOM,degrees C
146,2002,7,0.52671623,GOM,degrees C
147,2002,10,0.31893063,GOM,degrees C
148,2003,1,0.19165277,GOM,degrees C
149,2003,4,-0.39193344,GOM,degrees C
150,2003,7,0.03086853,GOM,degrees C
151,2003,10,-0.1319294,GOM,degrees C
152,2004,1,-0.6168642,GOM,degrees C
153,2004,4,-1.1368151,GOM,degrees C
154,2004,7,-0.80503845,GOM,degrees C
155,2004,10,-0.19853497,GOM,degrees C
156,2005,1,-0.6622696,GOM,degrees C
157,2005,4,-0.53862095,GOM,degrees C
158,2005,7,-0.051193237,GOM,degrees C
159,2005,10,0.19343376,GOM,degrees C
160,2006,1,0.5678439,GOM,degrees C
161,2006,4,0.4567051,GOM,degrees C
162,2006,7,0.2779007,GOM,degrees C
163,2006,10,0.9673176,GOM,degrees C
164,2007,1,1.3078704,GOM,degrees C
165,2007,4,0.111748695,GOM,degrees C
166,2007,7,-0.11507988,GOM,degrees C
167,2007,10,0.3157215,GOM,degrees C
168,2008,1,0.18448067,GOM,degrees C
169,2008,4,0.63117695,GOM,degrees C
170,2008,7,0.56186104,GOM,degrees C
171,2008,10,-0.19562721,GOM,degrees C
172,2009,1,-0.28592777,GOM,degrees C
173,2009,4,0.14492321,GOM,degrees C
174,2009,7,0.32208824,GOM,degrees C
175,2009,10,0.093006134,GOM,degrees C
176,2010,1,-0.108837605,GOM,degrees C
177,2010,4,1.4162836,GOM,degrees C
178,2010,7,1.1226997,GOM,degrees C
179,2010,10,0.17681313,GOM,degrees C
180,2011,1,-0.28495312,GOM,degrees C
181,2011,4,-0.0018539429,GOM,degrees C
182,2011,7,0.21134186,GOM,degrees C
183,2011,10,0.6776562,GOM,degrees C
184,2012,1,1.0324755,GOM,degrees C
185,2012,4,1.6149302,GOM,degrees C
186,2012,7,1.5709248,GOM,degrees C
187,2012,10,0.9339647,GOM,degrees C
188,2013,1,0.90367174,GOM,degrees C
189,2013,4,0.7843809,GOM,degrees C
190,2013,7,0.85544014,GOM,degrees C
191,2013,10,0.40936184,GOM,degrees C
192,2014,1,0.26377487,GOM,degrees C
193,2014,4,0.5281801,GOM,degrees C
194,2014,7,0.7031231,GOM,degrees C
195,2014,10,1.0921726,GOM,degrees C
196,2015,1,0.29179907,GOM,degrees C
197,2015,4,-0.16424656,GOM,degrees C
198,2015,7,1.2316952,GOM,degrees C
199,2015,10,0.75056744,GOM,degrees C
200,2016,1,0.82013416,GOM,degrees C
201,2016,4,0.597949,GOM,degrees C
202,2016,7,1.3536911,GOM,degrees C
203,2016,10,0.96742153,GOM,degrees C
204,2017,1,1.0938301,GOM,degrees C
205,2017,4,0.329484,GOM,degrees C
206,2017,7,0.3477745,GOM,degrees C
