Season,Existing-North,Proposed-North,Existing-Mid,Proposed-Mid,Existing-South
Spring,Little Skate,Atlantic Herring,Little Skate,Spiny Dogfish,Spiny Dogfish
,Atlantic Herring,Little Skate,Atlantic Herring,Atlantic Herring,Longfin Squid
,Windowpane,Longhorn Sculpin,Spiny Dogfish,Little Skate,Summer Flounder
,Winter Skate,Windowpane,Windowpane,Alewife,Clearnose Skate
,Longhorn Sculpin,Alewife,Winter Skate,Silver Hake,Spotted Hake
Fall,Butterfish,Butterfish,Summer Flounder,Longhorn Sculpin,Longfin Squid
,Longfin Squid,Fourspot Flounder,Longfin Squid,Little Skate,Northern Searobin
,Summer Flounder,Longhorn Sculpin,Butterfish,Butterfish,Clearnose Skate
,Winter Flounder,Summer Flounder,Smooth Dogfish,Sea Scallop,Butterfish
,Spiny Dogfish,Spiny Dogfish,Windowpane,Fourspot Flounder,Spiny Dogfish/Spotted Hake
