"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","WEA_MAX","Demographics","Gent","region","lease_status"
"NEW BEDFORD, MA",0.0054,0.0016,0.0101,5210823.12465753,1,1,"NewEngland","Leases, construction in progress or complete"
"POINT JUDITH, RI",0.0219,0.0129,0.0379,2570461.51794872,NA,1,"NewEngland","Leases, construction in progress or complete"
"CAPE MAY, NJ",0.0035,2e-04,0.0147,2019287.62328767,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"POINT PLEASANT, NJ",0.0122,0.0046,0.0432,1435769.65,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"LITTLE COMPTON, RI",0.1314,0.078,0.242,1018105.27567568,NA,1,"NewEngland","Leases, construction in progress or complete"
"NEWPORT NEWS, VA",0.0053,7e-04,0.0167,1008181.24109589,1,NA,"MidAtlantic","Leases, construction in progress or complete"
"POINT LOOKOUT, NY",0.0554,0.0062,0.1669,934943.471428571,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"STONINGTON, CT",0.0104,0.0013,0.0466,540076.467142857,NA,NA,"NewEngland","Leases, construction in progress or complete"
"NEWPORT, RI",0.0197,0.0103,0.0338,472274.545945946,NA,1,"NewEngland","Leases, construction in progress or complete"
"MONTAUK, NY",0.007,0.0027,0.014,406902.879452055,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"NEW LONDON, CT",0.0101,5e-04,0.0593,382939.155714286,1,NA,"NewEngland","Leases, construction in progress or complete"
"BARNEGAT LIGHT, NJ",0.0044,5e-04,0.011,368704.855405405,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"HAMPTON, VA",0.0027,2e-04,0.012,302742.497260274,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"FAIRHAVEN, MA",0.0052,1e-04,0.0266,234334.497260274,NA,NA,"NewEngland","Leases, construction in progress or complete"
"WESTPORT, MA",0.0559,0.0196,0.1208,215557.757692308,NA,NA,"NewEngland","Leases, construction in progress or complete"
"SHINNECOCK/HAMPTON BAYS, NY",0.0053,2e-04,0.0204,180991.15,1,1,"MidAtlantic","Leases, construction in progress or complete"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0048,4e-04,0.0102,177209.333766234,NA,NA,"NewEngland","Leases, construction in progress or complete"
"GLOUCESTER, MA",4e-04,0,0.002,142290.663380282,NA,NA,"NewEngland","Leases, construction in progress or complete"
"ATLANTIC CITY, NJ",0.0015,1e-04,0.0053,135620.7925,1,NA,"MidAtlantic","Leases, construction in progress or complete"
"BELFORD, NJ",0.0088,0.0043,0.025,114107.354285714,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"TIVERTON, RI",0.0322,6e-04,0.0756,94882.8891891892,NA,NA,"NewEngland","Leases, construction in progress or complete"
"CHATHAM, MA",0.0014,1e-04,0.0047,86859.96125,NA,1,"NewEngland","Leases, construction in progress or complete"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.0302,1e-04,0.0751,75826.9986486486,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"BARNSTABLE, MA",0.001,0,0.0063,75784.1275510204,NA,NA,"NewEngland","Leases, construction in progress or complete"
"OTHER NASSAU, NY",0.0126,3e-04,0.0658,74404.44125,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"HARWICHPORT, MA",0.0051,3e-04,0.0253,72157.7350649351,NA,1,"NewEngland","Leases, construction in progress or complete"
"BEAUFORT, NC",0.0019,0,0.0047,58834.7556818182,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"CHILMARK, MA",0.0168,0.0052,0.0274,51201.4256097561,NA,1,"NewEngland","Leases, construction in progress or complete"
"FALL RIVER, MA",0.0127,0.0011,0.0315,47385.2183098592,1,NA,"NewEngland","Leases, construction in progress or complete"
"NEW BEDFORD, MA",0.0186,0.0077,0.0507,21506080.4633803,1,1,"NewEngland","Leases, construction not in progress"
"CAPE MAY, NJ",0.0539,0.0244,0.1069,11490088.9112676,NA,1,"MidAtlantic","Leases, construction not in progress"
"NEWPORT NEWS, VA",0.047,0.0075,0.1384,8690009.75352113,1,NA,"MidAtlantic","Leases, construction not in progress"
"ATLANTIC CITY, NJ",0.1566,0.0249,0.2371,8048388.19571428,1,NA,"MidAtlantic","Leases, construction not in progress"
"BARNEGAT LIGHT, NJ",0.0884,0.0244,0.1696,5545722.45194805,NA,1,"MidAtlantic","Leases, construction not in progress"
"POINT JUDITH, RI",0.0215,0.0128,0.0406,2900369.62820513,NA,1,"NewEngland","Leases, construction not in progress"
"POINT PLEASANT, NJ",0.046,0.0236,0.0674,2467574.80769231,NA,NA,"MidAtlantic","Leases, construction not in progress"
