TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05171559,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2407405,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1761669,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04321635,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2492552,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1873218,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04746227,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2455194,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1852289,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.08390155,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
